family,phantom_seed,noise_fraction,candidate_name,regularizer_kind,base_model_seed,residual_seed,step,train_mean_whitened_mse,train_objective,normalized_total_l2,normalized_total_h1,normalized_total_huber,normalized_residual_l2,normalized_residual_h1,centered_regularization,development_normalized_mean,development_worst_ratio,all_renderers_consent,development_automatic_whitened_mse,development_central_0_whitened_mse,development_central_1_whitened_mse,development_central_2_whitened_mse
smooth_plume,2201,0.02,mgrs_control,none,101,307,20.0,8.040057182312012,8.040057182312012,0.9446895718574524,0.9561941027641296,0.40369492769241333,0.0009512539836578071,0.008456656709313393,0.0,0.5951131975068814,1.4766442362576653,0.0,9.96771240234375,3.361480951309204,8.727092742919922,9.747262001037598
smooth_plume,2201,0.02,mgrs_control,none,101,307,40.0,6.420446872711182,6.420446872711182,0.9607775807380676,0.9853695631027222,0.41337358951568604,0.0004974540206603706,0.005725126247853041,0.0,0.5839191698061088,1.4141661386356377,0.0,9.882780075073242,3.2192537784576416,9.161602020263672,9.72464370727539
smooth_plume,2201,0.02,mgrs_control,none,101,307,60.0,5.401381015777588,5.401381015777588,0.9669875502586365,1.001514196395874,0.41921210289001465,0.00037665487616322935,0.00482206093147397,0.0,0.5539829524545395,1.3471525599467955,0.0,9.320043563842773,3.066701889038086,8.684439659118652,9.085136413574219
smooth_plume,2201,0.02,mgrs_control,none,101,307,80.0,4.593713760375977,4.593713760375977,0.9746962785720825,1.0255248546600342,0.42772921919822693,0.0002604970068205148,0.004788100719451904,0.0,0.5258791362775891,1.2983665774686979,0.0,8.75855541229248,2.955643892288208,7.9642333984375,8.461021423339844
smooth_plume,2201,0.02,mgrs_control,none,101,307,100.0,3.9534215927124023,3.9534215927124023,0.9787328839302063,1.0433541536331177,0.4342609643936157,0.00022740449639968574,0.004813265986740589,0.0,0.5022438462695571,1.260764763485738,0.0,8.424933433532715,2.8700459003448486,7.154914855957031,8.041471481323242
smooth_plume,2201,0.02,mgrs_control,none,101,307,120.0,3.4892771244049072,3.4892771244049072,0.9780572652816772,1.0440400838851929,0.43552783131599426,0.0002555567189119756,0.00478407321497798,0.0,0.48055842039837243,1.226451893318531,0.0,8.180407524108887,2.7919349670410156,6.399463653564453,7.619460105895996
smooth_plume,2201,0.02,mgrs_control,none,101,307,140.0,3.418836832046509,3.418836832046509,0.9764171838760376,1.0392857789993286,0.43508994579315186,0.00028128077974542975,0.004710019566118717,0.0,0.4637910678637639,1.1895982949398045,0.0,8.111703872680664,2.708040237426758,5.953041076660156,7.333797454833984
smooth_plume,2201,0.02,mgrs_control,none,101,307,160.0,3.0617012977600098,3.0617012977600098,0.9738465547561646,1.0307267904281616,0.4330483078956604,0.00032703406759537756,0.004494321066886187,0.0,0.44909898834077777,1.1618491733914256,0.0,7.918590068817139,2.644871234893799,5.514623641967773,7.1106438636779785
smooth_plume,2201,0.02,mgrs_control,none,101,307,180.0,2.9251136779785156,2.9251136779785156,0.9762256145477295,1.0361952781677246,0.435515433549881,0.00028921267949044704,0.004686885513365269,0.0,0.4445326587220314,1.1398794518252418,0.0,8.032350540161133,2.5948586463928223,5.494072914123535,7.1851372718811035
smooth_plume,2201,0.02,mgrs_control,none,101,307,200.0,2.846769094467163,2.846769094467163,0.9765166640281677,1.035739779472351,0.43586549162864685,0.0002892082848120481,0.004890007898211479,0.0,0.4367334744627293,1.1190113164468138,0.0,7.924533843994141,2.547353744506836,5.365791320800781,7.117481231689453
