family,phantom_seed,noise_fraction,candidate_name,regularizer_kind,seed_repeat_count,residual_admission_count,field_delta_candidate_minus_base,h1_delta_candidate_minus_base,test_automatic_delta_candidate_minus_base,dense_automatic_delta_candidate_minus_base,normalized_development_improvement,normalized_total_l2_change,normalized_total_h1_change,normalized_total_huber_change,selected_normalized_residual_l2,selected_normalized_residual_h1,selected_centered_regularization,residual_training_seconds
smooth_plume,2201,0.08,total_huber_0p003,l2_huber,2,2,-0.004618093950324947,0.0020604247349768415,-0.04718089844944891,-0.06918601584349317,0.37583210378530374,-0.011294722557067871,0.03575223684310913,0.01888623833656311,0.0004899620689684525,0.014538632240146399,4.818767138203839e-05,5.436505916528404
smooth_plume,2201,0.08,total_huber_0p01,l2_huber,2,2,-0.0049769193066923345,0.0018057596280615304,-0.04581994000099997,-0.06925967938436231,0.3769942315744529,-0.016512244939804077,0.021766215562820435,0.014571800827980042,0.0005422559625003487,0.014126335736364126,0.00010443739301990718,5.417335978476331
smooth_plume,2201,0.08,total_l2_0p003,l2,2,2,-0.004577460833735801,0.001256381050988166,-0.04783960591191241,-0.06969771828134401,0.37404541461661395,-0.015924185514450073,0.03361421823501587,0.017797023057937622,0.00042575254337862134,0.012781937140971422,-4.7772557536518434e-05,5.36632070800988
smooth_plume,2201,0.08,total_l2_0p01,l2,2,2,-0.005169202221477001,0.002124168146849875,-0.0457055973097751,-0.0691047164380905,0.37881028918983717,-0.019247472286224365,0.034812986850738525,0.01881149411201477,0.0005575678806053475,0.014689881354570389,-0.0001924747139128158,5.367109270475339
wrinkled_density_interface,2202,0.02,mgrs_control,none,2,1,-0.0010823606995664786,-0.0006707011010082115,-0.008060989280726669,-0.00914873833822575,0.1447601976185946,-0.023593366146087646,0.009155094623565674,-0.0002377033233642578,0.00041234996751882136,0.003925441298633814,0.0,5.336544500023592
wrinkled_density_interface,2202,0.02,total_h1_0p001,l2_h1,2,1,-0.0015070311681151388,-0.0005068157443788579,-0.00706109804543234,-0.009829629728460389,0.14488258353393652,-0.023996025323867798,0.002738356590270996,-0.0013022124767303467,0.00041848933324217796,0.004485809709876776,-3.260649918956915e-06,5.4208597500110045
wrinkled_density_interface,2202,0.02,total_h1_0p003,l2_h1,2,1,-0.001202939678656173,-0.0006866089414683529,-0.0070243461581600275,-0.009035277162061407,0.14230294308703118,-0.023604273796081543,0.004602909088134766,-0.00125846266746521,0.00041145109571516514,0.003959541209042072,-3.894478140864521e-06,5.423068916017655
wrinkled_density_interface,2202,0.02,total_h1_0p01,l2_h1,2,1,-0.0015650601979822765,-0.0005859229330741761,-0.007102328400884289,-0.009505478886851743,0.14295211954640047,-0.024599552154541016,-0.007308602333068848,-0.0034485161304473877,0.000443892611656338,0.0043446640484035015,-0.00013458490138873458,5.416675645974465
wrinkled_density_interface,2202,0.02,total_huber_0p001,l2_huber,2,1,-0.001069230728238016,-0.0006669411091917987,-0.007820831653662666,-0.009087759104254522,0.14466598831632016,-0.0235539972782135,0.008959174156188965,-0.0003006458282470703,0.0004128546570427716,0.003902982920408249,-6.189145551616093e-06,5.404567458550446
wrinkled_density_interface,2202,0.02,total_huber_0p003,l2_huber,2,1,-0.0011398948267164616,-0.0006488372888338451,-0.007832873195489795,-0.009287818369010784,0.14494387059648833,-0.023837745189666748,0.007875025272369385,-0.0004776120185852051,0.0004206486337352544,0.00398736447095871,-1.931114456965588e-05,5.421643271576613
wrinkled_density_interface,2202,0.02,total_huber_0p01,l2_huber,2,1,-0.0014101865548595965,-0.0005157203892096618,-0.008538666457304098,-0.009668779558481395,0.14548015531908487,-0.02437525987625122,0.0023224949836730957,-0.0015873610973358154,0.000437682872870937,0.004392412956804037,-7.68117606639862e-05,5.418294354050886
wrinkled_density_interface,2202,0.02,total_l2_0p003,l2,2,1,-0.0014943404731352639,-0.0005762508685091955,-0.007147921625355491,-0.009677337375055287,0.14441477610910475,-0.02452746033668518,0.003965497016906738,-0.0010960400104522705,0.0004388417291920632,0.004490985535085201,-7.35823850845918e-05,5.365082708012778
wrinkled_density_interface,2202,0.02,total_l2_0p01,l2,2,1,-0.0014294760523303057,-0.00055154423213985,-0.007683754086908703,-0.009731830328588063,0.14606707781820583,-0.025123625993728638,0.0049433112144470215,-0.0008996129035949707,0.00047105347039178014,0.004580219741910696,-0.0002512362552806735,5.408468374982476
