family,phantom_seed,noise_fraction,candidate_name,regularizer_kind,seed_repeat_count,residual_admission_count,field_delta_candidate_minus_base,h1_delta_candidate_minus_base,test_automatic_delta_candidate_minus_base,dense_automatic_delta_candidate_minus_base,normalized_development_improvement,normalized_total_l2_change,normalized_total_h1_change,normalized_total_huber_change,selected_normalized_residual_l2,selected_normalized_residual_h1,selected_centered_regularization,residual_training_seconds
smooth_plume,2201,0.02,mgrs_control,none,2,1,0.0013721876664212242,0.001322926439582331,-0.023983521317457204,-0.027055744783869073,0.26088455042443026,0.010600626468658447,0.03748655319213867,0.01711045205593109,0.00014805313549004495,0.004012205172330141,0.0,5.399851500056684
smooth_plume,2201,0.02,total_h1_0p001,l2_h1,2,1,0.0013882142508899256,0.001289225008982462,-0.023895697923094792,-0.027146525732717607,0.2615192646560194,0.009183347225189209,0.03507864475250244,0.01624642312526703,0.0001282796001760289,0.003749208291992545,3.7374484236352146e-05,5.394786917022429
smooth_plume,2201,0.02,total_h1_0p003,l2_h1,2,1,0.0016034970208642953,0.0012836729926943048,-0.023324937981256292,-0.027135531427149872,0.26124382752328856,0.008434057235717773,0.02992713451385498,0.014603942632675171,0.0001179315586341545,0.0034657581709325314,9.610694542061538e-05,5.426097896008287
smooth_plume,2201,0.02,total_h1_0p01,l2_h1,2,1,0.0012779069059878946,0.0014343391137127959,-0.02266019036740005,-0.027176330485642646,0.26499727217162533,0.007890522480010986,0.019495010375976562,0.012135893106460571,0.00011406178964534774,0.003382381983101368,0.00021467640181072056,5.406520958524197
smooth_plume,2201,0.02,total_huber_0p001,l2_huber,2,1,0.0013623331040753008,0.0012936042956153138,-0.02402869192290366,-0.027134898473082803,0.2608576211256949,0.010303974151611328,0.036589860916137695,0.016822025179862976,0.00014377993647940457,0.003950097598135471,1.939801950356923e-05,5.40707660454791
smooth_plume,2201,0.02,total_huber_0p003,l2_huber,2,1,0.001605715825822921,0.0013175456739227959,-0.023796759351226042,-0.027192634145444677,0.2615314524335437,0.009711802005767822,0.03304946422576904,0.01569858193397522,0.0001337271969532594,0.003789022099226713,5.437959771370515e-05,5.363714896491729
smooth_plume,2201,0.02,total_huber_0p01,l2_huber,2,1,0.0015368197842870364,0.0013529242679094083,-0.0234460528716286,-0.027095526873912073,0.26130725717756526,0.008789539337158203,0.030587732791900635,0.014878317713737488,0.00012449617497622967,0.0035879872739315033,0.00017075701907742769,5.423681666958146
smooth_plume,2201,0.02,total_l2_0p003,l2,2,1,0.001563229769749281,0.0011712143958414294,-0.02398280956509138,-0.02727874635866483,0.25961818438709183,0.007902801036834717,0.03489130735397339,0.015697792172431946,0.00010769942309707403,0.0034389381762593985,2.37084041145863e-05,5.379588562529534
smooth_plume,2201,0.02,total_l2_0p01,l2,2,1,0.0013511512760174468,0.0013072100121330928,-0.023870872946355218,-0.027128493525953975,0.26180398593406545,0.008185327053070068,0.03445708751678467,0.0160815566778183,0.00011908802844118327,0.0037509705871343613,8.18532716948539e-05,5.372493062983267
smooth_plume,2201,0.08,mgrs_control,none,2,2,-0.00487278987865835,0.002024344264041321,-0.04742562455689827,-0.06931481063379838,0.3771301885534868,-0.008243352174758911,0.04415082931518555,0.021683454513549805,0.0004561925452435389,0.014745189342647791,0.0,5.376296020986047
smooth_plume,2201,0.08,total_h1_0p001,l2_h1,2,2,-0.004851847151384071,0.001354646418034386,-0.048087374186468815,-0.06994996302764156,0.3769351117598412,-0.011890828609466553,0.034172654151916504,0.018308013677597046,0.0004067130430485122,0.01350306160748005,3.119994880762533e-05,5.411605124536436
smooth_plume,2201,0.08,total_h1_0p003,l2_h1,2,2,-0.0049751241005319205,0.001931968298731497,-0.04609622006928419,-0.0691726325539182,0.37773565417796373,-0.01310873031616211,0.02424144744873047,0.015912428498268127,0.0005156560655450448,0.01423005573451519,6.28927946308977e-05,5.429523562488612
smooth_plume,2201,0.08,total_h1_0p01,l2_h1,2,2,-0.005924327364787617,0.0018691842265917483,-0.04085914494413183,-0.06887293943822456,0.3765443158801348,-0.02247336506843567,-0.026840120553970337,0.00165635347366333,0.0006185437814565375,0.01367369620129466,-0.0003245846010031528,5.409190625476185
smooth_plume,2201,0.08,total_huber_0p001,l2_huber,2,2,-0.005022692182561808,0.0021631763749979313,-0.04709577495599055,-0.06901916752531109,0.37875921991774875,-0.008751988410949707,0.04591107368469238,0.022234812378883362,0.00048489379696547985,0.015139162074774504,2.0046816644025967e-05,5.445802770496812
