method,model_seed,epoch,learning_rate,train_total_loss,validation_field_rel_l2
static,20261301,1,0.001,0.002264853709493764,0.25107745826244354
static,20261301,2,0.0009957224306869053,0.0022323841229081156,0.24969477728009223
static,20261301,3,0.0009829629131445341,0.0022124787559732796,0.24827298931777478
static,20261301,4,0.0009619397662556433,0.0021986252220813187,0.2468783363699913
static,20261301,5,0.0009330127018922194,0.0021841732261236755,0.24627952128648758
static,20261301,6,0.0008966766701456175,0.0021802214439958336,0.24583634212613106
static,20261301,7,0.0008535533905932737,0.002178912379895337,0.24572839848697187
static,20261301,8,0.0008043807145043603,0.002177657259744592,0.24573924094438554
static,20261301,9,0.00075,0.0021774410124635324,0.24556738808751105
static,20261301,10,0.000691341716182545,0.002175391450873576,0.24564638324081897
static,20261301,11,0.0006294095225512604,0.002177947523887269,0.24567262083292007
static,20261301,12,0.000565263096110026,0.0021763768425444143,0.2456028763204813
static,20261301,13,0.0005,0.002175410307245329,0.24571771062910558
static,20261301,14,0.00043473690388997423,0.00217544452752918,0.24564569368958472
static,20261301,15,0.0003705904774487397,0.002174589934293181,0.245644474029541
static,20261301,16,0.0003086582838174552,0.002175215425086208,0.24582982510328294
static,20261301,17,0.0002500000000000001,0.0021760785719379784,0.24580394700169564
static,20261301,18,0.00019561928549563967,0.0021740245254477488,0.24566907361149787
static,20261301,19,0.00014644660940672628,0.0021740943600889297,0.24565471522510052
static,20261301,20,0.00010332332985438248,0.0021747942402726038,0.24570167474448681
static,20261301,21,6.698729810778065e-05,0.0021737989532994106,0.2456867966800928
static,20261301,22,3.806023374435663e-05,0.00217461550491862,0.24566612616181374
static,20261301,23,1.70370868554659e-05,0.0021750533691374586,0.24566207006573676
static,20261301,24,4.277569313094809e-06,0.002172168216202408,0.24566273875534533
k_cardinality,20261301,1,0.001,0.002264855755493045,0.25107756406068804
k_cardinality,20261301,2,0.0009957224306869053,0.0022323850775137545,0.2496947944164276
k_cardinality,20261301,3,0.0009829629131445341,0.0022124792594695464,0.24827300980687142
k_cardinality,20261301,4,0.0009619397662556433,0.0021986245119478554,0.24687824808061123
k_cardinality,20261301,5,0.0009330127018922194,0.0021841727022547273,0.24627938084304332
k_cardinality,20261301,6,0.0008966766701456175,0.0021802211995236576,0.24583635665476322
k_cardinality,20261301,7,0.0008535533905932737,0.0021789123158669097,0.24572833813726902
k_cardinality,20261301,8,0.0008043807145043603,0.002177657271386124,0.24573919475078582
k_cardinality,20261301,9,0.00075,0.00217744073306676,0.2455673899501562
k_cardinality,20261301,10,0.000691341716182545,0.0021753912733402103,0.24564635902643203
k_cardinality,20261301,11,0.0006294095225512604,0.002177947020391002,0.2456726349890232
k_cardinality,20261301,12,0.000565263096110026,0.002176376589341089,0.24560285843908786
k_cardinality,20261301,13,0.0005,0.0021754103450803085,0.24571766331791878
k_cardinality,20261301,14,0.00043473690388997423,0.002175444332533516,0.24564569853246213
k_cardinality,20261301,15,0.0003705904774487397,0.0021745897975051776,0.245644474029541
k_cardinality,20261301,16,0.0003086582838174552,0.0021752150030806662,0.24582978375256062
k_cardinality,20261301,17,0.0002500000000000001,0.0021760783856734633,0.24580394811928272
k_cardinality,20261301,18,0.00019561928549563967,0.002174024560372345,0.24566908292472361
k_cardinality,20261301,19,0.00014644660940672628,0.002174094310612418,0.24565471410751344
k_cardinality,20261301,20,0.00010332332985438248,0.002174794161692262,0.24570166766643525
k_cardinality,20261301,21,6.698729810778065e-05,0.0021737990668043495,0.24568678848445416
k_cardinality,20261301,22,3.806023374435663e-05,0.0021746155427535994,0.2456661205738783
k_cardinality,20261301,23,1.70370868554659e-05,0.0021750534302555024,0.2456620644778013
k_cardinality,20261301,24,4.277569313094809e-06,0.00217216819874011,0.24566273652017118
shuffled_geometry,20261301,1,0.001,0.002264867862686515,0.25107765309512614
shuffled_geometry,20261301,2,0.0009957224306869053,0.0022323769953800365,0.24969398491084577
shuffled_geometry,20261301,3,0.0009829629131445341,0.0022124478389741855,0.24827067218720913
shuffled_geometry,20261301,4,0.0009619397662556433,0.002198568923631683,0.24687361977994443
shuffled_geometry,20261301,5,0.0009330127018922194,0.0021841123845661057,0.2462773308157921
shuffled_geometry,20261301,6,0.0008966766701456175,0.0021801449853228404,0.2458323948085308
shuffled_geometry,20261301,7,0.0008535533905932737,0.0021788326004752888,0.24572663344442844
shuffled_geometry,20261301,8,0.0008043807145043603,0.0021775670669740067,0.24573805555701256
