method,model_seed,source_split,source_index,geometry_id,geometry_partition,family_id,noise_level,field_rel_l2,audit_reprojection_rel_l2
locked_fno,20261301,train,0,g_111011100,train,0,0.02,0.13937845826148987,0.10175729542970657
locked_fno,20261301,train,1,g_110011101,train,0,0.05,0.19703906774520874,0.30182865262031555
locked_fno,20261301,train,2,g_011001111,train,0,0.02,0.23173633217811584,0.34858399629592896
locked_fno,20261301,train,3,g_101011011,train,0,0.05,0.13883967697620392,0.15907864272594452
locked_fno,20261301,train,4,g_111001011,train,0,0.02,0.17935186624526978,0.24832068383693695
locked_fno,20261301,train,5,g_110011110,train,0,0.05,0.1859811693429947,0.2340138554573059
locked_fno,20261301,train,6,g_110011101,train,1,0.02,0.40561947226524353,0.585806131362915
locked_fno,20261301,train,7,g_101010111,train,1,0.05,0.3797157108783722,0.4095194637775421
locked_fno,20261301,train,8,g_011011011,train,1,0.02,0.21056915819644928,0.32730260491371155
locked_fno,20261301,train,9,g_101010111,train,1,0.05,0.41559529304504395,0.547988772392273
locked_fno,20261301,train,10,g_111011100,train,1,0.02,0.2578607499599457,0.3032210171222687
locked_fno,20261301,train,11,g_101011101,train,1,0.05,0.44035604596138,0.6153934597969055
locked_fno,20261301,train,12,g_110011101,train,0,0.02,0.17544223368167877,0.24191252887248993
locked_fno,20261301,train,13,g_110010111,train,0,0.05,0.20096777379512787,0.23349428176879883
locked_fno,20261301,train,14,g_101011011,train,0,0.02,0.09746252745389938,0.09014254808425903
locked_fno,20261301,train,15,g_101011101,train,0,0.05,0.14007151126861572,0.14945393800735474
locked_fno,20261301,train,16,g_110011110,train,0,0.02,0.2645397484302521,0.32663750648498535
locked_fno,20261301,train,17,g_101001111,train,0,0.05,0.22319325804710388,0.3240152597427368
locked_fno,20261301,train,18,g_111010101,train,1,0.02,0.3985837697982788,0.5819944739341736
locked_fno,20261301,train,19,g_110011011,train,1,0.05,0.4727906882762909,0.6934676766395569
locked_fno,20261301,train,20,g_110011101,train,1,0.02,0.2127198725938797,0.42332160472869873
