source_split,candidate,comparator,independent_field_count,model_seed_count,mean_field_gain_pct,field_cluster_ci95_low_pct,field_cluster_ci95_high_pct,median_field_gain_pct,p10_field_gain_pct,harm_rate_gt_1pct,mean_audit_gain_pct,positive_seed_count,seed_mean_gains_pct
test_family_ood,correct_geometry,locked_fno,32,3,0.2183944582274273,0.04830710323427564,0.38618509772614384,0.24342514837454604,-0.36805068778636374,0.0,1.3637640708988377,3,0.12142770;0.12402728;0.40972839
test_family_ood,correct_geometry,static,32,3,-0.0020803805404203666,-0.003956200821081959,-0.00038254897316600576,0.0003151051865017293,-0.01021391871259789,0.0,0.003030795998539113,1,-0.00630496;-0.00029342;0.00035723
test_family_ood,correct_geometry,k_cardinality,32,3,-0.00216011540720569,-0.0040431343221374975,-0.00046154949474772424,0.0002473837306047843,-0.01027719824781952,0.0,0.0029114199766254547,1,-0.00637077;-0.00043610;0.00032652
test_family_ood,correct_geometry,shuffled_geometry,32,3,0.025653463038452878,0.01978038321714711,0.031990716273093224,0.002523687168391328,-0.004672005292976521,0.0,0.0013757732875893883,2,0.00444929;-0.00001660;0.07252770
test_iid,correct_geometry,locked_fno,32,3,3.7198777987686467,1.7231113934947173,5.68652980962309,1.676550829087523,-2.3545711200846964,0.16666666666666666,5.099586682371023,3,3.64962939;3.62451673;3.88548727
test_iid,correct_geometry,static,32,3,0.0031022164767515194,-0.0035439066876798296,0.009841205788952522,0.0026469523325099477,-0.023509200592913098,0.0,0.004120607829640747,3,0.00443059;0.00405965;0.00081641
test_iid,correct_geometry,k_cardinality,32,3,0.003213151930751322,-0.003585082549110944,0.009880756503151436,0.0028055348899031583,-0.02332478049746132,0.0,0.004338921682041097,3,0.00443965;0.00435849;0.00084132
test_iid,correct_geometry,shuffled_geometry,32,3,0.009303034669040543,-0.028673163512769363,0.04567404078597692,0.003536133164364139,-0.15306323776745107,0.0,-0.003554029151977549,2,-0.00490820;0.00552598;0.02729133
test_joint_ood,correct_geometry,locked_fno,32,3,0.10587205590597241,-0.0281084991134711,0.24772234755086836,0.10206296933446952,-0.3964272821902811,0.0,1.4154834679471895,3,0.02093950;0.00938721;0.28728946
test_joint_ood,correct_geometry,static,32,3,-0.002660578578725679,-0.004377503094585602,-0.0009739429822489582,-4.89702506269915e-05,-0.015756136532089522,0.0,0.0031160857147861376,1,-0.00721314;-0.00144109;0.00067250
test_joint_ood,correct_geometry,k_cardinality,32,3,-0.0027361212472102035,-0.004450431392883155,-0.0010991876154271031,-0.00012242462994620598,-0.0158251268991789,0.0,0.0029971814024102503,1,-0.00727721;-0.00156560;0.00063445
test_joint_ood,correct_geometry,shuffled_geometry,32,3,0.026462200971835815,0.021440654798190243,0.031562480198056735,0.0022029423196123503,-0.00838053250125607,0.0,0.0005843655805697973,2,0.00297654;-0.00085046;0.07726053
test_noise_ood,correct_geometry,locked_fno,32,3,2.2433522914022896,0.390239512092936,4.206415044031206,0.5157000515510368,-4.142276791870092,0.34375,1.9504595794697692,3,2.39132489;2.13208940;2.20664259
test_noise_ood,correct_geometry,static,32,3,0.004085569544812255,-0.0017754562285538732,0.010072416993485137,0.0017674098762311186,-0.018128569893876997,0.0,0.006813468271484759,3,0.00617658;0.00485456;0.00122557
test_noise_ood,correct_geometry,k_cardinality,32,3,0.004182716108688942,-0.0016564462460129338,0.01040221778735907,0.0020476758731209077,-0.018093099608888434,0.0,0.0069824739807844635,3,0.00617763;0.00511324;0.00125727
test_noise_ood,correct_geometry,shuffled_geometry,32,3,0.00869225903002643,-0.0265487095246538,0.04061697386237215,0.005358533195045334,-0.12057978766908214,0.0,-0.006935136702851977,3,0.00575620;0.00555597;0.01476460
train,correct_geometry,locked_fno,160,3,2.4326098031946217,1.2821249272821937,3.524044856239304,1.4050812955973395,-3.8723364431214855,0.21458333333333332,2.0494739310100485,3,2.47705577;2.31304014;2.50773350
train,correct_geometry,static,160,3,0.002308411472347695,-0.0002955724145759218,0.004946591487738584,0.0007556910712959267,-0.014912276585162712,0.0,0.00802083172534936,3,0.00256134;0.00402579;0.00033810
train,correct_geometry,k_cardinality,160,3,0.0023415987912831127,-0.00020880158055715828,0.00498496908716192,0.0007845705911630558,-0.014816446281184371,0.0,0.008163686183656642,3,0.00253815;0.00416312;0.00032352
train,correct_geometry,shuffled_geometry,160,3,0.011240291617121811,-0.004648277204696948,0.02688583345996926,0.002804394859479005,-0.11084597742164906,0.0,-0.009343633923536822,3,0.00219023;0.00462753;0.02690312
val,correct_geometry,locked_fno,40,3,4.352452901191464,2.1033185398305085,6.46465755743204,3.4717593877478565,-4.633807763340891,0.14166666666666666,-0.8715955595941564,3,4.35495968;4.32730341;4.37509562
val,correct_geometry,static,40,3,-0.0001944053764082685,-0.0029711780746326205,0.002357114214388218,0.0011460770418610217,-0.011742981062245523,0.0,-0.00045235773566570996,1,-0.00182831;0.00203988;-0.00079479
val,correct_geometry,k_cardinality,40,3,-7.710740962096028e-05,-0.0028408923701665613,0.0024595799916125173,0.0012376099065093305,-0.011448647182043125,0.0,-6.179693124924076e-05,1,-0.00179175;0.00221310;-0.00065267
val,correct_geometry,shuffled_geometry,40,3,-0.016280711131164253,-0.04387466004350015,0.011276725588376056,0.0023136525636383415,-0.2516180083034211,0.0,-0.023759399438044525,1,-0.00290517;0.00455817;-0.05049513
