model_seed,source_index,geometry_id,geometry_partition,embedding_swap_l2,modulation_swap_l2,correction_swap_relative_pct,correct_descriptor_field_rel_l2,wrong_descriptor_field_rel_l2,correct_descriptor_field_gain_pct
20261301,160,g_101011110,validation,0.018993578851222992,0.006105063483119011,0.11064761877059937,0.18006719648838043,0.18009035289287567,0.012858214788138866
20261301,161,g_101011110,validation,0.018993578851222992,0.006105063483119011,0.12280092388391495,0.20457366108894348,0.20460748672485352,0.016531964763998985
20261301,162,g_011010111,validation,0.008836684748530388,0.004236367531120777,0.0943291038274765,0.13205218315124512,0.13206511735916138,0.009793810546398163
20261301,163,g_011010111,validation,0.008836684748530388,0.004236367531120777,0.08461040258407593,0.17753073573112488,0.1775488704442978,0.010213927365839481
20261301,164,g_111001110,validation,0.01532219909131527,0.009948162361979485,0.26628726720809937,0.18962956964969635,0.18963944911956787,0.005209607072174549
20261301,165,g_111001110,validation,0.01532219909131527,0.009948162361979485,0.2262827754020691,0.1596636027097702,0.15971782803535461,0.03395070135593414
20261301,166,g_101011110,validation,0.018993578851222992,0.006105063483119011,0.16999536752700806,0.25291362404823303,0.2528574764728546,-0.022205226123332977
20261301,167,g_011010111,validation,0.008836684748530388,0.004236367531120777,0.09406841546297073,0.3107077181339264,0.3107024133205414,-0.0017073615454137325
20261301,168,g_011010111,validation,0.008836684748530388,0.004236367531120777,0.09385630488395691,0.2644954025745392,0.2644840478897095,-0.00429314561188221
20261301,169,g_111010110,validation,0.030230538919568062,0.018025847151875496,0.5295565128326416,0.3865363895893097,0.3865709900856018,0.008950619027018547
20261301,170,g_111001110,validation,0.01532219909131527,0.009948162361979485,0.2855778932571411,0.38034582138061523,0.38033658266067505,-0.002429090440273285
20261301,171,g_111001110,validation,0.01532219909131527,0.009948162361979485,0.2842892110347748,0.31964483857154846,0.31959959864616394,-0.014155188575387001
20261301,172,g_101011110,validation,0.018993578851222992,0.006105063483119011,0.13821537792682648,0.1810000240802765,0.18102788925170898,0.01539275050163269
20261301,173,g_111010110,validation,0.030230538919568062,0.018025847151875496,0.3792509436607361,0.26612943410873413,0.26602816581726074,-0.03806675598025322
20261301,174,g_011010111,validation,0.008836684748530388,0.004236367531120777,0.09250271320343018,0.15989065170288086,0.1599075347185135,0.010557985864579678
20261301,175,g_111010110,validation,0.030230538919568062,0.018025847151875496,0.40253007411956787,0.19144390523433685,0.19132734835147858,-0.06092013791203499
20261301,176,g_011010111,validation,0.008836684748530388,0.004236367531120777,0.10217192769050598,0.19291110336780548,0.19292646646499634,0.007963187992572784
20261301,177,g_111001110,validation,0.01532219909131527,0.009948162361979485,0.2316664308309555,0.19266970455646515,0.19271788001060486,0.02499791607260704
20261301,178,g_111010110,validation,0.030230538919568062,0.018025847151875496,0.5024141669273376,0.24512578547000885,0.24517861008644104,0.02154536172747612
20261301,179,g_011010111,validation,0.008836684748530388,0.004236367531120777,0.0899343490600586,0.23875829577445984,0.23875203728675842,-0.0026213338132947683
20261301,180,g_111001110,validation,0.01532219909131527,0.009948162361979485,0.347263902425766,0.5357005000114441,0.535685122013092,-0.0028707159217447042
20261301,181,g_011010111,validation,0.008836684748530388,0.004236367531120777,0.1166643500328064,0.41741058230400085,0.41740697622299194,-0.0008639244479127228
20261301,182,g_101011110,validation,0.018993578851222992,0.006105063483119011,0.15793974697589874,0.2632260322570801,0.26319175958633423,-0.013021939434111118
20261301,183,g_101011110,validation,0.018993578851222992,0.006105063483119011,0.15680010616779327,0.20229679346084595,0.20225517451763153,-0.0205774437636137
20261301,184,g_111010110,validation,0.030230538919568062,0.018025847151875496,0.5043318867683411,0.1519697904586792,0.1519451141357422,-0.016240287572145462
20261301,185,g_101011110,validation,0.018993578851222992,0.006105063483119011,0.1510690301656723,0.14712317287921906,0.14710633456707,-0.011446353979408741
20261301,186,g_101011110,validation,0.018993578851222992,0.006105063483119011,0.13370990753173828,0.13511082530021667,0.13507609069347382,-0.025714844465255737
20261301,187,g_111010110,validation,0.030230538919568062,0.018025847151875496,0.43974900245666504,0.1390068233013153,0.13892610371112823,-0.05810253694653511
20261301,188,g_111010110,validation,0.030230538919568062,0.018025847151875496,0.46451032161712646,0.14341938495635986,0.14334219694137573,-0.05384877324104309
20261301,189,g_111001110,validation,0.01532219909131527,0.009948162361979485,0.27466219663619995,0.16354557871818542,0.1635652333498001,0.012016386725008488
20261301,190,g_111001110,validation,0.01532219909131527,0.009948162361979485,0.3253728151321411,0.42622384428977966,0.42616763710975647,-0.0131889833137393
20261301,191,g_101011110,validation,0.018993578851222992,0.006105063483119011,0.1328887641429901,0.3217945396900177,0.32178810238838196,-0.0020004785619676113
20261301,192,g_111010110,validation,0.030230538919568062,0.018025847151875496,0.5976640582084656,0.3598414957523346,0.3598824739456177,0.011386549100279808
20261301,193,g_111010110,validation,0.030230538919568062,0.018025847151875496,0.5158249735832214,0.24763141572475433,0.24770714342594147,0.03057146444916725
20261301,194,g_011010111,validation,0.008836684748530388,0.004236367531120777,0.10953446477651596,0.37200450897216797,0.37199604511260986,-0.002275255275890231
20261301,195,g_111001110,validation,0.01532219909131527,0.009948162361979485,0.2808246612548828,0.43195927143096924,0.4319572150707245,-0.0004760564770549536
20261301,196,g_111010110,validation,0.030230531468987465,0.018025841563940048,0.5071603655815125,0.1744263917207718,0.1742953211069107,-0.07520030438899994
20261301,197,g_111001110,validation,0.015322190709412098,0.009948156774044037,0.24808451533317566,0.2248172163963318,0.2248145043849945,-0.001206332934089005
20261301,198,g_101011110,validation,0.018993578851222992,0.006105063483119011,0.12420468032360077,0.14082428812980652,0.14083997905254364,0.011140957474708557
20261301,199,g_011010111,validation,0.008836684748530388,0.004236367531120777,0.08133482933044434,0.19829481840133667,0.19831426441669464,0.009805656038224697
20261302,160,g_101011110,validation,0.03024017997086048,0.01823260635137558,0.20705395936965942,0.18018701672554016,0.1801602840423584,-0.014838277362287045
20261302,161,g_101011110,validation,0.03024017997086048,0.01823260635137558,0.2320527285337448,0.20313556492328644,0.20309504866600037,-0.019949406385421753
20261302,162,g_011010111,validation,0.023038523271679878,0.011020814068615437,0.17548763751983643,0.13170547783374786,0.13172970712184906,0.01839318498969078
20261302,163,g_011010111,validation,0.023038523271679878,0.011020814068615437,0.15135616064071655,0.1772758960723877,0.17730270326137543,0.015119447372853756
20261302,164,g_111001110,validation,0.020203448832035065,0.012343725189566612,0.18764548003673553,0.1878664642572403,0.18787983059883118,0.0071143037639558315
20261302,165,g_111001110,validation,0.020203448832035065,0.012343725189566612,0.19901856780052185,0.15753115713596344,0.15757012367248535,0.024729648604989052
20261302,166,g_101011110,validation,0.03024017997086048,0.01823260635137558,0.2688845098018646,0.25474005937576294,0.2548266351222992,0.03397437185049057
20261302,167,g_011010111,validation,0.023038523271679878,0.011020814068615437,0.16951175034046173,0.3114277124404907,0.31142568588256836,-0.0006507356301881373
20261302,168,g_011010111,validation,0.023038523271679878,0.011020814068615437,0.17046864330768585,0.26488161087036133,0.2648673355579376,-0.005389608442783356
