method,method_label,source_split,sample_metric_rows,independent_field_count,model_seed_count,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,minimum_seed_mean_field_rel_l2,maximum_seed_mean_field_rel_l2
correct_geometry,Correct-geometry GC-SRO,test_family_ood,96,32,3,0.6003574483717481,0.5992423593997955,0.6667952835559845,0.7362526711076498,0.5991831598803401,0.6009513270109892
correct_geometry,Correct-geometry GC-SRO,test_iid,96,32,3,0.25384008752492565,0.22388188540935516,0.4430166929960251,0.3504206160238634,0.2534201832022518,0.25411830842494965
correct_geometry,Correct-geometry GC-SRO,test_joint_ood,96,32,3,0.6066413254787525,0.6044362485408783,0.662921279668808,0.7406928048779567,0.6055270228534937,0.6072292104363441
correct_geometry,Correct-geometry GC-SRO,test_noise_ood,96,32,3,0.2410209022151927,0.205951526761055,0.4049113392829895,0.3348382101394236,0.24078361270949244,0.24125505331903696
correct_geometry,Correct-geometry GC-SRO,train,480,160,3,0.25200992457879084,0.2120308056473732,0.4136491596698761,0.3397454950182388,0.25177949424833057,0.25228299470618365
correct_geometry,Correct-geometry GC-SRO,val,120,40,3,0.24552547708153724,0.20378799736499786,0.3900700986385348,0.32626890515287715,0.24541726112365722,0.24559125043451785
k_cardinality,K-cardinality adapter,test_family_ood,96,32,3,0.6003437420974175,0.5992308855056763,0.6668200492858887,0.736274586369594,0.5991851333528757,0.6009343396872282
k_cardinality,K-cardinality adapter,test_iid,96,32,3,0.25385122653096914,0.2239365130662918,0.4430243521928787,0.35043775103986263,0.2534229001030326,0.2541308293584734
k_cardinality,K-cardinality adapter,test_joint_ood,96,32,3,0.6066243977596363,0.6044650971889496,0.6629456579685211,0.7407152329881986,0.6055312063544989,0.6072188634425402
k_cardinality,K-cardinality adapter,test_noise_ood,96,32,3,0.2410300380239884,0.2059587687253952,0.40486492216587067,0.3348578691172103,0.24079764541238546,0.2412667847238481
k_cardinality,K-cardinality adapter,train,480,160,3,0.2520153976045549,0.21199338883161545,0.4136406421661377,0.33976545894208054,0.25178006491623817,0.2522929724305868
k_cardinality,K-cardinality adapter,val,120,40,3,0.24552677857379118,0.2037847712635994,0.3900764256715777,0.3262709225217501,0.24541674964129925,0.245596207305789
locked_fno,Locked fixed-layout FNO,test_family_ood,96,32,3,0.6015446316450834,0.6029992699623108,0.6645558476448059,0.7460540626198053,0.6015446316450834,0.6015446316450834
locked_fno,Locked fixed-layout FNO,test_iid,96,32,3,0.2608956014737487,0.23763801902532578,0.4434807300567627,0.3636861916165799,0.2608956014737487,0.2608956014737487
locked_fno,Locked fixed-layout FNO,test_joint_ood,96,32,3,0.6072292327880859,0.6052077412605286,0.6619075536727905,0.7509757243096828,0.6072292327880859,0.6072292327880859
locked_fno,Locked fixed-layout FNO,test_noise_ood,96,32,3,0.24489297810941935,0.22226744890213013,0.40425679087638855,0.3429354503750801,0.24489297810941935,0.24489297810941935
locked_fno,Locked fixed-layout FNO,train,480,160,3,0.25755231189541516,0.22717663645744324,0.41164771914482123,0.348182130465284,0.25755231189541516,0.25755231189541516
locked_fno,Locked fixed-layout FNO,val,120,40,3,0.25478438287973404,0.222098670899868,0.39143691062927277,0.3292157331481576,0.25478438287973404,0.25478438287973404
shuffled_geometry,Shuffled-geometry GC-SRO,test_family_ood,96,32,3,0.6005141076942285,0.599359780550003,0.6669096648693085,0.7362571693956852,0.5996278934180737,0.6009772978723049
shuffled_geometry,Shuffled-geometry GC-SRO,test_iid,96,32,3,0.25390033004805446,0.22388873249292374,0.443019837141037,0.3504269393160939,0.25358981313183904,0.25413225032389164
shuffled_geometry,Shuffled-geometry GC-SRO,test_joint_ood,96,32,3,0.6068015433847904,0.604733020067215,0.6630318462848663,0.7406928713123003,0.6059984061866999,0.6072234846651554
shuffled_geometry,Shuffled-geometry GC-SRO,test_noise_ood,96,32,3,0.24107334824899831,0.20601578056812286,0.4048481285572052,0.33485635587324697,0.24079928593710065,0.2412663483992219
shuffled_geometry,Shuffled-geometry GC-SRO,train,480,160,3,0.25206601481574276,0.21215346455574036,0.4138593375682831,0.33973548176387947,0.2519306848756969,0.252293480373919
shuffled_geometry,Shuffled-geometry GC-SRO,val,120,40,3,0.2455240212380886,0.20362230390310287,0.3900732517242434,0.32623289842158554,0.24540828801691533,0.24560038559138775
static,Static spectral adapter,test_family_ood,96,32,3,0.600344218313694,0.5992308855056763,0.6668206751346588,0.7362754642963409,0.5991853084415197,0.6009351909160614
static,Static spectral adapter,test_iid,96,32,3,0.25385104515589774,0.2239375114440918,0.44302378594875336,0.3504373293059568,0.2534229187294841,0.25413020164705813
static,Static spectral adapter,test_joint_ood,96,32,3,0.6066248584538698,0.6044656932353973,0.6629461944103241,0.7407161053270102,0.6055314391851425,0.6072196196764708
static,Static spectral adapter,test_noise_ood,96,32,3,0.24102988202745715,0.20595934242010117,0.40486496686935425,0.33485757970872027,0.24079772178083658,0.24126629857346416
static,Static spectral adapter,train,480,160,3,0.25201533185318115,0.2119922935962677,0.4136407792568207,0.3397652072831988,0.25178007800132035,0.252292654896155
static,Static spectral adapter,val,120,40,3,0.2455265760421753,0.20378419011831284,0.3900760650634768,0.3262701044480006,0.2454165056347847,0.24559584259986877
