case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_13,-1,0.5964537368799794,0.061132583692278177,0.0693574966646368,0.02037079374431623,1.1648235147270987,0.005877780233596233,0.01785352728581411,,,13,13,0,1,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_13,-1,0.6258381331583576,0.06414429097762708,0.07277440570695548,0.024489378134292576,0.9410780575462622,0.27782660567008655,0.2772015150939538,,,13,13,0,1,0.0
cee85dad2f56f6debc94,development,single_interface,2101,cgls_13,-1,0.6768138219835715,0.08418635110410574,0.07746291455687279,0.010162161070893072,1.1396828735972795,0.013396463743860837,0.028123367948138973,,,13,13,0,1,0.0
cee85dad2f56f6debc94,development,single_interface,2101,huber_pdhg_13,-1,0.7054842042647956,0.08775255319782517,0.08074430642687695,0.012045191016833002,0.9915302731122357,0.292716009965265,0.29621745801020066,,,13,13,0,1,0.0
b06a75091983ab395677,development,smooth_no_interface,2113,cgls_13,-1,0.5906852290966624,0.05094671303223854,0.06479427884004303,0.016243325260926884,1.1345982124811982,0.005530389258724096,0.016913394525088183,,,13,13,0,1,0.0
b06a75091983ab395677,development,smooth_no_interface,2113,huber_pdhg_13,-1,0.6173359327643997,0.05324534127785063,0.06771768548654332,0.019418220096444824,0.9141731591835326,0.2697914448522315,0.26945455625369547,,,13,13,0,1,0.0
423593699e2b6baeef3f,development,single_interface,2113,cgls_13,-1,0.9105736021588854,0.0837918568270312,0.10727950802204188,0.0007865956562836374,1.3702202946317448,0.020975175932453398,0.025092488371139466,,,13,13,0,1,0.0
423593699e2b6baeef3f,development,single_interface,2113,huber_pdhg_13,-1,0.7073455000532846,0.06509061181565821,0.08333612688464546,0.001963775209856356,0.9735359594049302,0.3066601181530943,0.3100362298777463,,,13,13,0,1,0.0
5639798ee009ab4df707,development,smooth_no_interface,2129,cgls_13,-1,0.6049306416776422,0.05519003301810019,0.07023634607974535,0.01826429013869549,1.2092450218547663,0.007242647674576476,0.02174989152852668,,,13,13,0,1,0.0
5639798ee009ab4df707,development,smooth_no_interface,2129,huber_pdhg_13,-1,0.6331338311626691,0.057763113056793006,0.07351091813932799,0.022028386954173078,0.9599836836076345,0.2895034765279308,0.2893060201256403,,,13,13,0,1,0.0
9f862d87f3c25fedf3e1,development,single_interface,2129,cgls_13,-1,0.7125281371031269,0.08527901900125796,0.0838241581959991,-0.010591746701751196,1.1734941743764766,0.017146425581912303,0.025405300166380342,,,13,13,0,1,0.0
9f862d87f3c25fedf3e1,development,single_interface,2129,huber_pdhg_13,-1,0.7115033396861694,0.08515636599453115,0.08370359765063294,-0.011435594034812589,0.9729938110215604,0.3030169766151873,0.3057870665261034,,,13,13,0,1,0.0
17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,cgls_13,-1,0.6252919877170017,0.06678619930298721,0.06576116881647484,0.019024640650454634,1.1470151847004872,0.004054134217724932,0.01661802224185596,,,13,13,0,1,0.0
17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,huber_pdhg_13,-1,0.6502156328043787,0.0694482444928511,0.068382357100203,0.02284450807685596,0.9573972740076229,0.26360991434899894,0.26507792039417,,,13,13,0,1,0.0
6be92a896230a00c27bc,development,single_interface,2141,cgls_13,-1,0.6926709460649774,0.07068554461468168,0.08928741769117374,0.00856860825395017,1.1919847812989681,0.011015478193409088,0.02201517299553245,,,13,13,0,1,0.0
6be92a896230a00c27bc,development,single_interface,2141,huber_pdhg_13,-1,0.7193732079857718,0.07341045163877125,0.09272942146939693,0.010570323532538946,0.9486568967983429,0.31049408746414664,0.3085500764889154,,,13,13,0,1,0.0
2f2ee4ffd95bd30b9d41,development,smooth_no_interface,2153,cgls_13,-1,0.5740967708974799,0.06704596886193628,0.06505794463339354,0.023395975244490823,1.1346628651260582,0.006230017502489427,0.025790726078071168,,,13,13,0,1,0.0
2f2ee4ffd95bd30b9d41,development,smooth_no_interface,2153,huber_pdhg_13,-1,0.6041350133950614,0.07055398906558898,0.0684619462170239,0.028013719029053648,0.9076239917370308,0.25953347644435354,0.2594867274701464,,,13,13,0,1,0.0
317ac465ce89a727ceb8,development,single_interface,2153,cgls_13,-1,0.7024516035572902,0.06245229192999968,0.081432041129662,0.009466768064791823,1.1970473647071547,0.018337892821116267,0.02742964978984888,,,13,13,0,1,0.0
317ac465ce89a727ceb8,development,single_interface,2153,huber_pdhg_13,-1,0.690118870338869,0.06135583567400819,0.08000236307981792,0.011051360989968494,0.9181750789776929,0.3102177360981088,0.30913891948715116,,,13,13,0,1,0.0
80f83d2b9da59c138e54,development,smooth_no_interface,2161,cgls_13,-1,0.608421873888449,0.046987406754254314,0.07003440554618036,0.014099482150590922,1.184069337611858,0.005796233412374515,0.023557700809125923,,,13,13,0,1,0.0
80f83d2b9da59c138e54,development,smooth_no_interface,2161,huber_pdhg_13,-1,0.63184081038739,0.04879601216811809,0.07273011943586176,0.017480144570834043,0.9395126911102705,0.2843720956928493,0.28314322216745597,,,13,13,0,1,0.0
