replicate,reaction_family,candidate_field_relative_l2,baseline_field_relative_l2,field_gain_percent
0,plume,0.9994751811027527,0.5280284285545349,-89.28435043522029
0,wavy_front,0.9998582601547241,0.4651361107826233,-114.96036041415798
0,thin_front,0.9995085597038269,0.5641829371452332,-77.16036659338589
0,double_front,0.9998327493667603,0.6568557620048523,-52.21496212731317
0,annular_kernel,0.9994310140609741,0.9702353477478027,-3.0091324111147864
0,oblique_shock,0.9998781085014343,0.7460904717445374,-34.015665173082965
0,vortex_pair,0.9993906617164612,0.6389670968055725,-56.407218260967795
0,multi_plume,0.9998584985733032,0.6826562881469727,-46.465873959405826
8,plume,0.9994631409645081,0.5400388836860657,-85.07244036625963
8,wavy_front,0.9998440146446228,0.41500574350357056,-140.9229342716363
8,thin_front,0.999426543712616,0.44160813093185425,-126.31524958648015
8,double_front,0.9998539090156555,0.49298739433288574,-102.81530937898836
8,annular_kernel,0.9993895888328552,0.9433677196502686,-5.938497577949293
8,oblique_shock,0.9998743534088135,0.5763055086135864,-73.49727505020788
8,vortex_pair,0.9993619322776794,0.6620725393295288,-50.94447706435894
8,multi_plume,0.9998579025268555,0.7357780337333679,-35.891241201308425
