rank,candidate_id,penalty,alpha_fraction,alpha,iterations,mean_field_gain_vs_data_only_percent,mean_field_gain_vs_graph_budget_frontier_percent,field_gain_vs_graph_budget_frontier_p10_percent,worst_field_gain_vs_graph_budget_frontier_percent,mean_gradient_gain_vs_graph_budget_frontier_percent,mean_front_gain_vs_graph_budget_frontier,median_wall_time_ratio_vs_graph_frontier
1,pdhg_huber_a1of256_k4,huber,1/256,0.00390625,4,-2.9817798860359295e-06,-68.43220961698987,-120.63780500031906,-140.9229342716363,-31.46370226123289,-0.22012193780392408,1.198716219991793
2,pdhg_huber_a1of64_k4,huber,1/64,0.015625,4,-1.0435901875593662e-05,-68.43222020979938,-120.63781815613522,-140.9229342716363,-31.463711841079324,-0.21996949892491102,1.220408842011421
3,pdhg_huber_a1of16_k4,huber,1/16,0.0625,4,-3.876252495942496e-05,-68.43226170393478,-120.63784480913151,-140.92296299636877,-31.4637555033745,-0.21985419560223818,1.209219254259985
4,pdhg_huber_a1of4_k4,huber,1/4,0.25,4,-0.0001457330036790191,-68.43241604549418,-120.6379514211166,-140.92303480819993,-31.463929860962562,-0.2186681041494012,1.212112251564754
5,pdhg_tv_a1of256_k4,tv,1/256,0.00390625,4,-0.00013789828949927824,-68.43242108588224,-120.63803035601363,-140.92313534476358,-31.463938701783373,-0.21570121310651302,1.201920229534081
6,pdhg_tv_a1of64_k4,tv,1/64,0.015625,4,-0.0005381766699250345,-68.43304961653897,-120.63868617732717,-140.92375292651164,-31.4646388346778,-0.2073170617222786,1.2094336349145154
7,pdhg_tv_a1of16_k4,tv,1/16,0.0625,4,-0.0017811478091468984,-68.43498145391968,-120.64050388551955,-140.9251604384026,-31.46675143416952,-0.18749998975545168,1.210549393686935
8,pdhg_tv_a1of4_k4,tv,1/4,0.25,4,-0.0037901146203504657,-68.43796662224054,-120.64261826899877,-140.92610835457407,-31.469975918841378,-0.1767146959900856,1.1987306925572057
9,pdhg_huber_a1of256_k8,huber,1/256,0.00390625,8,-1.1562573418930083e-05,-103.77972996101445,-205.61041562646687,-223.43349791457044,-52.685579338301494,-0.2904882552102208,1.1950828228938746
10,pdhg_huber_a1of64_k8,huber,1/64,0.015625,8,-4.6624730432690284e-05,-103.7797877435269,-205.6104425008122,-223.4335364845313,-52.68564556392325,-0.29037276562303305,1.1937867354563454
11,pdhg_huber_a1of16_k8,huber,1/16,0.0625,8,-0.0001842606364645389,-103.78001339083056,-205.61056140668313,-223.4336521944138,-52.68589155421026,-0.289573622867465,1.1905030369663527
12,pdhg_tv_a1of256_k8,tv,1/256,0.00390625,8,-0.00031327529377525435,-103.78027871025263,-205.61099782844144,-223.43399932406143,-52.686197954090815,-0.28637240547686815,1.188832360492384
13,pdhg_huber_a1of4_k8,huber,1/4,0.25,8,-0.0007251088236996882,-103.78090257516179,-205.6110073991502,-223.43411503394398,-52.68686024640735,-0.2875919137150049,1.193558358570983
14,pdhg_tv_a1of64_k8,tv,1/64,0.015625,8,-0.0012657765697955438,-103.78201653475617,-205.6128250574012,-223.43565783237784,-52.68810994175723,-0.27753094118088484,1.1870192455926913
15,pdhg_tv_a1of16_k8,tv,1/16,0.0625,8,-0.004886707582419797,-103.78870023267761,-205.619733996536,-223.44225329568263,-52.69513426636379,-0.24993947986513376,1.1951714298852698
16,pdhg_tv_a1of4_k8,tv,1/4,0.25,8,-0.015573188360674894,-103.80835270535059,-205.63556899072222,-223.45812483457104,-52.715068400524665,-0.20634192042052746,1.1655029158442831
17,pdhg_huber_a1of256_k16,huber,1/256,0.00390625,16,-5.0434594479449024e-05,-150.46615293622037,-254.76652419005146,-269.1714403846355,-81.55904260800315,-0.3515611458569765,1.1791574903604167
18,pdhg_huber_a1of64_k16,huber,1/64,0.015625,16,-0.00020696318317862706,-150.46647714531883,-254.76685581954445,-269.17159453833443,-81.55937455904757,-0.35152438282966614,1.1887243416967146
19,pdhg_tv_a1of256_k16,tv,1/256,0.00390625,16,-0.0006524489553659273,-150.46752364074786,-254.76787880818767,-269.17282776792604,-81.56054143750146,-0.347713409923017,1.1823239189155204
20,pdhg_huber_a1of16_k16,huber,1/16,0.0625,16,-0.0008237415223829968,-150.46774950745703,-254.76811104048062,-269.17223317508723,-81.56070363536602,-0.3498807866126299,1.1804991440144201
21,pdhg_tv_a1of64_k16,tv,1/64,0.015625,16,-0.0026612916487331207,-150.4721123951416,-254.77251913983966,-269.1774744008514,-81.56542845269715,-0.33917682338505983,1.1773775303812206
22,pdhg_huber_a1of4_k16,huber,1/4,0.25,16,-0.0032280857110258045,-150.47273545496972,-254.77307855483411,-269.1746996342703,-81.56586475193797,-0.3454628484323621,1.178689807001473
23,pdhg_tv_a1of16_k16,tv,1/16,0.0625,16,-0.011054845754402045,-150.49175683002625,-254.79386461946393,-269.1977786451982,-81.58501001114459,-0.3100609742105007,1.1777327203838808
24,pdhg_tv_a1of4_k16,tv,1/4,0.25,16,-0.04346736806196329,-150.5699060099656,-254.88306360461914,-269.2756042412087,-81.6566007265952,-0.2466463353484869,1.1692126743806932
25,pdhg_huber_a1of256_k32,huber,1/256,0.00390625,32,-0.00020983074018023862,-195.01152983139303,-346.86763352177525,-362.76422649153596,-107.73630295748634,-0.3806770006194711,1.1803234546983892
26,pdhg_huber_a1of64_k32,huber,1/64,0.015625,32,-0.00083819739650724,-195.0130459600578,-346.86931535641247,-362.7673625977839,-107.7378184423549,-0.3800304802134633,1.1784785605275148
27,pdhg_tv_a1of256_k32,tv,1/256,0.00390625,32,-0.0012840864893906801,-195.0144047673873,-346.87105606725476,-362.7691943058579,-107.73937202103178,-0.3769817044958472,1.1716169431396168
28,pdhg_huber_a1of16_k32,huber,1/16,0.0625,32,-0.003331448110638349,-195.01908048144685,-346.8760823127425,-362.77987926962305,-107.74386037535848,-0.3775914553552866,1.1799193721110222
29,pdhg_tv_a1of64_k32,tv,1/64,0.015625,32,-0.005251595548788695,-195.02495652751946,-346.88382146703043,-362.7880664496509,-107.75035198341966,-0.3678731918334961,1.1741472435468268
30,pdhg_huber_a1of4_k32,huber,1/4,0.25,32,-0.012949187243956092,-195.04253815262257,-346.90272299404205,-362.8289468434848,-107.76726512117186,-0.36924476362764835,1.2068046302304016
31,pdhg_tv_a1of16_k32,tv,1/16,0.0625,32,-0.0227893565603762,-195.07313288052288,-346.94133090061706,-362.8739902102142,-107.79637798483904,-0.3381097484380007,1.1419474666902607
32,pdhg_tv_a1of4_k32,tv,1/4,0.25,32,-0.1000923694581691,-195.29509370105418,-347.2108531879511,-363.29572711768174,-107.98635716166675,-0.2634146213531494,1.1992889351076137
