replicate,sample_index,reaction_family,noise_family,relative_noise,method,field_relative_l2,gradient_relative_l2,front_top10_f1,solver_elapsed_seconds,forward_calls,adjoint_calls,field_gain_vs_baseline_percent,gradient_gain_vs_baseline_percent,front_f1_gain_vs_baseline
0,0,plume,component_iid,0.03999999910593033,scalar_iid,0.7016329765319824,0.9232660531997681,0.6902438998222351,0.08347366697853431,4,4,-0.8544586152612665,-1.3308964812354624,-0.007317066192626953
0,1,wavy_front,component_iid,0.07999999821186066,scalar_iid,0.701313316822052,1.0205615758895874,0.2804878056049347,0.08347366697853431,4,4,-2.1058329813689878,-2.5829393000876757,-0.056097567081451416
0,2,thin_front,component_iid,0.03999999910593033,scalar_iid,0.8375585079193115,1.0633209943771362,0.3073170781135559,0.08347366697853431,4,4,-6.959634020682511,-4.322360661934464,-0.01707315444946289
0,3,double_front,component_iid,0.07999999821186066,scalar_iid,0.9921521544456482,1.115838646888733,0.2487804889678955,0.08347366697853431,4,4,-2.2049881137292338,-1.693329252707733,0.009756103157997131
0,4,annular_kernel,component_iid,0.03999999910593033,scalar_iid,1.103290319442749,1.0943074226379395,0.017073171213269234,0.08347366697853431,4,4,-1.0059042442894717,-0.7881592427522782,-0.0024390239268541336
0,5,oblique_shock,component_iid,0.07999999821186066,scalar_iid,0.753328263759613,0.9535582661628723,0.1634146273136139,0.08347366697853431,4,4,0.9912507255026856,0.8562783957386809,0.017073169350624084
0,6,vortex_pair,component_iid,0.03999999910593033,scalar_iid,0.8789135813713074,1.0148674249649048,0.37317076325416565,0.08347366697853431,4,4,0.6006473415128237,0.5690229378612236,-0.00975605845451355
0,7,multi_plume,component_iid,0.07999999821186066,scalar_iid,0.8604000806808472,0.9995599389076233,0.37804877758026123,0.08347366697853431,4,4,0.9745438400667235,-0.13746496945209633,0.01707315444946289
0,0,plume,component_iid,0.03999999910593033,component_iid,0.6956886053085327,0.911139726638794,0.6975609660148621,0.03846870799316093,4,4,0.0,0.0,0.0
0,1,wavy_front,component_iid,0.07999999821186066,component_iid,0.6868494153022766,0.994864821434021,0.3365853726863861,0.03846870799316093,4,4,0.0,0.0,0.0
0,2,thin_front,component_iid,0.03999999910593033,component_iid,0.7830603718757629,1.0192646980285645,0.3243902325630188,0.03846870799316093,4,4,0.0,0.0,0.0
0,3,double_front,component_iid,0.07999999821186066,component_iid,0.9707472920417786,1.097258448600769,0.23902438580989838,0.03846870799316093,4,4,0.0,0.0,0.0
0,4,annular_kernel,component_iid,0.03999999910593033,component_iid,1.0923027992248535,1.0857499837875366,0.019512195140123367,0.03846870799316093,4,4,0.0,0.0,0.0
0,5,oblique_shock,component_iid,0.07999999821186066,component_iid,0.7608703970909119,0.9617938995361328,0.1463414579629898,0.03846870799316093,4,4,0.0,0.0,0.0
0,6,vortex_pair,component_iid,0.03999999910593033,component_iid,0.8842246532440186,1.0206753015518188,0.3829268217086792,0.03846870799316093,4,4,0.0,0.0,0.0
0,7,multi_plume,component_iid,0.07999999821186066,component_iid,0.8688675761222839,0.998187780380249,0.36097562313079834,0.03846870799316093,4,4,0.0,0.0,0.0
0,0,plume,component_iid,0.03999999910593033,diagonal_shrinkage,0.6942497491836548,0.9139286279678345,0.6853658556938171,0.038900582992937416,4,4,0.20682473651265393,-0.30608931292336683,-0.012195110321044922
0,1,wavy_front,component_iid,0.07999999821186066,diagonal_shrinkage,0.6596032381057739,0.9650318622589111,0.3727162182331085,0.038900582992937416,4,4,3.966834154544905,2.9986947505197694,0.03613084554672241
0,2,thin_front,component_iid,0.03999999910593033,diagonal_shrinkage,0.8164979219436646,1.0501943826675415,0.30000001192092896,0.038900582992937416,4,4,-4.270111382064252,-3.034509553681242,-0.024390220642089844
0,3,double_front,component_iid,0.07999999821186066,diagonal_shrinkage,0.9880504012107849,1.1220426559448242,0.2365853637456894,0.038900582992937416,4,4,-1.7824524787097387,-2.258739258345211,-0.0024390220642089844
0,4,annular_kernel,component_iid,0.03999999910593033,diagonal_shrinkage,1.0992035865783691,1.0899455547332764,0.012195120565593243,0.038900582992937416,4,4,-0.6317650525488655,-0.3864214605929711,-0.007317074574530125
0,5,oblique_shock,component_iid,0.07999999821186066,diagonal_shrinkage,0.7575138211250305,0.9584177136421204,0.15121951699256897,0.038900582992937416,4,4,0.44114950176991713,0.35103007989973367,0.004878059029579163
0,6,vortex_pair,component_iid,0.03999999910593033,diagonal_shrinkage,0.8635954260826111,1.0180121660232544,0.38002437353134155,0.038900582992937416,4,4,2.333030082991188,0.2609189743805364,-0.0029024481773376465
0,7,multi_plume,component_iid,0.07999999821186066,diagonal_shrinkage,0.8384363651275635,0.9822157621383667,0.40243902802467346,0.038900582992937416,4,4,3.502399195344998,1.6001015596281847,0.04146340489387512
0,0,plume,component_iid,0.03999999910593033,dg_covgate,0.6956886053085327,0.911139726638794,0.6975609660148621,0.03712662501493469,4,4,0.0,0.0,0.0
0,1,wavy_front,component_iid,0.07999999821186066,dg_covgate,0.6868494749069214,0.994864821434021,0.3365853726863861,0.03712662501493469,4,4,-8.677978527383491e-06,0.0,0.0
0,2,thin_front,component_iid,0.03999999910593033,dg_covgate,0.7830602526664734,1.0192644596099854,0.3243902325630188,0.03712662501493469,4,4,1.5223511983529987e-05,2.339123287235451e-05,0.0
0,3,double_front,component_iid,0.07999999821186066,dg_covgate,0.9707472324371338,1.097258448600769,0.23902438580989838,0.03712662501493469,4,4,6.140078397748998e-06,0.0,0.0
0,4,annular_kernel,component_iid,0.03999999910593033,dg_covgate,1.0923027992248535,1.0857499837875366,0.019512195140123367,0.03712662501493469,4,4,0.0,0.0,0.0
0,5,oblique_shock,component_iid,0.07999999821186066,dg_covgate,0.7608703374862671,0.9617938995361328,0.1463414579629898,0.03712662501493469,4,4,7.833744748551286e-06,0.0,0.0
0,6,vortex_pair,component_iid,0.03999999910593033,dg_covgate,0.8842249512672424,1.0206756591796875,0.3829268217086792,0.03712662501493469,4,4,-3.370446896991323e-05,-3.503835824268618e-05,0.0
0,7,multi_plume,component_iid,0.07999999821186066,dg_covgate,0.8688676357269287,0.998187780380249,0.36097562313079834,0.03712662501493469,4,4,-6.860037871525073e-06,0.0,0.0
0,0,plume,component_iid,0.03999999910593033,oracle_covariance,0.6956238746643066,0.9109422564506531,0.699999988079071,0.035987624956760556,4,4,0.009304542827371257,0.021672876548730804,0.0024390220642089844
0,1,wavy_front,component_iid,0.07999999821186066,oracle_covariance,0.6874328851699829,0.9954466819763184,0.3365853726863861,0.035987624956760556,4,4,-0.084948731804557,-0.058486392297865765,0.0
0,2,thin_front,component_iid,0.03999999910593033,oracle_covariance,0.7833531498908997,1.0194590091705322,0.3243902325630188,0.035987624956760556,4,4,-0.03738894543154965,-0.019063854790968927,0.0
0,3,double_front,component_iid,0.07999999821186066,oracle_covariance,0.9710626602172852,1.0975054502487183,0.23902438580989838,0.035987624956760556,4,4,-0.03248715480248995,-0.022510799371305533,0.0
0,4,annular_kernel,component_iid,0.03999999910593033,oracle_covariance,1.0911529064178467,1.08516526222229,0.019512195140123367,0.035987624956760556,4,4,0.10527234827401805,0.05385416292679424,0.0
0,5,oblique_shock,component_iid,0.07999999821186066,oracle_covariance,0.7608879208564758,0.9618107080459595,0.1463414579629898,0.035987624956760556,4,4,-0.002303120956074078,-0.001747620756875958,0.0
0,6,vortex_pair,component_iid,0.03999999910593033,oracle_covariance,0.8842533230781555,1.0206153392791748,0.3829268217086792,0.035987624956760556,4,4,-0.003242369914905653,0.005874764732023716,0.0
0,7,multi_plume,component_iid,0.07999999821186066,oracle_covariance,0.8690846562385559,0.9981363415718079,0.36341461539268494,0.035987624956760556,4,4,-0.02498425792809432,0.005153219609797972,0.0024389922618865967
0,0,plume,component_iid,0.03999999910593033,wrong_graph_assumption,0.7305827736854553,0.9434946775436401,0.6829268336296082,0.035692207980901,4,4,-5.0157740274396625,-3.551041619511424,-0.014634132385253906
0,1,wavy_front,component_iid,0.07999999821186066,wrong_graph_assumption,0.6212121844291687,0.8770266771316528,0.46341463923454285,0.035692207980901,4,4,9.556276734139974,11.844638765346387,0.12682926654815674
0,2,thin_front,component_iid,0.03999999910593033,wrong_graph_assumption,0.7650682330131531,1.009952425956726,0.3658536672592163,0.035692207980901,4,4,2.2976694401621973,0.9136264691448587,0.04146343469619751
0,3,double_front,component_iid,0.07999999821186066,wrong_graph_assumption,1.017350196838379,1.1275306940078735,0.2536585330963135,0.035692207980901,4,4,-4.800724676612816,-2.7588983658050528,0.0146341472864151
0,4,annular_kernel,component_iid,0.03999999910593033,wrong_graph_assumption,1.1529232263565063,1.1163982152938843,0.039024390280246735,0.035692207980901,4,4,-5.549782274170841,-2.822770616070763,0.019512195140123367
0,5,oblique_shock,component_iid,0.07999999821186066,wrong_graph_assumption,0.7446382641792297,0.9455581903457642,0.2219512164592743,0.035692207980901,4,4,2.133363707372972,1.6880653119341922,0.07560975849628448
0,6,vortex_pair,component_iid,0.03999999910593033,wrong_graph_assumption,0.9351496696472168,1.033900499343872,0.3853658437728882,0.035692207980901,4,4,-5.759284839702894,-1.2957301672672825,0.0024390220642089844
0,7,multi_plume,component_iid,0.07999999821186066,wrong_graph_assumption,0.86699378490448,0.9720034599304199,0.43658536672592163,0.035692207980901,4,4,0.21565901056713374,2.6231858338172067,0.07560974359512329
0,0,plume,graph_heat,0.03999999910593033,scalar_iid,0.7015436291694641,0.9240286350250244,0.6902438998222351,0.03586154099320993,4,4,-0.06884970741424967,-1.4172854580098289,-0.014634132385253906
0,1,wavy_front,graph_heat,0.07999999821186066,scalar_iid,0.7043543457984924,1.0253902673721313,0.2829268276691437,0.03586154099320993,4,4,1.6137794434821269,0.010229611773446183,-0.021951228380203247
0,2,thin_front,graph_heat,0.03999999910593033,scalar_iid,0.8345675468444824,1.0606745481491089,0.3097561001777649,0.03586154099320993,4,4,-12.54106440480485,-7.956276023089263,-0.056097567081451416
0,3,double_front,graph_heat,0.07999999821186066,scalar_iid,0.9896377921104431,1.112830638885498,0.2487804889678955,0.03586154099320993,4,4,-3.800789163644707,-3.179508537004296,0.0024390220642089844
0,4,annular_kernel,graph_heat,0.03999999910593033,scalar_iid,1.1026148796081543,1.0941156148910522,0.017073171213269234,0.03586154099320993,4,4,-2.9987255174349103,-1.881217298736157,-0.007317069917917252
0,5,oblique_shock,graph_heat,0.07999999821186066,scalar_iid,0.7531667947769165,0.9531376361846924,0.16585366427898407,0.03586154099320993,4,4,1.322451246494932,1.1879020247926912,0.0292682945728302
0,6,vortex_pair,graph_heat,0.03999999910593033,scalar_iid,0.8792190551757812,1.015607237815857,0.37317076325416565,0.03586154099320993,4,4,2.3124201656898027,1.3881767174854176,0.0
0,7,multi_plume,graph_heat,0.07999999821186066,scalar_iid,0.8693249225616455,1.00581955909729,0.3804877996444702,0.03586154099320993,4,4,1.2499840887972404,-0.5308312742452704,0.0292682945728302
0,0,plume,graph_heat,0.03999999910593033,component_iid,0.701060950756073,0.9111155271530151,0.704878032207489,0.03566404205048457,4,4,0.0,0.0,0.0
0,1,wavy_front,graph_heat,0.07999999821186066,component_iid,0.7159075140953064,1.025495171546936,0.3048780560493469,0.03566404205048457,4,4,0.0,0.0,0.0
0,2,thin_front,graph_heat,0.03999999910593033,component_iid,0.7415671348571777,0.9825038313865662,0.3658536672592163,0.03566404205048457,4,4,0.0,0.0,0.0
0,3,double_front,graph_heat,0.07999999821186066,component_iid,0.9534010291099548,1.078538417816162,0.24634146690368652,0.03566404205048457,4,4,0.0,0.0,0.0
0,4,annular_kernel,graph_heat,0.03999999910593033,component_iid,1.070513129234314,1.0739129781723022,0.024390241131186485,0.03566404205048457,4,4,0.0,0.0,0.0
0,5,oblique_shock,graph_heat,0.07999999821186066,component_iid,0.763260543346405,0.9645960927009583,0.13658536970615387,0.03566404205048457,4,4,0.0,0.0,0.0
0,6,vortex_pair,graph_heat,0.03999999910593033,component_iid,0.900031566619873,1.0299041271209717,0.37317076325416565,0.03566404205048457,4,4,0.0,0.0,0.0
0,7,multi_plume,graph_heat,0.07999999821186066,component_iid,0.880328893661499,1.0005085468292236,0.35121950507164,0.03566404205048457,4,4,0.0,0.0,0.0
0,0,plume,graph_heat,0.03999999910593033,diagonal_shrinkage,0.6913527250289917,0.9101279377937317,0.6878048777580261,0.03550404199631885,4,4,1.3847905401964367,0.10839342869826747,-0.01707315444946289
0,1,wavy_front,graph_heat,0.07999999821186066,diagonal_shrinkage,0.6501400470733643,0.9514673948287964,0.3829268217086792,0.03550404199631885,4,4,9.186587055878665,7.218734789991301,0.07804876565933228
