split,iteration,case_count,mean_field_relative_l2,std_field_relative_l2,mean_gradient_relative_l2,std_gradient_relative_l2,mean_front_top10_f1,std_front_top10_f1,mean_curve_field_improvement_from_k1_percent,mean_curve_gradient_degradation_from_k1_percent,mean_curve_front_f1_improvement_from_k1_percent
validation,1,24,0.9783211052417755,0.005889038680991791,1.0510324984788895,0.016218226234912925,0.3614967999358972,0.0687196781132633,-0.0,0.0,0.0
validation,2,24,0.9655521909395853,0.00865180423148648,1.0996798674265544,0.02374092309190747,0.37778456260760623,0.055731452941856184,1.305186429463214,4.628531374440852,4.505645049858617
validation,3,24,0.9560114592313766,0.010075512360192494,1.143111030260722,0.02925502041397168,0.38097599397102994,0.05240875301365402,2.280401178188363,8.760769235498755,5.388483117578616
validation,4,24,0.9486205329497656,0.010764762158894478,1.17718043923378,0.03253478453042116,0.3802766775091489,0.05105245708133498,3.0358715694546894,12.002287363850167,5.195032867948454
validation,5,24,0.9426783670981725,0.011411506391419544,1.2063055982192357,0.03564970349500532,0.3800859563052654,0.04966163833258786,3.6432555684050656,14.773387118387465,5.142274114920132
validation,6,24,0.9380614832043648,0.01197193451687186,1.2295401692390442,0.038362248731995716,0.38145916163921356,0.0475405555060288,4.1151746417104285,16.98402961073997,5.522140640485957
validation,7,24,0.934222308297952,0.012412095644288312,1.248488222559293,0.040292712843428675,0.3821076179544131,0.047131648847493886,4.507599468880433,18.786833363018943,5.701521568702898
validation,8,24,0.9310759678483009,0.012783893934706674,1.2636725058158238,0.041471002227331896,0.3839004213611285,0.045794755514547786,4.829205578857336,20.23153495678567,6.1974605111868435
validation,9,24,0.9284114936987559,0.013108762397910584,1.2767577370007832,0.04268015117361463,0.38463787610332173,0.04449301449321188,5.101557277626688,21.47652321394204,6.401460862593549
validation,10,24,0.9260253111521403,0.013341226900669126,1.2890644371509552,0.04365317992162218,0.38618621602654457,0.044101326150175965,5.345463141849652,22.647438496579156,6.829774453058914
validation,11,24,0.924110954006513,0.013597404121622607,1.2992069323857625,0.04494701363156828,0.3867739786704381,0.043885835843729716,5.541140934689883,23.612441505476216,6.9923658353333265
validation,12,24,0.9223863805333773,0.01382313627708472,1.3085339764753978,0.04635039084282384,0.3879818953573704,0.043945844990103865,5.717419813260075,24.499858793060948,7.326508955589567
validation,13,24,0.9209380249182383,0.01404639960553948,1.3166212489207585,0.04764694736609136,0.3887702152132988,0.04396869585697314,5.86546482704735,25.26931858208412,7.544580002433746
validation,14,24,0.9196562618017197,0.014224195204464472,1.3237770398457844,0.04834800942396805,0.38941867525378865,0.04381532545902265,5.996481433931431,25.950152993520703,7.723961961168882
validation,15,24,0.9185152078668276,0.014393269865009547,1.3303288320700328,0.04935414839488222,0.38987641284863156,0.04389661664760316,6.113115321187709,26.573520228475903,7.850584823369621
validation,16,24,0.9175658176342646,0.01457272905021583,1.3357754399379094,0.05024128618060558,0.3899781294167042,0.04348467114131756,6.210158125178776,27.09173521000684,7.878722435677852
validation,17,24,0.9167321845889091,0.014724199291806721,1.3405767679214478,0.05107796919787181,0.39027057960629463,0.04308606558967057,6.295368700815843,27.54855533597698,7.959622236075065
validation,18,24,0.9159988289078077,0.014849110604578948,1.3446910977363586,0.051726868069464145,0.39070288091897964,0.04371285124804672,6.370329332572858,27.940011339560634,8.07920872003887
validation,19,24,0.9153364350398382,0.014959249559686631,1.3483587106068928,0.05228347302795802,0.3916056379675865,0.04331179760270848,6.438036536722953,28.288964666488408,8.328936255321882
validation,20,24,0.9147552226980528,0.015052192794045361,1.3515503803888957,0.05275415914573239,0.39208879818518955,0.04368197326749905,6.497445695808997,28.59263460881865,8.462591717192831
validation,21,24,0.9142173479000727,0.015147943483043382,1.3545111268758774,0.053287633653365536,0.39244481548666954,0.0439263670203722,6.55242506762242,28.874333461258185,8.561075936567146
validation,22,24,0.9137311081091563,0.015230246149391932,1.3572072088718414,0.0537518485466419,0.39264825855692226,0.04393760872936242,6.602126519253302,29.130850933350246,8.61735390923213
validation,23,24,0.9132903044422468,0.015322246032623834,1.3596379558245342,0.05419260447732509,0.39287712424993515,0.04360874861454972,6.647183675288028,29.36212322571139,8.680664481567343
validation,24,24,0.9128749345739683,0.015417653654095816,1.361926292379697,0.05461062645435447,0.3926355379323165,0.04366188510077954,6.68964109198414,29.579845946795153,8.613835033101543
test_iid,1,24,0.9809776296218237,0.0060139102999527076,1.0470110873381298,0.01345016625184764,0.3462007933606704,0.06209310074927126,-0.0,0.0,0.0
test_iid,2,24,0.9700330545504888,0.008857665208380293,1.092967078089714,0.024407551065947917,0.3649425307909648,0.05016971417499392,1.1156803927887813,4.389255405921305,5.413545488548126
test_iid,3,24,0.9613198364774386,0.010800149639554876,1.136350433031718,0.032511607874192716,0.36992676307757694,0.04551235897377395,2.0038982083580605,8.532798436807415,6.853239556903309
test_iid,4,24,0.9547174796462059,0.011926945190632763,1.169673666357994,0.0392821955159202,0.3723934491475423,0.04278267189667445,2.6769366785398874,11.71549953035509,7.565741121680366
test_iid,5,24,0.9493793919682503,0.01245967212967688,1.1981187909841537,0.04456277288880073,0.3733089218537013,0.040429999839556446,3.2210966590293006,14.43229259684278,7.8301751506357125
test_iid,6,24,0.9449349294106165,0.012843049426564423,1.2215855071942012,0.047792345821685456,0.3756357431411743,0.03829094317252,3.6741612777757178,16.673598013169183,8.502276813051301
test_iid,7,24,0.9411566853523254,0.013188371484739767,1.2411197523276012,0.04879071713443481,0.3769199438393116,0.03678473474540623,4.059312166460879,18.5393132257046,8.873217816874886
