active_measured_weighted_residual,algorithm_wall_seconds_full_path,alpha,augmented_objective_squared,breakdown,checkpoint,configuration_id,data_residual_consistency_relative_difference,data_residual_squared,evaluator_forward_api_calls,evaluator_wall_seconds,family,field_relative_l2,front_top10_f1,gradient_relative_l2,heldout_b_clean_residual,lambda_h1,lambda_l2,physical_adjoint_calls_full_path,physical_forward_calls_full_path,quadratic_penalty_squared,regularization_family,regularization_row_count,sample_id,split
0.3757961392402649,0.1589811670128256,0.007056996387577011,13777.158203125,False,4,cgls,3.464188296220527e-07,13777.1591796875,1,0.015257416060194373,plume,0.95891273021698,0.4208117127418518,1.1719022989273071,0.8210468292236328,0.0,0.0,24,24,0.0,unregularized,0,validation-000,validation
0.18976907432079315,0.1589811670128256,0.008087536939935467,3513.224853515625,False,8,cgls,9.814662007556763e-07,3513.224853515625,1,0.015257416060194373,plume,0.9421340823173523,0.42691487073898315,1.2796770334243774,0.7696986794471741,0.0,0.0,24,24,0.0,unregularized,0,validation-000,validation
0.11731880903244019,0.1589811670128256,0.009365481439847799,1342.7352294921875,False,12,cgls,1.833193095990282e-06,1342.735107421875,1,0.015257416060194373,plume,0.9344423413276672,0.41562405228614807,1.3195182085037231,0.7458285689353943,0.0,0.0,24,24,0.0001220703125,unregularized,0,validation-000,validation
0.07677771151065826,0.1589811670128256,0.0089544904562943,575.0759887695312,False,16,cgls,3.1256352031050483e-06,575.076171875,1,0.015257416060194373,plume,0.9302588701248169,0.40677449107170105,1.3441904783248901,0.7317149639129639,0.0,0.0,24,24,0.0,unregularized,0,validation-000,validation
0.05617906153202057,0.1589811670128256,0.01079131480283154,307.8958740234375,False,20,cgls,4.476557478483301e-06,307.8959045410156,1,0.015257416060194373,plume,0.9281081557273865,0.4089106023311615,1.3570027351379395,0.7242090702056885,0.0,0.0,24,24,0.0,unregularized,0,validation-000,validation
0.04313862323760986,0.1589811670128256,0.010216790219947964,181.54635620117188,False,24,cgls,6.064312401576899e-06,181.54638671875,1,0.015257416060194373,plume,0.9266003370285034,0.4079951047897339,1.3653730154037476,0.7201951146125793,0.0,0.0,24,24,0.0,unregularized,0,validation-000,validation
0.2769103944301605,0.13465904106851667,0.007414205059430664,15670.3984375,False,4,cgls,4.4427369516597537e-07,15670.3974609375,1,0.009426124976016581,wavy_front,0.9401353597640991,0.37046077847480774,1.1898193359375,0.7111950516700745,0.0,0.0,24,24,0.0009765625,unregularized,0,validation-001,validation
0.1604427844285965,0.13465904106851667,0.009001639693688281,5260.68017578125,False,8,cgls,9.625592838347075e-07,5260.67919921875,1,0.009426124976016581,wavy_front,0.9223949909210205,0.38266706466674805,1.2537742853164673,0.6510007977485657,0.0,0.0,24,24,0.0009765625,unregularized,0,validation-001,validation
0.10607156157493591,0.13465904106851667,0.008416479135278035,2299.319580078125,False,12,cgls,1.6607759789621923e-06,2299.31982421875,1,0.009426124976016581,wavy_front,0.9116969108581543,0.39823007583618164,1.3032701015472412,0.6182391047477722,0.0,0.0,24,24,0.0,unregularized,0,validation-001,validation
0.07689541578292847,0.13465904106851667,0.007214863329937862,1208.376708984375,False,16,cgls,2.6085212994075846e-06,1208.3768310546875,1,0.009426124976016581,wavy_front,0.9051252007484436,0.39792492985725403,1.335609793663025,0.5996827483177185,0.0,0.0,24,24,0.0,unregularized,0,validation-001,validation
