case_count,checkpoint,configuration_id,dominated_by_any_cgls_checkpoint,dominates_at_least_one_cgls_checkpoint,globally_dominated,lambda_h1,lambda_l2,maximum_data_residual_consistency_relative_difference,mean_active_measured_weighted_residual,mean_active_residual_ratio_vs_same_k_cgls,mean_augmented_objective_squared,mean_field_gain_vs_same_k_cgls_percent,mean_field_relative_l2,mean_front_top10_f1,mean_gradient_gain_vs_same_k_cgls_percent,mean_gradient_relative_l2,mean_heldout_b_clean_residual,mean_heldout_b_ratio_vs_same_k_cgls,mean_quadratic_penalty_squared,pilot_signal,regularization_family
24,4,cgls,False,False,True,0.0,0.0,4.4427369516597537e-07,0.3354494273662567,1.0,14723.704752604166,0.0,0.9486205329497656,0.3802766775091489,0.0,1.1771804292996724,0.7538613503177961,1.0,8.138020833333333e-05,False,unregularized
24,8,cgls,False,False,True,0.0,0.0,1.2299042282393202e-06,0.18088890860478082,1.0,4262.143137613933,0.0,0.9310759678483009,0.3839004213611285,0.0,1.2636725058158238,0.695365384221077,1.0,0.0001220703125,False,unregularized
24,12,cgls,False,False,True,0.0,0.0,2.263903979837778e-06,0.11504941495756309,1.0,1732.5250956217449,0.0,0.9223863805333773,0.3879818953573704,0.0,1.3085339814424515,0.6707173734903336,1.0,5.340576171875e-05,False,unregularized
24,16,cgls,False,False,True,0.0,0.0,3.5031791867368156e-06,0.08038438856601715,1.0,852.328732808431,0.0,0.9175658226013184,0.3899781294167042,0.0,1.335775430003802,0.6594343247512976,1.0,3.3060709635416664e-05,False,unregularized
24,20,cgls,False,False,True,0.0,0.0,5.05556408825214e-06,0.06150910630822182,1.0,503.0474402109782,0.0,0.9147552276651064,0.39208879818518955,0.0,1.3515503803888957,0.6526533973713716,1.0,2.4159749348958332e-05,False,unregularized
24,24,cgls,False,False,True,0.0,0.0,6.680499154754216e-06,0.049991132225841284,1.0,335.6209144592285,0.0,0.9128749420245489,0.3926355379323165,0.0,1.3619263023138046,0.6476919191579024,1.0,2.5431315104166668e-05,False,unregularized
24,4,h1_1e-5,False,True,True,1e-05,0.0,4.442317447228561e-07,0.33543996637066203,0.9999717960597847,14737.076009114584,0.0005788487292024115,0.9486150418718656,0.3802512474358082,0.007110616809123914,1.1770967245101929,0.7538650209705035,1.0000048691350283,14.204060872395834,False,h1
24,8,h1_1e-5,False,True,True,1e-05,0.0,1.2217756193422247e-06,0.18086024622122446,0.9998415470369221,4282.729359944661,0.004265396109429301,0.9310362537701925,0.38392585267623264,0.022975432587534907,1.2633821715911229,0.6953253870209058,0.9999424803116769,21.890380859375,False,h1
24,12,h1_1e-5,False,True,True,1e-05,0.0,2.3403947579936357e-06,0.11499715068687995,0.9995457232815793,1757.2291946411133,0.011989979165764116,0.9222757865985235,0.3880327542622884,0.04667580694695845,1.307923212647438,0.6705856968959173,0.9998036779728382,26.211626688639324,False,h1
24,16,h1_1e-5,False,True,True,1e-05,0.0,3.6070225633011432e-06,0.08030882695068915,0.9990599963913895,879.5919469197592,0.023968983989645153,0.9173458913962046,0.390156136204799,0.0776831298695931,1.334737757841746,0.659162571032842,0.999587898736454,28.805211385091145,False,h1
24,20,h1_1e-5,False,True,True,1e-05,0.0,5.209720711718546e-06,0.061417332074294485,0.9985079569605929,531.8619257609049,0.039634663136381795,0.9143926675120989,0.39231767132878304,0.114089504155187,1.3500084032615025,0.6522014898558458,0.9993075842133882,30.25817362467448,False,h1
24,24,h1_1e-5,False,True,True,1e-05,0.0,6.894619218655862e-06,0.04988641586775581,0.9979053013319961,365.45156224568683,0.05972489711009866,0.9123297284046809,0.39277540395657223,0.1576030773854032,1.3597798645496368,0.6470137437184652,0.9989529351542337,31.16957155863444,False,h1
24,4,h1_1e-6,False,True,True,1e-06,0.0,4.621942650828714e-07,0.335448478658994,0.9999971718322188,14725.042236328125,5.8905908670530346e-05,0.9486199741562208,0.3802766775091489,0.000710977291904372,1.1771720598141353,0.7538617104291916,1.0000004776891604,1.4208984375,False,h1
