method,model_seed,split,dc_mode,dc_steps,case_count,field_relative_l2_mean,h1_seminorm_relative_error_mean,measured_reprojection_relative_l2_mean,field_gain_to_cgls_mean,reprojection_ratio_to_cgls_mean,field_gain_to_cgls_minimum,field_harm_rate,optimization_forward_calls,optimization_adjoint_calls
jacru_m2,17,development,base_nullspace_filter,1,12,0.33701921223957254,0.5753494767046748,0.12889231426777245,0.5056838982036022,14.975928717938613,0.25811436816401195,0.0,14,14
jacru_m2,17,development,base_nullspace_filter,3,12,0.33275409231930175,0.5858431538074167,0.06798016686046426,0.5107332523961564,7.469158711870809,0.28597037118877366,0.0,16,16
jacru_m2,17,development,base_nullspace_filter,5,12,0.33258200172211344,0.5921064559708403,0.049640915145614084,0.5104618442850992,5.235672681042569,0.2952777916662271,0.0,18,18
jacru_m2,17,development,base_nullspace_filter,11,12,0.3342827089580247,0.6010843102807849,0.03319557876391895,0.5077567755526968,3.201846671927287,0.2955735062746577,0.0,24,24
jacru_m2,17,development,measurement_pullback,0,12,0.35240252109802367,0.582230064754912,0.23217638869562507,0.4833183925780546,28.311072623217058,0.2253573374497214,0.0,13,13
jacru_m2,17,development,measurement_pullback,1,12,0.3371132019602216,0.5753639222300128,0.12888974425168387,0.5055545087766548,14.972506899089092,0.2577827199430706,0.0,14,14
jacru_m2,17,development,measurement_pullback,3,12,0.3329754405276171,0.5858830284879398,0.06775414214902854,0.5104267521345017,7.446004672622611,0.28521067102945785,0.0,16,16
jacru_m2,17,development,measurement_pullback,5,12,0.33290435686805203,0.5921902377276017,0.04910778752738318,0.5100138779505303,5.189550401284712,0.2942584964913345,0.0,18,18
jacru_m2,17,development,measurement_pullback,11,12,0.3349217896170429,0.6014722515344801,0.03165928433018445,0.5068647505939553,3.0732857185164195,0.2939231330750385,0.0,24,24
jacru_m2,17,ood,base_nullspace_filter,1,18,0.4136342544482055,0.6633022016575248,0.1517718360631598,0.3778609279566627,19.36666467978694,0.20954233502405287,0.0,14,14
jacru_m2,17,ood,base_nullspace_filter,3,18,0.39574603501414435,0.6587286190268988,0.08199514352931442,0.4040015762034027,10.21921645935867,0.27241440105804626,0.0,16,16
jacru_m2,17,ood,base_nullspace_filter,5,18,0.38957083830992184,0.6589110734611828,0.060251148544999515,0.41308708741784284,7.425406833804124,0.2939091196867774,0.0,18,18
jacru_m2,17,ood,base_nullspace_filter,11,18,0.3858706472631088,0.6642276409405272,0.03687080121853766,0.418709806843459,4.41129521710987,0.3104660320476446,0.0,24,24
jacru_m2,17,ood,measurement_pullback,0,18,0.4448493420192548,0.6889651511223669,0.27788662095439076,0.3312541900497542,36.533945306511164,0.11704635194522464,0.0,13,13
jacru_m2,17,ood,measurement_pullback,1,18,0.41363466052767045,0.6633000809334315,0.15173261620134162,0.37786343337537975,19.358867924321984,0.20967259017359735,0.0,14,14
jacru_m2,17,ood,measurement_pullback,3,18,0.3957522652196357,0.6587629656202698,0.08174787167338744,0.40399653171948957,10.188380653330638,0.27261361755024505,0.0,16,16
jacru_m2,17,ood,measurement_pullback,5,18,0.3895973240319553,0.6589993789002252,0.059807557964101345,0.4130525195445782,7.3754022608430425,0.2940953739026108,0.0,18,18
jacru_m2,17,ood,measurement_pullback,11,18,0.38600367926851864,0.6645175141508509,0.035882579000549204,0.418520959755587,4.306165805803931,0.31049007633609566,0.0,24,24
jacru_m2,29,development,base_nullspace_filter,1,12,0.37062612948909096,0.609425308337498,0.13332154120678763,0.45502637370810267,15.002220434421185,0.19894857407969074,0.0,14,14
jacru_m2,29,development,base_nullspace_filter,3,12,0.36006520476252807,0.6155001187612685,0.07256739363729106,0.46899716516723583,7.831946797263779,0.24680949989013717,0.0,16,16
jacru_m2,29,development,base_nullspace_filter,5,12,0.3568432114937949,0.6205590340447067,0.05194423699405564,0.4731192322117415,5.476105737521354,0.2647794707137129,0.0,18,18
jacru_m2,29,development,base_nullspace_filter,11,12,0.35612929785794395,0.629807372000958,0.03170101065700289,0.47393878640650816,3.0825131993826687,0.27163066201924846,0.0,24,24
jacru_m2,29,development,measurement_pullback,0,12,0.38973451840310397,0.6211035057667305,0.23580560085535154,0.4277766276817036,28.15065249899004,0.1472845794438963,0.0,13,13
jacru_m2,29,development,measurement_pullback,1,12,0.3707662464098995,0.6094979881109341,0.13347173375594612,0.45483038870161857,15.010347664572132,0.1985481278242076,0.0,14,14
jacru_m2,29,development,measurement_pullback,3,12,0.3603576944064384,0.6156555772001077,0.07260985061801949,0.46858618254313744,7.829753743398303,0.2459555845738796,0.0,16,16
