seed,split,sample_index,sample_seed,family_id,view_count,noise_level,support_fit_residual_weight,method,rel_l2,gradient_rel_l2,support_reprojection_rel_l2,heldout_reprojection_rel_l2,support_correction_leakage,correction_norm_ratio,field_improvement_vs_base_pct
20260710,test_iid,80,20460710,0,5,0.02,0.5595802664756775,support_fit_base,0.16355053871176697,0.2678409123601921,0.1845803871503902,0.19897870068777715,0.0,0.0,0.0
20260710,test_iid,80,20460710,0,5,0.02,0.5595802664756775,free_correction,0.17933634215484212,0.2844598679747416,0.19478672532409302,0.2144612957424769,0.042843315803087485,0.041453377559819454,-9.651942186995
20260710,test_iid,80,20460710,0,5,0.02,0.5595802664756775,nullspace_correction,0.1774508143032349,0.2864804645492727,0.18458038800026902,0.21339315321059116,2.0462126541479323e-08,0.04267940845996798,-8.499070501919933
20260710,test_iid,80,20460710,0,5,0.02,0.5595802664756775,oracle_null_upper_bound,0.14215765655656237,0.22115764723106435,0.1845803871503902,0.15439038256622709,6.399910345201437e-17,0.07747144120361922,13.080288407227757
20260710,test_iid,81,20460711,0,5,0.05,0.32091888785362244,support_fit_base,0.20935812209038443,0.30785122110145324,0.21510811964516702,0.2507276888564854,0.0,0.0,0.0
20260710,test_iid,81,20460711,0,5,0.05,0.32091888785362244,free_correction,0.21796451023526917,0.315344545361334,0.22838904777091218,0.25721805371920486,0.04337989525402301,0.039372072011653325,-4.110845119793376
20260710,test_iid,81,20460711,0,5,0.05,0.32091888785362244,nullspace_correction,0.21576243660398714,0.3195859661097388,0.21510811648823455,0.2549208675422027,1.966729478560643e-08,0.04682894972431971,-3.0590236717958517
20260710,test_iid,81,20460711,0,5,0.05,0.32091888785362244,oracle_null_upper_bound,0.17099962637065846,0.23956299057238373,0.21510811964516707,0.16310931775716236,8.300141737824899e-17,0.11572700608916825,18.321952516837417
20260710,test_iid,82,20460712,0,7,0.02,0.6406689882278442,support_fit_base,0.16876580964379345,0.25648555132236334,0.20129400487747484,0.19272892661814625,0.0,0.0,0.0
20260710,test_iid,82,20460712,0,7,0.02,0.6406689882278442,free_correction,0.1811041292284415,0.2697862577753729,0.21348303817340064,0.19571497284715467,0.040398938934413264,0.038791480579408205,-7.310911855083015
20260710,test_iid,82,20460712,0,7,0.02,0.6406689882278442,nullspace_correction,0.17363129431573987,0.2587211560472806,0.20129400459292396,0.18890334477334345,2.3151038540606323e-08,0.02804997351776552,-2.8829800788364377
20260710,test_iid,82,20460712,0,7,0.02,0.6406689882278442,oracle_null_upper_bound,0.1546900311124329,0.23281736883440227,0.20129400487747484,0.1416594150924219,6.180692610921051e-17,0.06221723069174356,8.340420705465325
20260710,test_iid,83,20460713,0,7,0.05,0.4492911398410797,support_fit_base,0.12588025897437197,0.24460984170788302,0.14914020789417293,0.1326706736615768,0.0,0.0,0.0
20260710,test_iid,83,20460713,0,7,0.05,0.4492911398410797,free_correction,0.1241491003217167,0.25060731000736886,0.15718474226934398,0.1401495084159722,0.04317363224674348,0.04089477747971095,1.3752423666319027
20260710,test_iid,83,20460713,0,7,0.05,0.4492911398410797,nullspace_correction,0.11669739303002286,0.24778745776257466,0.1491402097542074,0.1368371298565251,2.1378688548862274e-08,0.0396612349592442,7.294921395217106
20260710,test_iid,83,20460713,0,7,0.05,0.4492911398410797,oracle_null_upper_bound,0.1045088168423308,0.21857050930314398,0.14914020789417293,0.10521673018826798,6.592183931993924e-17,0.07225255394228508,16.97759625377193
20260710,test_iid,84,20460714,1,5,0.02,1.0,support_fit_base,0.39857204861389545,0.6740447803707533,0.2733810115800704,0.4285587015094093,0.0,0.0,0.0
20260710,test_iid,84,20460714,1,5,0.02,1.0,free_correction,0.4021235560892056,0.675534003320975,0.28203364552580945,0.42710490277016455,0.04368092423053388,0.04868990157733382,-0.8910578370089465
20260710,test_iid,84,20460714,1,5,0.02,1.0,nullspace_correction,0.3940329649736115,0.671976295978913,0.2733810108802718,0.4180511388453183,1.900699831354286e-08,0.08120599723428479,1.1388364176710364
20260710,test_iid,84,20460714,1,5,0.02,1.0,oracle_null_upper_bound,0.1866670169527528,0.294264773976674,0.2733810115800704,0.11278663870262871,2.2287457115046136e-16,0.37112575168827405,53.166054267364736
20260710,test_iid,85,20460715,1,5,0.05,0.865770161151886,support_fit_base,0.37933609677956504,0.6131707476091315,0.3655470851769005,0.48682013602002777,0.0,0.0,0.0
20260710,test_iid,85,20460715,1,5,0.05,0.865770161151886,free_correction,0.3779351367886115,0.6138426138317066,0.3732639297695008,0.4742525038926392,0.029933482493843488,0.04088756323179397,0.36931892399471167
20260710,test_iid,85,20460715,1,5,0.05,0.865770161151886,nullspace_correction,0.3697906138638075,0.6075693733162877,0.3655470829653444,0.46108261114183013,2.0726355806433636e-08,0.06068518044677261,2.5163655651993766
20260710,test_iid,85,20460715,1,5,0.05,0.865770161151886,oracle_null_upper_bound,0.2329177913535079,0.34869937764280723,0.3655470851769005,0.1650262010345897,1.8587597202795859e-16,0.34921703953767314,38.598569097091726
20260710,test_iid,86,20460716,1,7,0.02,0.5896209478378296,support_fit_base,0.2745816625297742,0.4830844550889875,0.24877610115237797,0.35053527262590045,0.0,0.0,0.0
20260710,test_iid,86,20460716,1,7,0.02,0.5896209478378296,free_correction,0.2778342388178953,0.4801284066743673,0.2531193948301548,0.3420886147386442,0.03838140493651083,0.04921032141516471,-1.1845569941352538
20260710,test_iid,86,20460716,1,7,0.02,0.5896209478378296,nullspace_correction,0.27104069074132053,0.4758119985885325,0.24877610179625814,0.328528778460808,1.8712741016378266e-08,0.03740013622582392,1.2895878609726095
20260710,test_iid,86,20460716,1,7,0.02,0.5896209478378296,oracle_null_upper_bound,0.20472751709556122,0.3319077617305349,0.24877610115237797,0.15059426132174308,1.119951225322021e-16,0.19628827915260744,25.44020776565294
20260710,test_iid,87,20460717,1,7,0.05,0.6123316287994385,support_fit_base,0.31907075258767953,0.5415077822899781,0.29609144391728714,0.3770334327172558,0.0,0.0,0.0
20260710,test_iid,87,20460717,1,7,0.05,0.6123316287994385,free_correction,0.3213443734937525,0.5412140757435726,0.30059404159312186,0.37766294295918695,0.03098148513491599,0.045620613886204316,-0.7125757806463512
