seed,split,method,sample_count,parameters,rel_l2_mean,gradient_rel_l2_mean,support_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_mean,support_correction_leakage_mean,correction_norm_ratio_mean,field_improvement_vs_base_pct_mean
20260710,test_iid,support_fit_base,20,0,0.2510660284479596,0.4119332034982134,0.23170487252575173,0.29230030582711863,0.0,0.0,0.0
20260710,test_iid,free_correction,20,13105,0.2556609286016525,0.4167184890913858,0.24044080610891405,0.295144921624948,0.040611024623547945,0.043686011679611926,-2.8848789757749023
20260710,test_iid,nullspace_correction,20,13105,0.25012289630446827,0.4148084527926132,0.23170487265020095,0.2903917691835375,2.0051916614598123e-08,0.04819002206088262,-0.46785505301938607
20260710,test_iid,oracle_null_upper_bound,20,0,0.1773660225845004,0.2795682375219963,0.23170487252575178,0.15084162876417478,1.1464090543822775e-16,0.1825921523523143,23.13825037099162
20260710,test_view_ood,support_fit_base,16,0,0.343371911210697,0.5414644213718405,0.2646835793744873,0.42441400175798516,0.0,0.0,0.0
20260710,test_view_ood,free_correction,16,13105,0.34595937542417154,0.543898385341117,0.2784600036091541,0.42375573296888003,0.05690210456690174,0.058040999018738305,-1.0406166197481388
20260710,test_view_ood,nullspace_correction,16,13105,0.34745465670490566,0.5501646964101056,0.26468357958385647,0.42803679900993535,1.904779840123205e-08,0.08430831946687783,-2.116584255326413
20260710,test_view_ood,oracle_null_upper_bound,16,0,0.15126922785808494,0.2330926340436263,0.2646835793744873,0.10312982771712281,1.7342541332784974e-16,0.3380477010248307,51.57512217982052
20260710,test_noise_ood,support_fit_base,16,0,0.28128189568001605,0.45496452896276474,0.25233351460555287,0.3236022651632149,0.0,0.0,0.0
20260710,test_noise_ood,free_correction,16,13105,0.2800224696865712,0.4573636606274263,0.258610439117853,0.32352372368495624,0.03890370426149524,0.04625305392307713,0.28366485875292324
20260710,test_noise_ood,nullspace_correction,16,13105,0.27447001514576674,0.45622116275260405,0.25233351436834545,0.3190594905436729,1.9140443652119016e-08,0.04936605877327734,2.903273017308824
20260710,test_noise_ood,oracle_null_upper_bound,16,0,0.18226781837950107,0.2860587171837306,0.25233351460555287,0.15592363968255696,1.3423349987235725e-16,0.24447636415698515,30.320622815440352
20260710,test_joint_ood,support_fit_base,16,0,0.3594886511241058,0.540203023038411,0.24722139637608825,0.42082605332784545,0.0,0.0,0.0
20260710,test_joint_ood,free_correction,16,13105,0.362018909602189,0.5410095853051947,0.2573703435262399,0.4199323866837411,0.051081610094615926,0.05926915232891242,-0.5047768383040037
20260710,test_joint_ood,nullspace_correction,16,13105,0.3626832613663161,0.5459126779121074,0.24722139687468359,0.42653155422641,1.6613042393127808e-08,0.0841893999197503,-0.5307177914526477
20260710,test_joint_ood,oracle_null_upper_bound,16,0,0.15618102091961444,0.22933873704022648,0.2472213963760883,0.11424408354154136,1.7049738263821288e-16,0.38660429656788464,52.28070006018042
20260710,test_family_ood,support_fit_base,20,0,0.6905943259685108,0.8895543480952093,0.5681711699822025,0.6936761343573679,0.0,0.0,0.0
20260710,test_family_ood,free_correction,20,13105,0.6928431425101218,0.8910796685399376,0.5743325660858621,0.6923258610904044,0.041147859602623925,0.05960162918853505,-0.32473919961401027
20260710,test_family_ood,nullspace_correction,20,13105,0.6881689043359784,0.8879615349823154,0.568171169902143,0.6822746177950864,1.4587771581230476e-08,0.059242987878330176,0.3617055438825119
20260710,test_family_ood,oracle_null_upper_bound,20,0,0.39651773826286185,0.44051931900860275,0.5681711699822026,0.23625781791725484,3.804140657010587e-16,0.8474135996897834,42.613796730729156
