metric,split,cell_count,selection_accuracy,weight_advantage_pearson,router_weight_mean
rel_l2,test_iid,60,0.45,-0.15040006497444625,0.4960963785648346
rel_l2,test_view_ood,48,0.5625,0.2712014885340314,0.49521287468572456
rel_l2,test_noise_ood,48,0.4791666666666667,-0.269148662851512,0.48781942886610824
rel_l2,test_joint_ood,48,0.6041666666666666,-0.15255922753116716,0.486022158836325
rel_l2,test_family_ood,60,0.4166666666666667,-0.4233551730317716,0.5025399977962176
rel_l2,all,264,0.4962121212121212,-0.08991896636727979,0.4940636241526315
heldout_reprojection_rel_l2,test_iid,60,0.48333333333333334,-0.036583031778999506,0.4960963785648346
heldout_reprojection_rel_l2,test_view_ood,48,0.5625,0.3375029216095724,0.49521287468572456
heldout_reprojection_rel_l2,test_noise_ood,48,0.5416666666666666,0.002161118429550954,0.48781942886610824
heldout_reprojection_rel_l2,test_joint_ood,48,0.625,-0.11443094732781146,0.486022158836325
heldout_reprojection_rel_l2,test_family_ood,60,0.6166666666666667,0.2663116538312166,0.5025399977962176
heldout_reprojection_rel_l2,all,264,0.5643939393939394,0.04846431348525222,0.4940636241526315
