seed,experiment,split,parameters,train_seconds,best_epoch,best_val_rel_l2,router_weight_mean,rel_l2_mean,gradient_rel_l2_mean,observed_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_mean,mass_relative_error_mean,centroid_error_mean
20260710,residual_head,test_iid,86823,37.85062329203356,29,0.28186678141355515,1.0,0.259228328615427,0.4200882464647293,0.2430100753903389,0.30093514993786813,0.09115208922885358,0.03929324790167736
20260710,absolute_head,test_iid,86823,37.85062329203356,29,0.28186678141355515,0.0,0.26508876457810404,0.43756567090749743,0.2456982657313347,0.30805241838097575,0.1023510912898928,0.029156505471803464
20260710,uniform_dual,test_iid,86823,37.85062329203356,29,0.28186678141355515,0.5,0.251992404460907,0.4121972881257534,0.2332803100347519,0.2937175534665585,0.09010888622724451,0.02934566063549419
20260710,support_fit_mix,test_iid,86823,37.85062329203356,29,0.28186678141355515,0.5582689046859741,0.25106602609157563,0.4119332067668438,0.23170487433671952,0.2923003025352955,0.08979631185648032,0.029323319671572846
20260710,query_router,test_iid,86823,37.85062329203356,29,0.28186678141355515,0.5747252702713013,0.251749836653471,0.41116956397891047,0.23331584110856057,0.2934135675430298,0.0893269899956067,0.030216968504183
20260710,residual_head,test_view_ood,86823,37.85062329203356,29,0.28186678141355515,1.0,0.3587593398988247,0.5629511494189501,0.29611776303499937,0.43341928347945213,0.10867899167351425,0.03121918347093041
20260710,absolute_head,test_view_ood,86823,37.85062329203356,29,0.28186678141355515,0.0,0.3512751115486026,0.5569287426769733,0.2738828333094716,0.4349403455853462,0.10453697969205678,0.032887750676631924
20260710,uniform_dual,test_view_ood,86823,37.85062329203356,29,0.28186678141355515,0.5,0.3408441450446844,0.5359022319316864,0.27039695251733065,0.4180216332897544,0.10206401575123891,0.02848076033526141
20260710,support_fit_mix,test_view_ood,86823,37.85062329203356,29,0.28186678141355515,0.3538793921470642,0.34337190818041563,0.5414644256234169,0.2646835781633854,0.4244139976799488,0.10207373587763868,0.029263519539917782
20260710,query_router,test_view_ood,86823,37.85062329203356,29,0.28186678141355515,0.5716559886932373,0.3416795553639531,0.536819601431489,0.27243806701153517,0.4182291068136692,0.10285516595467925,0.028651765357352095
20260710,residual_head,test_noise_ood,86823,37.85062329203356,29,0.28186678141355515,1.0,0.29092846531420946,0.46652485243976116,0.2680103834718466,0.3343189060688019,0.08794573205523193,0.027764717565518158
20260710,absolute_head,test_noise_ood,86823,37.85062329203356,29,0.28186678141355515,0.0,0.2920302227139473,0.4729148056358099,0.2620359770953655,0.3397829607129097,0.098219677175166,0.03966705319328688
20260710,uniform_dual,test_noise_ood,86823,37.85062329203356,29,0.28186678141355515,0.5,0.28256700467318296,0.45450431294739246,0.25466795079410076,0.32712886948138475,0.10182901029475033,0.031997950963311254
20260710,support_fit_mix,test_noise_ood,86823,37.85062329203356,29,0.28186678141355515,0.47224026918411255,0.28128188755363226,0.4549645325168967,0.2523335088044405,0.32360227033495903,0.09757646592333913,0.033099383491874024
20260710,query_router,test_noise_ood,86823,37.85062329203356,29,0.28186678141355515,0.5847158432006836,0.2827373119071126,0.4543532468378544,0.2554817795753479,0.32691831327974796,0.10073926695622504,0.03079375421051014
20260710,residual_head,test_joint_ood,86823,37.85062329203356,29,0.28186678141355515,1.0,0.37426644563674927,0.5572005566209555,0.2785362908616662,0.4230689834803343,0.10605037930508843,0.046252015589995435
20260710,absolute_head,test_joint_ood,86823,37.85062329203356,29,0.28186678141355515,0.0,0.36644081119447947,0.5566574335098267,0.2587731312960386,0.42837752029299736,0.09543081664014608,0.0452078534770594
20260710,uniform_dual,test_joint_ood,86823,37.85062329203356,29,0.28186678141355515,0.5,0.357204956933856,0.5354666598141193,0.25260733254253864,0.41218921449035406,0.10962403078156058,0.040923078475158026
20260710,support_fit_mix,test_joint_ood,86823,37.85062329203356,29,0.28186678141355515,0.3945225179195404,0.35948864556849003,0.5402030274271965,0.24722139816731215,0.4208260541781783,0.10371842968743294,0.04168577401148561
20260710,query_router,test_joint_ood,86823,37.85062329203356,29,0.28186678141355515,0.5786858797073364,0.35817321576178074,0.5360678397119045,0.25465263705700636,0.4121287101879716,0.10942375969170826,0.041077597059560225
20260710,residual_head,test_family_ood,86823,37.85062329203356,29,0.28186678141355515,1.0,0.69713454246521,0.8957237631082535,0.5748316720128059,0.7020547658205032,0.1110877956263721,0.04532527282691221
20260710,absolute_head,test_family_ood,86823,37.85062329203356,29,0.28186678141355515,0.0,0.6916114121675492,0.8875141531229019,0.5731675624847412,0.6961798340082168,0.11923318300396205,0.03438307271267769
20260710,uniform_dual,test_family_ood,86823,37.85062329203356,29,0.28186678141355515,0.5,0.691289159655571,0.8900667369365692,0.5693143129348754,0.6956391900777816,0.10363219258142635,0.03311392406137749
20260710,support_fit_mix,test_family_ood,86823,37.85062329203356,29,0.28186678141355515,0.4535122811794281,0.6905943244695664,0.8895543694496155,0.568171164393425,0.6936761468648911,0.10515924479695968,0.034657882048373743
20260710,query_router,test_family_ood,86823,37.85062329203356,29,0.28186678141355515,0.5982332229614258,0.6919715285301209,0.8909484058618545,0.569680368900299,0.696414902806282,0.10311543838470243,0.03459061006116331
20260711,residual_head,test_iid,86823,38.571697875042446,30,0.2912848964333534,1.0,0.2631508596241474,0.411247431486845,0.2389245592057705,0.3161057122051716,0.12424342422746122,0.04413431144563205
20260711,absolute_head,test_iid,86823,38.571697875042446,30,0.2912848964333534,0.0,0.2780238017439842,0.4474546521902084,0.2661258652806282,0.3254586473107338,0.1281430537928827,0.033255266235916
20260711,uniform_dual,test_iid,86823,38.571697875042446,30,0.2912848964333534,0.5,0.2582441955804825,0.4090243898332119,0.2384625755250454,0.30604011490941047,0.11634584594721673,0.03577794098077399
20260711,support_fit_mix,test_iid,86823,38.571697875042446,30,0.2912848964333534,0.6628381609916687,0.25253309719264505,0.39936150088906286,0.22970229014754295,0.2997374154627323,0.11240839666570537,0.038742648761004854
20260711,query_router,test_iid,86823,38.571697875042446,30,0.2912848964333534,0.4090877175331116,0.2601337619125843,0.4133834332227707,0.24160730838775635,0.3075388617813587,0.11723131018225104,0.034775887716631274
20260711,residual_head,test_view_ood,86823,38.571697875042446,30,0.2912848964333534,1.0,0.3649704745039344,0.5653306059539318,0.29463763255625963,0.44578979164361954,0.08129195659421384,0.032053783582007084
20260711,absolute_head,test_view_ood,86823,38.571697875042446,30,0.2912848964333534,0.0,0.34028766863048077,0.5433517638593912,0.28873354382812977,0.4152308087795973,0.08192288019927219,0.03365111925303856
20260711,uniform_dual,test_view_ood,86823,38.571697875042446,30,0.2912848964333534,0.5,0.3386116102337837,0.5299364626407623,0.2715246630832553,0.4166813651099801,0.07583280703693163,0.028397023603473504
20260711,support_fit_mix,test_view_ood,86823,38.571697875042446,30,0.2912848964333534,0.49168092012405396,0.34087747521698475,0.5354328583925962,0.266969439573586,0.4203749978914857,0.07803672158479458,0.027367368781737594
20260711,query_router,test_view_ood,86823,38.571697875042446,30,0.2912848964333534,0.41130340099334717,0.33675430715084076,0.5287000425159931,0.2715713931247592,0.41433230601251125,0.07647668458230328,0.028677181826117427
20260711,residual_head,test_noise_ood,86823,38.571697875042446,30,0.2912848964333534,1.0,0.29325253143906593,0.4728719564154744,0.2702471688389778,0.35746628046035767,0.07390181958908215,0.04388971861978378
20260711,absolute_head,test_noise_ood,86823,38.571697875042446,30,0.2912848964333534,0.0,0.30772911943495274,0.49239546805620193,0.2892317334190011,0.3637892436236143,0.12259039655327797,0.031479987391781185
20260711,uniform_dual,test_noise_ood,86823,38.571697875042446,30,0.2912848964333534,0.5,0.28747865092009306,0.46473892871290445,0.265860827639699,0.34733291901648045,0.07369077505427413,0.03331067577145038
20260711,support_fit_mix,test_noise_ood,86823,38.571697875042446,30,0.2912848964333534,0.6612430810928345,0.28397779911756516,0.46132035460323095,0.26124885585159063,0.34352165274322033,0.06019460171228275,0.03471075502334819
20260711,query_router,test_noise_ood,86823,38.571697875042446,30,0.2912848964333534,0.37744224071502686,0.29015265591442585,0.46846543438732624,0.26917693857103586,0.3490240890532732,0.08513530250638723,0.03174976337262709
20260711,residual_head,test_joint_ood,86823,38.571697875042446,30,0.2912848964333534,1.0,0.38508541509509087,0.5716667100787163,0.3000277718529105,0.4370552683249116,0.05330096553370822,0.06701024017964262
