case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,projection_iterations,interpolation_fraction,paired_call_budget,field_gain,h1_gain,reprojection_ratio_to_matched_cgls,field_harm,truth_used_by_candidate,exact_camera_block_setup_forward_equivalents,preconditioner_block_count
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2486510454472608,0.025485096171064595,0.02891391735674062,0.003292887447263724,0.47970128473137474,0.19775896901826429,0.19706108270205097,,,23,22,1,1,0.0,9,0.0,23,0.5586432447533032,0.51971521585991,378.31949193669794,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.23997035227154812,0.0245953822347463,0.027904499340297918,0.002880681349527694,0.4954687650544897,0.09890419342300537,0.09910356246592492,,,23,22,1,1,0.0,9,0.5,23,0.5740515152732729,0.5039285562772469,189.20701494324925,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24582079902867748,0.025195014534626414,0.02858480749557382,0.00267457830065968,0.5187888885581611,0.04947743018384076,0.05147864504190686,,,23,22,1,1,0.0,9,0.75,23,0.5636669452312465,0.48058006662424735,94.65197124766225,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25243067259909646,0.02587248308625748,0.029353424164004976,0.002550916471338871,0.5370681144947906,0.01982336613557192,0.026346756701223776,,,23,22,1,1,0.0,9,0.9,23,0.5519343890846053,0.46227860618905525,37.92275941826983,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25511512020874616,0.02614762130405603,0.0296655800859489,0.002509695861565268,0.5438078912539787,0.009941984536541732,0.02081702320562632,,,23,22,1,1,0.0,9,0.95,23,0.5471694821665846,0.455530631295155,19.019347427724508,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2565435507259721,0.026294026033783616,0.029831682431710718,0.0024890855566784666,0.5472925180799235,0.005007422518297772,0.019398195985944257,,,23,22,1,1,0.0,9,0.975,23,0.5446340113945064,0.4520417658362165,9.57936599507572,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2574276518865292,0.026384640585840776,0.02993448846594784,0.002476719373746386,0.5494191785919353,0.0020655876344856036,0.019118701238582208,,,23,22,1,1,0.0,9,0.99,23,0.5430647277470902,0.4499125184952952,3.9515379166299525,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25772681338614484,0.026415302671233057,0.029969275896101794,0.0024725973127690255,0.550133977098495,0.0011134253006106123,0.019127152077194967,,,23,22,1,1,0.0,9,0.995,23,0.5425337147021719,0.4491968505215917,2.1300196705493986,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25802819255965675,0.02644619205360863,0.030004321204277724,0.002468475251791665,0.5508517123015055,0.000408961289927377,0.019186635260729484,,,23,22,1,1,0.0,9,1.0,23,0.5419987652758347,0.4484782422792963,0.7823565636247461,0,False,1001,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2486510454472608,0.025485096171064595,0.02891391735674062,0.003292887447263724,0.47970128473137474,0.19775896901826429,0.19706108270205097,,,24,23,1,1,0.0,10,0.0,24,0.5556890628047985,0.5195434391501549,480.3363342726145,0,False,1001,3
