method,model_seed,split,projection_iterations,interpolation_fraction,case_count,paired_call_budget,field_gain_mean,h1_gain_mean,reprojection_ratio_mean,reprojection_ratio_maximum,field_harm_rate,worst_field_gain
jacru_m2,17,development,9,0.0,12,23,0.44209319203268443,0.42827298180716583,325.07567518501503,743.2266874519555,0.0,0.015231804906448206
jacru_m2,17,development,9,0.5,12,23,0.4553068984026674,0.41267688021118315,162.57645457256126,371.6690786090946,0.0,0.004061555542280965
jacru_m2,17,development,9,0.75,12,23,0.44027346288221453,0.38167333085150784,81.32901630726457,185.89109650647205,0.08333333333333333,-0.025286955569035978
jacru_m2,17,development,9,0.9,12,23,0.42483467573498573,0.35682715141932236,32.58747660483731,74.42693502215411,0.08333333333333333,-0.049879851673191554
jacru_m2,17,development,9,0.95,12,23,0.41869995205561295,0.34762189590786696,16.35172586589605,37.27658150064389,0.08333333333333333,-0.05916612869882555
jacru_m2,17,development,9,0.975,12,23,0.4154559102882414,0.34285708891725747,8.254742511542574,18.709541591419274,0.08333333333333333,-0.06400566512840072
jacru_m2,17,development,9,0.99,12,23,0.41345409440590813,0.33994767778142077,3.457367367261306,7.594874050295818,0.08333333333333333,-0.06697121781753833
jacru_m2,17,development,9,0.995,12,23,0.4127776870566608,0.3389695659529517,1.9368809615386453,3.9305664554321504,0.08333333333333333,-0.06796995512029658
jacru_m2,17,development,9,1.0,12,23,0.4120967388961055,0.33798733128368236,0.8581068690277824,1.1650198595054304,0.08333333333333333,-0.0689737784833366
jacru_m2,17,development,10,0.0,12,24,0.43947098941470236,0.4286257965606633,399.00563118018664,900.3450018340517,0.0,0.014167288150652758
jacru_m2,17,development,10,0.5,12,24,0.4527627113597454,0.4130515154341681,199.50328714330604,450.195535554262,0.0,0.0029035008887786417
jacru_m2,17,development,10,0.75,12,24,0.4376525530141587,0.38207117036130883,99.75309508663919,225.12127172477156,0.08333333333333333,-0.02651437663475427
jacru_m2,17,development,10,0.9,12,24,0.4221334198247661,0.3572418850925992,39.9061141407611,90.07821450328635,0.08333333333333333,-0.05115461685613385
jacru_m2,17,development,10,0.95,12,24,0.4159666692616993,0.3480426864726514,19.962335321350743,45.06636135369603,0.08333333333333333,-0.06045750805877681
jacru_m2,17,development,10,0.975,12,24,0.4127056814292874,0.3432809820579354,10.000163027722026,22.565110290348073,0.08333333333333333,-0.06530549713845224
jacru_m2,17,development,10,0.99,12,24,0.41069340619289446,0.3403734555208924,4.05298223158819,9.07921502218396,0.08333333333333333,-0.06827616670228268
jacru_m2,17,development,10,0.995,12,24,0.4100134643380034,0.3393959756802461,2.1154482077709322,4.608187197307055,0.08333333333333333,-0.06927661707154355
jacru_m2,17,development,10,1.0,12,24,0.4093289578020733,0.33841437487816023,0.625858988411302,1.087055986506085,0.08333333333333333,-0.07028215719280012
jacru_m2,17,ood,9,0.0,18,23,0.2866992033697965,0.3218999628556356,291.2716697881834,629.8840882861954,0.0,0.06958436761606154
jacru_m2,17,ood,9,0.5,18,23,0.348295840384336,0.3463405441165284,145.63705205062277,314.93298980885294,0.0,0.15499735532345663
jacru_m2,17,ood,9,0.75,18,23,0.35585410946739915,0.32915118341564675,72.82191994494103,157.46159617473432,0.0,0.14263642729210127
jacru_m2,17,ood,9,0.9,18,23,0.35243758527044006,0.3099827312694978,29.139800601050013,62.99205847439148,0.0,0.12987708818744215
jacru_m2,17,ood,9,0.95,18,23,0.34998812994298917,0.3022372096923428,14.590658322464586,31.524361870131365,0.0,0.12476837810845157
jacru_m2,17,ood,9,0.975,18,23,0.34852172404115883,0.2981233465500648,7.337516507110223,15.831863964434799,0.0,0.12205757952318355
jacru_m2,17,ood,9,0.99,18,23,0.3475652186671728,0.2955796277133154,3.050211246149528,6.544897719578601,0.0,0.12038158636728721
jacru_m2,17,ood,9,0.995,18,23,0.3472336675462891,0.29471930199019025,1.7093601704880994,3.6391370431044403,0.0,0.11981471644041229
jacru_m2,17,ood,9,1.0,18,23,0.34689577602680083,0.2938528076419567,0.8509487413489344,1.8681912495042632,0.0,0.11924375689804091
jacru_m2,17,ood,10,0.0,18,24,0.2832380098800938,0.32229892370970525,362.83651448913037,733.6051719544196,0.0,0.06391129830526308
jacru_m2,17,ood,10,0.5,18,24,0.34514950929334254,0.34674533440189437,181.42166027708174,366.7957821751898,0.0,0.15277165008826862
jacru_m2,17,ood,10,0.75,18,24,0.35274231393369676,0.32956655175311106,90.71513761085144,183.39218081494067,0.0,0.14035488468093452
jacru_m2,17,ood,10,0.9,18,24,0.34930451275845065,0.3104065247733287,36.29411699149838,73.35351970484315,0.0,0.12754902402597
jacru_m2,17,ood,10,0.95,18,24,0.34684106361977074,0.3026641415593505,18.15859154950678,36.679799227206765,0.0,0.12242276047557281
jacru_m2,17,ood,10,0.975,18,24,0.3453663907128319,0.2985519084460637,9.099810214077529,18.353870289048512,0.0,0.11970281422617864
jacru_m2,17,ood,10,0.99,18,24,0.3444045226067006,0.29600918698563405,3.692530598639464,7.393096526193986,0.0,0.11802121545992862
jacru_m2,17,ood,10,0.995,18,24,0.3440711171707997,0.2951491969387964,1.9324699957317601,3.7958989384492043,0.0,0.11745245763612366
jacru_m2,17,ood,10,1.0,18,24,0.3437313380683986,0.2942830398731574,0.5979772441363118,1.204528264394189,0.0,0.116879600556332
jacru_m2,29,development,9,0.0,12,23,0.3825336125345637,0.39126353829126864,323.27766578344296,664.8266492205732,0.08333333333333333,-0.08564428202631245
jacru_m2,29,development,9,0.5,12,23,0.40950432100529044,0.3825869505133421,161.66246952364727,332.41407442206105,0.08333333333333333,-0.0544144399038171
jacru_m2,29,development,9,0.75,12,23,0.4030805313441514,0.35632728770029237,80.85696390419903,166.2089357580508,0.08333333333333333,-0.06355831640901365
