case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,matched_step,total_calls,baseline_kind,dc_step_size,operator_norm_squared_bound,projection_iterations,paired_call_budget,matched_step_internal_offset
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.597644768922632,0.06125465664031353,0.06949599357700062,0.020337143599357788,1.1689026648610608,0.0005227300555038654,0.01920936455714069,,,23,23,0,1,0.0,10,23,cgls_matched,,8.977587798077511,9,23,10
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.5633788142843243,0.05774262174104411,0.06551144173737447,0.02130709514352023,0.9987850970341273,0.13019401041463816,0.12929147941195043,,,23,23,0,1,0.0,10,23,huber_pdhg_matched,,8.977587798077511,9,23,10
6c144f9849f9520d81e5,development,smooth_no_interface,2101,base_landweber_matched,-1,0.5962854397989182,0.06111533434877174,0.0693379265563172,0.020371044192348135,1.1645186776982084,0.00512043437317609,0.017219147134138177,,0.0005297419568124733,23,23,0,1,0.0,10,23,base_landweber_matched,0.10916072580318961,8.977587798077511,9,23,10
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.5976501715338352,0.06125521037241565,0.06949662180944405,0.020338812134357957,1.1689330066257904,0.0004117093688482586,0.019187974095306193,,,24,24,0,1,0.0,11,24,cgls_matched,,8.977587798077511,10,24,11
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.5596329611350971,0.057358696438904205,0.06507586227623677,0.021094502328206397,0.9984280033201454,0.12239789716406428,0.12147961590944677,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,8.977587798077511,10,24,11
6c144f9849f9520d81e5,development,smooth_no_interface,2101,base_landweber_matched,-1,0.5962980592275818,0.061116627757180846,0.06933939398275335,0.020370611548848633,1.1645638321579694,0.005025594695736977,0.017227589217977304,,0.0005627793779721316,24,24,0,1,0.0,11,24,base_landweber_matched,0.10916072580318961,8.977587798077511,10,24,11
cee85dad2f56f6debc94,development,single_interface,2101,cgls_matched,-1,0.678706106846053,0.08442172537195827,0.07767949095625848,0.01014548915996568,1.1385592876067145,0.0012243978578154698,0.02502459317582738,,,23,23,0,1,0.0,10,23,cgls_matched,,8.977587798077511,9,23,10
cee85dad2f56f6debc94,development,single_interface,2101,huber_pdhg_matched,-1,0.6687690357891897,0.08318569010529102,0.07654217008422394,0.010795401903070354,1.0634069392001961,0.14108416747643512,0.14697460799793527,,,23,23,0,1,0.0,10,23,huber_pdhg_matched,,8.977587798077511,9,23,10
cee85dad2f56f6debc94,development,single_interface,2101,base_landweber_matched,-1,0.6760963490718972,0.0840971073202349,0.07738079811502617,0.010188282367964348,1.1384592584915567,0.011393297891412206,0.027849876275853634,,0.001418868589712096,23,23,0,1,0.0,10,23,base_landweber_matched,0.10916072580318961,8.977587798077511,9,23,10
cee85dad2f56f6debc94,development,single_interface,2101,cgls_matched,-1,0.6786983078509875,0.08442075528400274,0.07767859834315165,0.010148228245086542,1.1385085507311126,0.0009521463661171293,0.025037951263940057,,,24,24,0,1,0.0,11,24,cgls_matched,,8.977587798077511,10,24,11
cee85dad2f56f6debc94,development,single_interface,2101,huber_pdhg_matched,-1,0.6663731777831292,0.08288767824923486,0.07626795856846331,0.01071452949236514,1.0647252655850132,0.1348489185331511,0.14090594380496113,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,8.977587798077511,10,24,11
cee85dad2f56f6debc94,development,single_interface,2101,base_landweber_matched,-1,0.6761094461516194,0.0840987364172127,0.07738229710623248,0.010187709951177269,1.13838965950861,0.011161808523086705,0.02777452419912277,,0.0015062463148550985,24,24,0,1,0.0,11,24,base_landweber_matched,0.10916072580318961,8.977587798077511,10,24,11
b06a75091983ab395677,development,smooth_no_interface,2113,cgls_matched,-1,0.5916195200007478,0.0510272957999029,0.06489676439812885,0.016222937662952967,1.136908691247838,0.00047611263282684745,0.018076585694096793,,,23,23,0,1,0.0,10,23,cgls_matched,,9.276438454549416,9,23,10
b06a75091983ab395677,development,smooth_no_interface,2113,huber_pdhg_matched,-1,0.5516238401909497,0.04757766083118147,0.06050950177103335,0.016808309362241595,0.9616951993031141,0.1279981172594815,0.12728321172746937,,,23,23,0,1,0.0,10,23,huber_pdhg_matched,,9.276438454549416,9,23,10
b06a75091983ab395677,development,smooth_no_interface,2113,base_landweber_matched,-1,0.5905343254220402,0.050933697561683706,0.06477772570092627,0.01624178273779099,1.1341503525872436,0.004995019040709888,0.016494817482863487,,0.00044209089726550155,23,23,0,1,0.0,10,23,base_landweber_matched,0.10564399309083775,9.276438454549416,9,23,10
b06a75091983ab395677,development,smooth_no_interface,2113,cgls_matched,-1,0.5916267271872733,0.05102791742110757,0.0648975549790176,0.016224338267728115,1.1369299302100238,0.0003887639681633095,0.018088995189720146,,,24,24,0,1,0.0,11,24,cgls_matched,,9.276438454549416,10,24,11
b06a75091983ab395677,development,smooth_no_interface,2113,huber_pdhg_matched,-1,0.5474956223849786,0.04722160126250557,0.060056663469927385,0.016628976765214784,0.9604083839297342,0.12067688758566851,0.1199242825404263,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,9.276438454549416,10,24,11
b06a75091983ab395677,development,smooth_no_interface,2113,base_landweber_matched,-1,0.5905432797062339,0.05093446987039357,0.06477870792692123,0.016241493824153366,1.134172223782574,0.00490378854787284,0.016494959670265003,,0.0004691629640432803,24,24,0,1,0.0,11,24,base_landweber_matched,0.10564399309083775,9.276438454549416,10,24,11
423593699e2b6baeef3f,development,single_interface,2113,cgls_matched,-1,0.93122671510385,0.08569237610280855,0.10971276085367059,0.000771693069501996,1.397909561148706,0.002305753622801052,0.014724487312376256,,,23,23,0,1,0.0,10,23,cgls_matched,,9.276438454549416,9,23,10
423593699e2b6baeef3f,development,single_interface,2113,huber_pdhg_matched,-1,0.7153837799384923,0.06583030204572862,0.0842831592929912,0.0017845215935347444,1.073065480257626,0.17900531510664844,0.18501176858211688,,,23,23,0,1,0.0,10,23,huber_pdhg_matched,,9.276438454549416,9,23,10
423593699e2b6baeef3f,development,single_interface,2113,base_landweber_matched,-1,0.9038532202363195,0.08317344083238397,0.10648774416609025,0.0008125952005309286,1.3587193810977547,0.017469193288753442,0.02283605168303051,,0.0022671901734151122,23,23,0,1,0.0,10,23,base_landweber_matched,0.10564399309083775,9.276438454549416,9,23,10
423593699e2b6baeef3f,development,single_interface,2113,cgls_matched,-1,0.931374073646011,0.08570593617729097,0.10973012194547953,0.0007745375212599739,1.398204536593802,0.0019440148641061597,0.01470814891332157,,,24,24,0,1,0.0,11,24,cgls_matched,,9.276438454549416,10,24,11
423593699e2b6baeef3f,development,single_interface,2113,huber_pdhg_matched,-1,0.7146112979429008,0.06575921751107638,0.08419214908992087,0.0017631406772420756,1.0748173888310464,0.17379267993612918,0.17992031149720145,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,9.276438454549416,10,24,11
423593699e2b6baeef3f,development,single_interface,2113,base_landweber_matched,-1,0.904045972441327,0.08319117807528975,0.10651045332620025,0.0008123257890602285,1.3588234592977362,0.017130184000999662,0.02259003050572282,,0.002394702998489793,24,24,0,1,0.0,11,24,base_landweber_matched,0.10564399309083775,9.276438454549416,10,24,11
5639798ee009ab4df707,development,smooth_no_interface,2129,cgls_matched,-1,0.6070781196726089,0.05538595528303816,0.0704856821147573,0.018298171809002325,1.2135084067263986,0.00077282985523097,0.024679514892152192,,,23,23,0,1,0.0,10,23,cgls_matched,,9.043991851240323,9,23,10
5639798ee009ab4df707,development,smooth_no_interface,2129,huber_pdhg_matched,-1,0.5663004542768842,0.051665659856524854,0.06575113236354069,0.01896080306425019,1.021514800795824,0.13635886586664778,0.1350354427486379,,,23,23,0,1,0.0,10,23,huber_pdhg_matched,,9.043991851240323,9,23,10
5639798ee009ab4df707,development,smooth_no_interface,2129,base_landweber_matched,-1,0.604625535225438,0.055162197041525286,0.07020092125433275,0.018260271032891965,1.2085649319772689,0.00639787962757591,0.020917319252676193,,0.0005825307137621484,23,23,0,1,0.0,10,23,base_landweber_matched,0.10835923075998787,9.043991851240323,9,23,10
5639798ee009ab4df707,development,smooth_no_interface,2129,cgls_matched,-1,0.6071014394164679,0.05538808282848697,0.07048838968730747,0.018299549887733902,1.2135632692736806,0.0006456115129701778,0.024700670917298113,,,24,24,0,1,0.0,11,24,cgls_matched,,9.043991851240323,10,24,11
5639798ee009ab4df707,development,smooth_no_interface,2129,huber_pdhg_matched,-1,0.5623313184891462,0.05130354109432911,0.06529029011879682,0.018753041245317,1.021542845007098,0.1282640353490893,0.1268653464114416,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,9.043991851240323,10,24,11
