case_id,split,family,base_seed,method,model_seed,projection_iterations,paired_call_budget,truth_used_by_candidate,candidate_deployable,per_case_reprojection_ratio_limit,exact_camera_block_setup_forward_equivalents,reprojection_feasible,feasible_alpha_lower,feasible_alpha_upper,truth_oracle_alpha,field_relative_l2,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,field_gain,h1_gain,reprojection_ratio_to_matched_cgls,field_harm
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,9,23,True,False,1.1,1001,1,0.9981847463470008,1.0,0.9981847463470008,0.25791852070687177,0.5505907991871857,0.0005750030610542823,0.019159160583480044,0.5421934333215693,0.44873947276330595,1.100000000000058,0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,10,24,True,False,1.1,1001,1,0.9979119011909741,1.0,0.9979119011909741,0.25789377386479684,0.5504886094965132,0.0004528803057423866,0.019121863004466815,0.5391733658044124,0.4486446617423256,1.100000000022594,0
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,9,23,True,False,1.1,1001,1,0.9954895401946589,1.0,0.9954895401946589,0.39818287869825497,0.7261401177640735,0.001346837643600396,0.02508215129412634,0.4046032974173602,0.3171568747612141,1.1000000000027599,0
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,10,24,True,False,1.1,1001,1,0.9963983287078847,1.0,0.9963983287078847,0.39823705669996246,0.7262824832389239,0.0010473610027207235,0.025095297056353078,0.4023813232927444,0.3178686495808212,1.0999999999914731,0
b06a75091983ab395677,development,smooth_no_interface,2113,jacru_m2,17,9,23,True,False,1.1,1001,0,,,,,,,,,,,
b06a75091983ab395677,development,smooth_no_interface,2113,jacru_m2,17,10,24,True,False,1.1,1001,1,0.9984114582779912,1.0,0.9984114582779912,0.24673777859976107,0.5082755131000174,0.0004276403649893134,0.018103797217078884,0.5493337873188249,0.4707714742969132,1.1000000000248813,0
423593699e2b6baeef3f,development,single_interface,2113,jacru_m2,17,9,23,True,False,1.1,1001,1,0.9892054744740919,1.0,0.9892054744740919,0.7631807039963252,1.0984668777900943,0.0025363289850788037,0.015299866352997809,-0.0668129826230368,-0.02367180568176493,1.0999999999989793,1
423593699e2b6baeef3f,development,single_interface,2113,jacru_m2,17,10,24,True,False,1.1,1001,1,0.9902372215247838,1.0,0.9902372215247838,0.7634360552153894,1.0987701572944601,0.0021384163505173788,0.015042562820882158,-0.06832351715266305,-0.02228543072741352,1.1000000000003103,1
5639798ee009ab4df707,development,smooth_no_interface,2129,jacru_m2,17,9,23,True,False,1.1,1001,1,0.9979686080661995,1.0,0.9979686080661995,0.2505194191783149,0.5496646521316473,0.0008501128407469077,0.024650137875239123,0.5576210167477155,0.46191219970241826,1.0999999999907364,0
5639798ee009ab4df707,development,smooth_no_interface,2129,jacru_m2,17,10,24,True,False,1.1,1001,1,0.9973737974937552,1.0,0.9973737974937552,0.25050073939278616,0.54953036215242,0.000710172664274846,0.024714430315782326,0.5545317659599264,0.4620584297190181,1.10000000001185,0
