seed,epoch,train_relative_l2,validation_relative_l2,validation_acceptance_rate
111,1,0.3439616858959198,0.3784395158290863,0.949999988079071
111,5,0.34198129177093506,0.36865511536598206,1.0
111,10,0.34127193689346313,0.36769843101501465,1.0
111,15,0.3410625457763672,0.36711087822914124,1.0
111,20,0.3401528596878052,0.36686936020851135,1.0
111,25,0.3397861421108246,0.3669317364692688,1.0
111,30,0.3395538330078125,0.3667825758457184,1.0
111,35,0.3393227159976959,0.3668328821659088,0.949999988079071
111,40,0.3389764428138733,0.3670128583908081,0.8999999761581421
111,45,0.33856967091560364,0.36666393280029297,0.8999999761581421
111,50,0.33814695477485657,0.36615756154060364,0.8999999761581421
111,55,0.3378119170665741,0.36582162976264954,0.8999999761581421
111,60,0.33742856979370117,0.3657640516757965,0.800000011920929
111,65,0.3370986878871918,0.3647710084915161,0.8999999761581421
111,70,0.3367239534854889,0.3641907572746277,0.8999999761581421
111,75,0.33640995621681213,0.3637329936027527,0.8999999761581421
111,80,0.33620235323905945,0.363460898399353,0.8999999761581421
111,85,0.3361194133758545,0.3632880747318268,0.8999999761581421
111,90,0.33597642183303833,0.363199919462204,0.8999999761581421
111,95,0.3358789086341858,0.36316412687301636,0.8999999761581421
111,100,0.33569929003715515,0.3632431924343109,0.8500000238418579
111,105,0.3355678617954254,0.36322325468063354,0.8500000238418579
111,110,0.3354799151420593,0.36394548416137695,0.75
111,115,0.33533376455307007,0.36387956142425537,0.75
111,120,0.3352104723453522,0.3654409348964691,0.550000011920929
112,1,0.3439616858959198,0.3792717456817627,0.949999988079071
112,5,0.3421931266784668,0.3699744641780853,1.0
112,10,0.3414748013019562,0.36832553148269653,1.0
112,15,0.3412577211856842,0.36704573035240173,1.0
112,20,0.3404862880706787,0.3668181896209717,1.0
112,25,0.34008118510246277,0.36680546402931213,1.0
112,30,0.3399789333343506,0.3665927052497864,1.0
112,35,0.33939236402511597,0.3664766252040863,1.0
112,40,0.33896270394325256,0.36641010642051697,1.0
112,45,0.3387141823768616,0.3668127655982971,0.8999999761581421
112,50,0.3384871184825897,0.36657825112342834,0.8999999761581421
112,55,0.3382325768470764,0.3662429451942444,0.8999999761581421
112,60,0.3379291296005249,0.3659345507621765,0.8999999761581421
112,65,0.3376406133174896,0.3656279146671295,0.8999999761581421
112,70,0.3374101519584656,0.3653559684753418,0.8999999761581421
112,75,0.33716821670532227,0.3650633692741394,0.8999999761581421
112,80,0.33696502447128296,0.3647894263267517,0.8999999761581421
112,85,0.33671072125434875,0.364408403635025,0.8999999761581421
112,90,0.3365155756473541,0.3638715445995331,0.949999988079071
112,95,0.33633652329444885,0.3635367751121521,0.949999988079071
112,100,0.3362067639827728,0.3633323609828949,0.949999988079071
112,105,0.33605241775512695,0.36308279633522034,0.949999988079071
112,110,0.3359338343143463,0.3632505536079407,0.8999999761581421
112,115,0.33575692772865295,0.3633400797843933,0.8500000238418579
112,120,0.33560481667518616,0.3632592260837555,0.8500000238418579
113,1,0.3439616858959198,0.38063791394233704,0.949999988079071
113,5,0.34163886308670044,0.3696206212043762,1.0
113,10,0.3417801260948181,0.3679681420326233,1.0
113,15,0.3411881625652313,0.36731475591659546,1.0
113,20,0.3404291570186615,0.3672603368759155,1.0
113,25,0.3402465581893921,0.3668891489505768,1.0
113,30,0.3397945761680603,0.3667885661125183,1.0
113,35,0.33947044610977173,0.36673039197921753,1.0
113,40,0.3391760587692261,0.36658769845962524,1.0
113,45,0.3388248085975647,0.36674004793167114,0.949999988079071
113,50,0.33865538239479065,0.36703217029571533,0.8999999761581421
113,55,0.33845266699790955,0.3668276369571686,0.8999999761581421
113,60,0.3382468521595001,0.36644870042800903,0.8999999761581421
113,65,0.3379998207092285,0.36636286973953247,0.8500000238418579
113,70,0.3382456302642822,0.3668454587459564,0.8500000238418579
113,75,0.3380110561847687,0.3656854033470154,0.8500000238418579
113,80,0.3375213146209717,0.36545857787132263,0.8500000238418579
113,85,0.337196946144104,0.3652046322822571,0.8500000238418579
113,90,0.3369154930114746,0.3648374676704407,0.8500000238418579
113,95,0.336834579706192,0.36427026987075806,0.8500000238418579
113,100,0.33653759956359863,0.3641626238822937,0.800000011920929
113,105,0.3363340497016907,0.36384785175323486,0.800000011920929
113,110,0.33617180585861206,0.3636223375797272,0.800000011920929
113,115,0.3359759747982025,0.3649350106716156,0.6000000238418579
113,120,0.3357657194137573,0.3678649067878723,0.30000001192092896
