seed,split,baseline,candidate_mean_relative_l2,baseline_mean_relative_l2,mean_gain_percent,p10_gain_percent,harm_rate_over_1_percent,candidate_mean_gradient_relative_l2,baseline_mean_gradient_relative_l2,candidate_mean_front_f1,baseline_mean_front_f1,acceptance_rate,descent_gate_rate,saturation_gate_rate,certificate_violation_rate,forward_calls,adjoint_calls
111,validation,fixed_pg,0.36316418647766113,0.44937992095947266,21.139501571655273,13.117288589477539,0.0,0.49586671590805054,0.579613983631134,0.7674999833106995,0.7224999666213989,0.8999999761581421,1.0,0.8999999761581421,0.0,4,4
111,validation,projected_bb,0.36316418647766113,0.3711700141429901,2.1588826179504395,0.7561882734298706,0.0,0.49586671590805054,0.509138822555542,0.7674999833106995,0.7399999499320984,0.8999999761581421,1.0,0.8999999761581421,0.0,4,4
111,validation,fista,0.36316418647766113,0.4118380546569824,13.146122932434082,8.460683822631836,0.0,0.49586671590805054,0.5483991503715515,0.7674999833106995,0.7350000143051147,0.8999999761581421,1.0,0.8999999761581421,0.0,4,4
111,independent_select,fixed_pg,0.37699803709983826,0.4489809572696686,16.866931915283203,6.910721778869629,0.0,0.4964935779571533,0.5689922571182251,0.8125,0.7928571105003357,1.0,1.0,1.0,0.0,4,4
111,independent_select,projected_bb,0.37699803709983826,0.379157155752182,0.49323222041130066,-0.5306454300880432,0.07142857142857142,0.4964935779571533,0.4981943666934967,0.8125,0.8178571462631226,1.0,1.0,1.0,0.0,4,4
111,independent_select,fista,0.37699803709983826,0.4146321713924408,9.658363342285156,3.318185567855835,0.0,0.4964935779571533,0.5359839200973511,0.8125,0.800000011920929,1.0,1.0,1.0,0.0,4,4
112,validation,fixed_pg,0.36308273673057556,0.44937992095947266,21.174549102783203,12.807486534118652,0.0,0.4955441355705261,0.579613983631134,0.762499988079071,0.7224999666213989,0.949999988079071,1.0,0.949999988079071,0.0,4,4
112,validation,projected_bb,0.36308273673057556,0.3711700141429901,2.215296983718872,1.0667744874954224,0.0,0.4955441355705261,0.509138822555542,0.762499988079071,0.7399999499320984,0.949999988079071,1.0,0.949999988079071,0.0,4,4
112,validation,fista,0.36308273673057556,0.4118380546569824,13.1900634765625,8.13408374786377,0.0,0.4955441355705261,0.5483991503715515,0.762499988079071,0.7350000143051147,0.949999988079071,1.0,0.949999988079071,0.0,4,4
112,independent_select,fixed_pg,0.37693148851394653,0.4489809572696686,16.904417037963867,7.214521408081055,0.0,0.49643081426620483,0.5689922571182251,0.8142856955528259,0.7928571105003357,1.0,1.0,1.0,0.0,4,4
