partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,basis_rank,warm_forward_calls,warm_adjoint_calls,warm_projection_forward_calls,setup_forward_calls,setup_adjoint_calls,refine_forward_calls,refine_adjoint_calls,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,candidate_refine_seconds,end_to_end_seconds,coefficient_norm,coefficient_radius,coefficient_clipped,projection_target_residual_ratio,radius_applies_to_entire_correction,high_order_teacher_setup_seconds
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,high_order_teacher_b0p75,0.5819149476528467,1.0409820877563638,0.02184307230183445,0.0025531623452740198,False,,True,True,4,12,12,1,2,2,10,10,25,24,1,0,0.004097666998859495,0.0009037500130943954,0.003247499989811331,0.008248917001765221,,,,,,0.00018629198893904686
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,low_cgls24_matched,0.6796274416374537,1.135206667136724,0.01021318296082972,0.0009738302644192515,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.007792083022650331,0.007792083022650331,,,,,,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,component_damping,0.6546218996139338,1.0326015355140101,0.010980344554133367,0.0018919069281722414,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.0038169590407051146,0.0,0.003433207981288433,0.007250167021993548,,,,,,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,krylov4_total_measurement_oracle,0.6525726087680163,1.025762634937538,0.010987911278853502,0.002965597151863036,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0038169590407051146,0.0006867909687571228,0.0032010829891078174,0.007704832998570055,2.6067794328667717,3.3329378939342043,False,0.4868503487323578,True,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,krylov4_total_adjoint_oracle,0.6566181405149493,1.0326520621275126,0.011125642856699192,0.007295648941426329,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0038169590407051146,0.0006867909687571228,0.002885665977373719,0.007389415986835957,2.705618890593395,3.3329378939342043,False,0.4740031063071637,True,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,fit_pca2_krylov6_total_measurement_oracle,0.6486691876752039,1.039422753431591,0.010545368739578778,0.004455347530628219,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0038169590407051146,0.0008389590075239539,0.0033667500247247517,0.00802266807295382,2.7771235857786216,3.3329378939342043,False,0.36612751403078014,True,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,fit_pca2_krylov6_total_adjoint_oracle,0.6488109990469378,1.0417138423911385,0.010515904949914699,0.004615479597144,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0038169590407051146,0.0008389590075239539,0.0029610000201500952,0.007616918068379164,2.7436421636841852,3.3329378939342043,False,0.34611967675327127,True,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,camera_block6_total_measurement_oracle,0.6508960824945332,1.0105815461641585,0.0110274404892752,0.004362065113655562,False,,True,True,6,12,12,1,0,0,12,12,25,24,0,0,0.0038169590407051146,0.00021412502974271774,0.003841875004582107,0.00787295907502994,2.5918110477364467,3.3329378939342043,False,0.4957421518181236,True,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,camera_block6_total_adjoint_oracle,0.658182737323798,1.0108349849656875,0.011239410335022518,0.007348917193354174,False,,True,True,6,12,12,1,0,0,12,12,25,24,0,0,0.0038169590407051146,0.00021412502974271774,0.0034196670167148113,0.007450751087162644,3.0375154927220462,3.3329378939342043,False,0.46451206216796315,True,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,pose_fourier_krylov6_total_measurement_oracle,0.6521352927406905,1.007226188977562,0.011164358067275592,0.00580992962920298,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0038169590407051146,0.0011552920332178473,0.0030395830399356782,0.00801183411385864,2.553066548788972,3.3329378939342043,False,0.5178240150628372,True,
