partition,base_seed,family,case_id,geometry_digest,basis_kind,basis_names,basis_rank,dropped_names,raw_norms_json,orthonormality_defect,fit_mode_count,total_correction_radius,measurement_coefficient_norm,measurement_coefficient_clipped,measurement_target_residual_ratio,adjoint_coefficient_norm,adjoint_coefficient_clipped,adjoint_target_residual_ratio,actual_setup_forward_calls,actual_setup_adjoint_calls,basis_uses_evaluated_case_truth,radius_applies_to_entire_correction
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,detector_moment_krylov6_total,damping|warm_residual|detector_u_warm_residual|detector_v_warm_residual|normal_detector_u_warm_residual|normal_detector_v_warm_residual,6,,"[2.0078110947183907, 0.31611610558355663, 0.2842067172094548, 0.2571671939252561, 0.5903739515783809, 0.8037063567142636]",2.220446049250313e-16,0,4.015622189436781,4.015622189436781,True,0.39332138999817623,4.015622189436781,True,0.39651505093258316,2,2,False,True
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,krylov4_total,damping|warm_residual|normal_damping|normal_warm_residual,4,,"[1.9258434589068498, 0.06265750374678092, 6.870922389005318, 0.12235830423105669]",2.220446049250313e-16,0,1.9258434589068498,1.8251954027442059,False,0.37513296673624674,1.8450520968776485,False,0.3434656763838043,2,2,False,True
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,fit_pca2_krylov6_total,damping|warm_residual|fit_pca_mode_1|fit_pca_mode_2|normal_damping|normal_warm_residual,6,,"[1.9258434589068498, 0.06265750374678092, 0.9999999999999994, 0.9999999999999999, 6.870922389005318, 0.12235830423105669]",2.220446049250313e-16,2,1.9258434589068498,1.8952075404780695,False,0.2711808173479606,1.8893999107266792,False,0.25993818388921575,2,2,False,True
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,camera_block6_total,camera_0_damping|camera_0_warm_residual|camera_1_damping|camera_1_warm_residual|camera_2_damping|camera_2_warm_residual,6,,"[1.1015406079847332, 0.04559030964176893, 1.1160589206114757, 0.03562500943019389, 1.1179864949535265, 0.02404880757218725]",4.440892098500626e-16,0,1.9258434589068498,1.694699349475172,False,0.5091203569672967,1.9258434589068498,True,0.4850508655759589,0,0,False,True
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,pose_fourier_krylov6_total,damping|warm_residual|sin_azimuth_warm_residual|cos_azimuth_warm_residual|normal_sin_azimuth_warm_residual|normal_cos_azimuth_warm_residual,6,,"[1.9258434589068498, 0.06265750374678092, 0.07070870339453261, 0.061682601975385346, 0.09184809680288455, 0.14275491524859113]",4.440892098500626e-16,0,1.9258434589068498,1.7037296721953106,False,0.5012860795718119,1.9258434589068498,True,0.4687811035966134,2,2,False,True
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,detector_moment_krylov6_total,damping|warm_residual|detector_u_warm_residual|detector_v_warm_residual|normal_detector_u_warm_residual|normal_detector_v_warm_residual,6,,"[1.9258434589068498, 0.06265750374678092, 0.055105769738629885, 0.05169060964119846, 0.11396975965857245, 0.10417488091371302]",2.220446049250313e-16,0,1.9258434589068498,1.7212979493443785,False,0.48555864075186583,1.9258434589068498,True,0.46612377737663013,2,2,False,True
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,krylov4_total,damping|warm_residual|normal_damping|normal_warm_residual,4,,"[1.9751059392909254, 0.2628745477860612, 6.2766264963747, 0.6110865323416083]",4.440892098500626e-16,0,3.9502118785818507,2.7716353310246253,False,0.5747919130336433,2.8147623179134644,False,0.5580466888762482,2,2,False,True
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,fit_pca2_krylov6_total,damping|warm_residual|fit_pca_mode_1|fit_pca_mode_2|normal_damping|normal_warm_residual,6,,"[1.9751059392909254, 0.2628745477860612, 0.9999999999999994, 0.9999999999999999, 6.2766264963747, 0.6110865323416083]",4.440892098500626e-16,2,3.9502118785818507,2.899540687185526,False,0.5168723497026796,2.8786942643744386,False,0.4575261827088615,2,2,False,True
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,camera_block6_total,camera_0_damping|camera_0_warm_residual|camera_1_damping|camera_1_warm_residual|camera_2_damping|camera_2_warm_residual,6,,"[0.4157813412062939, 0.19367996538377433, 1.7548930488822094, 0.13910354660793348, 0.805307230013421, 0.11064041849053456]",4.440892098500626e-16,0,3.9502118785818507,2.823251740217322,False,0.5524608016471391,3.200929969654958,False,0.5358372326163316,0,0,False,True
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,pose_fourier_krylov6_total,damping|warm_residual|sin_azimuth_warm_residual|cos_azimuth_warm_residual|normal_sin_azimuth_warm_residual|normal_cos_azimuth_warm_residual,6,,"[1.9751059392909254, 0.2628745477860612, 0.2912204263470484, 0.26748040426119435, 0.35983644330300624, 0.7758871406694671]",4.440892098500626e-16,0,3.9502118785818507,2.755888802643039,False,0.5813542006055321,3.045141722624158,False,0.5764426472742097,2,2,False,True
