partition,candidate_id,base_seed,geometry_digest,family_count,mean_residual_ratio,mean_gain_vs_zero,worst_family_gain_vs_zero
calibration,ridge_geometry_signal,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,2,0.5505587229931945,0.44944127700680553,0.4041760772338573
calibration,ridge_geometry_signal,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,2,0.6191100892958485,0.3808899107041515,0.23537238498623514
calibration,zero,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,2,1.0,0.0,0.0
calibration,zero,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,2,1.0,0.0,0.0
calibration,zero,1301,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,2,1.0,0.0,0.0
calibration,zero,1319,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,2,1.0,0.0,0.0
development,component_damping,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,2,0.5488469026872427,0.4511530973127573,0.4356541623911103
development,component_damping,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,2,0.5917794969283166,0.4082205030716835,0.33684009115080726
development,component_damping,2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,2,0.5880365661755114,0.41196343382448863,0.3527547690452436
development,component_damping,2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,2,0.7740957354556368,0.2259042645443632,0.00534304939113972
development,component_damping,2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,2,0.6217014686840474,0.37829853131595254,0.28794958090208933
development,component_damping,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,2,0.5582648488282218,0.4417351511717782,0.412075876975756
development,global_component_mean,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,2,1.000050035039153,-5.003503915301799e-05,-9.900614337543523e-05
development,global_component_mean,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,2,1.0002103390837773,-0.00021033908377732224,-0.0003844923375018183
development,global_component_mean,2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,2,1.000219475084759,-0.00021947508475905764,-0.00027243648993779956
development,global_component_mean,2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,2,0.9990738561252304,0.0009261438747695805,-0.00015690913166976905
development,global_component_mean,2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,2,0.9998667764232192,0.00013322357678080543,6.301525794571994e-05
development,global_component_mean,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,2,0.9999225305186091,7.746948139086829e-05,7.320461376569831e-05
development,local_detector_component_mean,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,2,0.8244135542467046,0.1755864457532954,0.07345389040309425
