candidate_id,predictor_kind,selected_alpha,development_geometry_cluster_count,development_case_count,development_mean_gain_vs_zero,development_worst_geometry_gain_vs_zero,frozen_simple_baseline,development_mean_gain_over_simple_baseline,development_worst_geometry_gain_over_simple_baseline,smooth_no_interface_gain_over_simple_baseline,single_interface_gain_over_simple_baseline,case_harm_rate_over_simple_baseline,calibration_residual_ratio_q95_descriptive,development_case_coverage_under_calibration_q95_descriptive,forward_screen_passed,n1_5_b_field_and_h1_gates_not_yet_run
component_damping,fixed_simple_control,,6,12,0.3862124968735039,0.2259042645443632,component_damping,0.0,0.0,0.0,0.0,0.0,0.8333486021741258,0.9166666666666666,False,True
global_component_mean,fixed_simple_control,,6,12,0.00010949795420864272,-0.00021947508475905764,component_damping,-0.6505414335994958,-0.8220928826285567,-0.878075585920023,-0.4890255351551877,0.9166666666666666,1.000389628096758,1.0,False,True
local_detector_component_mean,fixed_simple_control,,6,12,0.1313524145490504,0.04833014014625314,component_damping,-0.42688098186425655,-0.546851006791067,-0.4412103174054686,-0.4388704870004771,0.9166666666666666,1.048218359771478,1.0,False,True
nominal_slot_component_mean,fixed_simple_control,,6,12,-2.0656921384929843e-05,-0.00023151341979255058,component_damping,-0.6506941183321967,-0.8219696026222476,-0.8782272028660786,-0.4891316735959968,0.9166666666666666,1.0017216738606254,1.0,False,True
ridge_curvature_visible,visible_ridge,1e-08,6,12,0.4561502859406909,0.24707042855932504,component_damping,0.1168126121941352,0.02734308309101241,0.11028460248771792,0.12932194565090208,0.16666666666666666,0.7039301957530901,0.9166666666666666,False,True
ridge_geometry_observation,visible_ridge,100.0,6,12,0.2656990137016671,0.08388156294446913,component_damping,-0.19902761205234196,-0.2957723141016031,-0.28122624250676315,-0.13346540586812852,1.0,0.8031195654366821,0.9166666666666666,False,True
ridge_geometry_only,visible_ridge,1e-08,6,12,-0.033638278806240644,-0.055249982960001165,component_damping,-0.705021028903583,-0.8792689128033595,-0.973107826553564,-0.5098230989578612,1.0,1.007508882941218,0.16666666666666666,False,True
ridge_geometry_signal,visible_ridge,1e-08,6,12,0.02196772638285327,-0.0868766583299887,component_damping,-0.6095681018326599,-0.8586848006859169,-1.0355238159971019,-0.2794380334619262,1.0,0.7646276150137649,0.08333333333333333,False,True
zero,fixed_simple_control,,6,12,0.0,0.0,component_damping,-0.650663041060232,-0.8220017187012247,-0.8779760940820583,-0.48926182073954166,0.9166666666666666,1.0,1.0,False,True
