base_seed,geometry_digest,family,case_id,rank,residual_ratio_to_uncorrected_mismatch,gain_vs_zero,uses_fresh_exact_mismatch_coefficients,deployable,participates_in_gate
2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,single_interface,244e6ac3deb3e11e693a,2,0.6933513085752738,0.30664869142472617,True,False,False
2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,single_interface,244e6ac3deb3e11e693a,4,0.6908790151593533,0.30912098484064665,True,False,False
2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,single_interface,244e6ac3deb3e11e693a,8,0.6689940244058682,0.3310059755941318,True,False,False
2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,single_interface,244e6ac3deb3e11e693a,16,0.6080862279016372,0.39191377209836276,True,False,False
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,smooth_no_interface,9f619eafbf24c823c56e,0,0.9612547630912079,0.03874523690879206,True,False,False
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,smooth_no_interface,9f619eafbf24c823c56e,1,0.6763871373000361,0.3236128626999639,True,False,False
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,smooth_no_interface,9f619eafbf24c823c56e,2,0.5354184559175013,0.46458154408249874,True,False,False
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,smooth_no_interface,9f619eafbf24c823c56e,4,0.24897129921007868,0.7510287007899213,True,False,False
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,smooth_no_interface,9f619eafbf24c823c56e,8,0.20925691163429563,0.7907430883657044,True,False,False
2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,smooth_no_interface,9f619eafbf24c823c56e,16,0.1586488402155347,0.8413511597844653,True,False,False
