partition,base_seed,geometry_digest,family,case_id,candidate_id,mismatch_relative_l2_to_continuous,residual_ratio_to_uncorrected_mismatch,gain_vs_zero,correction_norm_ratio_to_mismatch,prediction_target_cosine,warm_forward_calls,warm_adjoint_calls,visible_projection_forward_calls,evaluator_truth_forward_calls,warm_seconds
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,zero,0.19445572526741273,1.0,0.0,0.0,0.0,12,12,1,1,0.004112375027034432
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,global_component_mean,0.19445572526741273,1.000043393940919,-4.339394091901205e-05,0.008788027958364171,-0.0005439405473501858,12,12,1,1,0.004112375027034432
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,nominal_slot_component_mean,0.19445572526741273,0.9999763472452546,2.3652754745362436e-05,0.016745177952470672,0.009785083670890926,12,12,1,1,0.004112375027034432
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,local_detector_component_mean,0.19445572526741273,0.795261205452325,0.20473879454767496,0.3998886426644088,0.6595217835145635,12,12,1,1,0.004112375027034432
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,component_damping,0.19445572526741273,0.5457883087001777,0.4542116912998223,0.8040109647860876,0.8386382852012753,12,12,1,1,0.004112375027034432
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,ridge_geometry_only,0.19445572526741273,1.0068349253605464,-0.006834925360546418,0.13371080412066255,0.015563485090781289,12,12,1,1,0.004112375027034432
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,ridge_geometry_observation,0.19445572526741273,0.5183406395347636,0.4816593604652364,0.7896809178622712,0.8578901318208146,12,12,1,1,0.004112375027034432
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,ridge_geometry_signal,0.19445572526741273,0.5377655288386963,0.4622344711613037,0.7904971293161737,0.8448442745171018,12,12,1,1,0.004112375027034432
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,ridge_curvature_visible,0.19445572526741273,0.33799700625539353,0.6620029937446065,0.9555699178074796,0.941256028500997,12,12,1,1,0.004112375027034432
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,zero,0.15984164993716313,1.0,0.0,0.0,0.0,12,12,1,1,0.003710541990585625
