experiment,split,seed_count,parameters_mean,train_seconds_mean,field_rel_l2_mean,field_rel_l2_seed_std,field_rel_l2_seed_ci95_t,gradient_rel_l2_mean,gradient_rel_l2_seed_std,gradient_rel_l2_seed_ci95_t,observed_reprojection_rel_l2_mean,observed_reprojection_rel_l2_seed_std,observed_reprojection_rel_l2_seed_ci95_t,heldout_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_seed_std,heldout_reprojection_rel_l2_seed_ci95_t,mass_relative_error_mean,mass_relative_error_seed_std,mass_relative_error_seed_ci95_t,centroid_error_mean,centroid_error_seed_std,centroid_error_seed_ci95_t
physics_lift,test_iid,1,0.0,0.0,0.4572689950466156,0.0,0.0,0.6229464560747147,0.0,0.0,0.39799492955207827,0.0,0.0,0.5202974230051041,0.0,0.0,0.2507476255297661,0.0,0.0,0.10363743282562976,0.0,0.0
physics_lift,test_view_ood,1,0.0,0.0,0.7704797424376011,0.0,0.0,0.970845352858305,0.0,0.0,0.8477445505559444,0.0,0.0,0.6822309233248234,0.0,0.0,0.3933512717485428,0.0,0.0,0.05917603664577834,0.0,0.0
physics_lift,test_noise_ood,1,0.0,0.0,0.47889895364642143,0.0,0.0,0.6805616468191147,0.0,0.0,0.4202270545065403,0.0,0.0,0.5497044268995523,0.0,0.0,0.2360058695776388,0.0,0.0,0.09201276811361861,0.0,0.0
physics_lift,test_joint_ood,1,0.0,0.0,0.7788457795977592,0.0,0.0,0.9832485988736153,0.0,0.0,0.8577489331364632,0.0,0.0,0.6899631954729557,0.0,0.0,0.48258116748183966,0.0,0.0,0.0889041239441719,0.0,0.0
physics_lift,test_family_ood,1,0.0,0.0,0.7948754549026489,0.0,0.0,0.9694170862436294,0.0,0.0,0.7187683194875717,0.0,0.0,0.8926392406225204,0.0,0.0,0.5397892266511917,0.0,0.0,0.05834323432274456,0.0,0.0
absolute_fno,test_iid,3,43363.0,7.852693472678463,0.23668156117200853,0.0032283943763018823,0.008019776218574191,0.39677574137846633,0.005850478840599691,0.014533395119731039,0.20167216509580613,0.010702759693635782,0.026587128974762054,0.2676553502678871,0.0012822406824847868,0.00318526243490094,0.14069256914081052,0.004422404686094687,0.010985862257349193,0.03600929027549227,0.006995924088426335,0.01737883885660241
absolute_fno,test_view_ood,3,43363.0,7.852693472678463,0.4573741902907689,0.0206411353194883,0.05127542266048258,0.666361665353179,0.010863092124936009,0.026985416813771566,0.4807226217041413,0.02183071963435975,0.05423051391836144,0.5066500883549452,0.009432209695513043,0.023430907809761047,0.2263446161232423,0.09116477813505756,0.22646586334864843,0.03704218407659568,0.003978101492734268,0.009882151939271477
absolute_fno,test_noise_ood,3,43363.0,7.852693472678463,0.2767989756539464,0.005796734283458008,0.014399886238534066,0.451289111127456,0.00522463022332582,0.012978700967714219,0.23160555958747864,0.01246076719607622,0.03095426170911436,0.3205831839392583,0.009232817696647534,0.022935590625957958,0.09957467097168167,0.015555447133557207,0.03864187284760803,0.03323256226990047,0.006512149803925313,0.016177076912498388
absolute_fno,test_joint_ood,3,43363.0,7.852693472678463,0.4544823660204808,0.01685304059325488,0.0418652736953636,0.6536684222519398,0.01822085300873333,0.04526310809925393,0.4483102218558391,0.04872106057699503,0.12102982393578565,0.5016691094885269,0.008398394892137714,0.020862769469730643,0.19071013332965472,0.07178110464284054,0.1783141490343769,0.06512892871120667,0.011485584359045165,0.028531773247793837
absolute_fno,test_family_ood,3,43363.0,7.852693472678463,0.6696833709875744,0.0034539378021556403,0.008580057148374877,0.8798525581757227,0.002688721220499088,0.00667915378022516,0.5151478568712871,0.0027004596449262787,0.006708313643021275,0.6737709234158199,0.017945143243783754,0.04457820707464487,0.14832958257369075,0.022609556135507986,0.05616525104215144,0.028617637711893972,0.0048051423933765615,0.011936635429716956
fno_no_reprojection,test_iid,3,43363.0,7.859784805642751,0.23751096650958062,0.026937897904155874,0.06691744805899379,0.40342337638139725,0.03019111520652474,0.07499888784432696,0.2168119550993045,0.021003628668252387,0.052175906058406114,0.2697727875163158,0.027813734097236028,0.06909314577554004,0.11798238720123966,0.03427872019167373,0.08515306153867422,0.03467195780302173,0.006114146535508133,0.01518838198402338
fno_no_reprojection,test_view_ood,3,43363.0,7.859784805642751,0.5051945131272078,0.018755436485149945,0.04659108707309904,0.7291453915337721,0.010343004389410913,0.025693447256534843,0.5514938998967409,0.038070761490680775,0.09457301433405232,0.5210287688920895,0.00833943252657252,0.020716298833856134,0.20076510302412012,0.039814846725013224,0.09890556223716448,0.04320747672181044,0.005151860554011928,0.01279793108789998
fno_no_reprojection,test_noise_ood,3,43363.0,7.859784805642751,0.2664943646329145,0.025086154058248652,0.062317461338874065,0.45926818655182916,0.027809224401539743,0.06908194307039238,0.23131097201257944,0.017582613386687408,0.04367763298499638,0.30260864303757745,0.03565021684228564,0.08856004808999854,0.08742172795367271,0.03264042490971401,0.08108331044577544,0.03672761059580131,0.014044153294625798,0.03488761082878259
fno_no_reprojection,test_joint_ood,3,43363.0,7.859784805642751,0.5144613167891899,0.011142603294599476,0.02767976105118803,0.7326022529353698,0.01580431427267261,0.03926009309310002,0.5432427519311508,0.033684610544771114,0.08367721135988876,0.5265908067425092,0.017145476821213007,0.0425917255575164,0.23895825723108524,0.0786934279890867,0.19548531213459922,0.06647991854268294,0.005161848927241046,0.012822743582517468
fno_no_reprojection,test_family_ood,3,43363.0,7.859784805642751,0.6774767200152079,0.02631067229446391,0.06535933326818237,0.8874078661203385,0.021332778729147343,0.0529935601375002,0.5354545593261718,0.028224474505548432,0.07011348151356861,0.6927210529645285,0.05959169130399119,0.1480339676752287,0.22356839732577405,0.05745933481060327,0.14273690049510812,0.030177297063064795,0.0028445813138825975,0.007066331715956063
matched_unet,test_iid,3,49111.0,7.920041653017203,0.29998674243688583,0.02223538167661926,0.05523575015805219,0.5094109763701756,0.029398401295231014,0.07302967732265311,0.2194775640964508,0.018797090053923774,0.04669456027411909,0.34879873221119245,0.03809069294876318,0.094622526820725,0.20113648127298803,0.011107721076802904,0.027593108818490076,0.048346779621584235,0.0035863662646521007,0.008909027686171448
matched_unet,test_view_ood,3,49111.0,7.920041653017203,0.6116736785819133,0.028271058446474574,0.0702292024379852,0.858598854392767,0.02493019506762779,0.06193003772878627,0.6586479445298513,0.032212589377978114,0.08002050806696354,0.5629380488147339,0.007600648443623495,0.018881057432561577,0.303100656485185,0.049834951910920924,0.12379688340518284,0.05148121621769813,0.009732571558649023,0.02417704804114873
matched_unet,test_noise_ood,3,49111.0,7.920041653017203,0.3312892019748688,0.016483303370064047,0.040946795515797406,0.5777422791967789,0.02215142407514399,0.05502718791403936,0.2516529619072874,0.012991965955704553,0.032273832580342096,0.40721544654419023,0.03472319315974581,0.08625719360051567,0.17349304853511663,0.011417888478984834,0.02836360735920584,0.04248832945713538,0.0015340178596370112,0.0038107116156228245
