rig_id,split_role,partition_name,oracle_only,pointwise_violation_count,row_mass_mismatch_count,column_mass_mismatch_count,support_violation_count,row_violation_count,column_violation_count,spectral_violation_count,total_violation_count,maximum_entrywise_slack,minimum_entrywise_slack,maximum_row_product,maximum_column_product,dense_normalized_spectral_norm_squared,schur_squared_upper_bound,active_row_count,active_column_count,exact_masses_recomputed_from_signed_primitives,triangle_inequality_certificate
cal-02,safety_calibration,singleton_factor,False,0,0,0,0,0,0,0,0,4.5663629788781614,0.03245452055499633,0.0557209301288666,0.12104355711083208,0.0016558789858610937,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-02,safety_calibration,paired_local,False,0,0,0,0,0,0,0,0,0.24389617199187974,-5.551115123125783e-17,0.6414886111458243,0.5749077264162321,0.15079231136367138,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-02,safety_calibration,paired_cross,False,0,0,0,0,0,0,0,0,1.2849329921165409,0.0,0.2205804799354931,0.15663734673863267,0.011711648082242407,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-02,safety_calibration,triad_bridge,False,0,0,0,0,0,0,0,0,1.187600591868824,-1.3877787807814457e-17,0.1674203258455618,0.142763172756164,0.00822709919280789,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-02,safety_calibration,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7,0.3101454559190359,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-03,safety_calibration,singleton_factor,False,0,0,0,0,0,0,0,0,3.593297053029107,0.005549652033177352,0.1351715925858335,0.1700546196572995,0.013654461630206702,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-03,safety_calibration,paired_local,False,0,0,0,0,0,0,0,0,0.1699983042469045,-2.220446049250313e-16,0.6936634969223207,0.7000000000000001,0.4128411791996722,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-03,safety_calibration,paired_cross,False,0,0,0,0,0,0,0,0,0.9360503080293372,-1.1102230246251565e-16,0.44936492400124767,0.49268928115351995,0.12700204612862093,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-03,safety_calibration,triad_bridge,False,0,0,0,0,0,0,0,0,0.7276418137875984,-1.1102230246251565e-16,0.39680395740054814,0.5451400880286594,0.12184949039560478,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
cal-03,safety_calibration,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.45389073631662835,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
