rig_id,split_role,method,partition_name,oracle_only,final_normalized_residual_l2,final_field_relative_l2,harm_vs_train_selected_fixed_field_l2,pointwise_violation_count,row_violation_count,column_violation_count,spectral_violation_count,total_violation_count,signed_forward_solver_calls,signed_transpose_solver_calls,signed_forward_evaluation_calls,field_error_evaluation_calls,iteration_budget,construction_wall_time_seconds,audit_wall_time_seconds,solver_wall_time_seconds,cost_proxy_units,primitive_component_accumulation_entries,signed_group_addition_entries,group_absolute_value_entries,materialized_signed_group_count,materialized_group_component_entries,largest_fused_group_component_entries,full_signed_operator_materialized,cost_proxy_definition
fresh-02,fresh_geometry_ood,fixed_paired_local,paired_local,False,0.1468963236349214,0.3290230343119927,0.07209873858553228,0,0,0,0,0,32,32,7,7,32,9.737501386553049e-05,0.00011191703379154205,0.000412957975640893,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-02,fresh_geometry_ood,fixed_paired_cross,paired_cross,False,0.02310108042628251,0.2569242957264604,0.0,0,0,0,0,0,32,32,7,7,32,7.325003389269114e-05,0.00016420800238847733,0.0003046669880859554,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-02,fresh_geometry_ood,fixed_triad_bridge,triad_bridge,False,0.09987591865552406,0.825070821411467,0.5681465256850067,0,0,0,0,0,32,32,7,7,32,7.000000914558768e-05,0.00012045801850035787,0.0004140000091865659,4032,1152,768,384,2,1152,576,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-02,fresh_geometry_ood,train_selected_fixed,paired_cross,False,0.02310108042628251,0.2569242957264604,0.0,0,0,0,0,0,32,32,7,7,32,0.0001806669752113521,0.0003106250078417361,0.0011662080069072545,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-02,fresh_geometry_ood,geometry_conditioned_selector,paired_local,False,0.1468963236349214,0.3290230343119927,0.07209873858553228,0,0,0,0,0,32,32,7,7,32,0.00010033301077783108,0.00010962499072775245,0.00040179200004786253,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-02,fresh_geometry_ood,all_in_one_exact_oracle,all_in_one_exact,True,0.023418258867508927,0.28078706054220914,0.023862764815748727,0,0,0,0,0,32,32,7,7,32,6.804201984778047e-05,8.633296238258481e-05,0.00029925000853836536,4608,1152,960,192,1,1152,1152,1,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-03,fresh_geometry_ood,singleton_factor,singleton_factor,False,0.6537678100191842,0.7395803720307434,0.30844114615147855,0,0,0,0,0,32,32,7,7,32,8.287496166303754e-05,0.00017141702119261026,0.0006734579801559448,2496,1152,0,1152,0,0,192,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-03,fresh_geometry_ood,fixed_paired_local,paired_local,False,0.020101445810360653,0.33798797583938667,-0.09315125003987823,0,0,0,0,0,32,32,7,7,32,0.0002815419575199485,0.00011799996718764305,0.00038358295569196343,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-03,fresh_geometry_ood,fixed_paired_cross,paired_cross,False,0.1866434067584139,0.4311392258792649,0.0,0,0,0,0,0,32,32,7,7,32,7.591699250042439e-05,9.237503400072455e-05,0.00031666597351431847,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-03,fresh_geometry_ood,fixed_triad_bridge,triad_bridge,False,0.23860095219526836,0.3315916938718517,-0.09954753200741318,0,0,0,0,0,32,32,7,7,32,8.07500327937305e-05,0.00010070897405967116,0.0003085409989580512,4032,1152,768,384,2,1152,576,0,ANALYTIC_PROXY_NOT_WALL_TIME
