split,rig_id,family,field_uid,base_relative_l2,analytic_relative_l2,ensemble_relative_l2,ensemble_field_gain_vs_base,base_gradient_relative_l2,ensemble_gradient_relative_l2
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:0,0.1709340661764145,0.1705130934715271,0.11991254985332489,0.2984865303001232,0.20215171575546265,0.13869699835777283
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:1,0.14999563992023468,0.1475817859172821,0.13031935691833496,0.13117903301964817,0.17198175191879272,0.14506764709949493
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:2,0.1396215260028839,0.13931958377361298,0.1112406849861145,0.20326980967235098,0.16397874057292938,0.1299867182970047
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:3,0.2592860758304596,0.27556368708610535,0.17707815766334534,0.3170548896766361,0.2906102240085602,0.1975015252828598
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:4,0.34903284907341003,0.3960186243057251,0.26322513818740845,0.24584422673624673,0.39391008019447327,0.29486143589019775
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:5,0.2230493724346161,0.2253427803516388,0.18524394929409027,0.1694935194296857,0.260214626789093,0.2118365466594696
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:6,0.1121474876999855,0.11816692352294922,0.09864307940006256,0.12041650309679375,0.12766322493553162,0.10785210877656937
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:7,0.2625129520893097,0.283490389585495,0.18566323816776276,0.2927463704549018,0.2984720468521118,0.2057460993528366
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:8,0.2052231878042221,0.2174009084701538,0.13682883977890015,0.3332681299667194,0.23183633387088776,0.14699417352676392
train,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:9,0.23805926740169525,0.2582748234272003,0.18267841637134552,0.2326347200628046,0.2639501988887787,0.19877688586711884
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:0,0.14311322569847107,0.15482421219348907,0.10149625688791275,0.2907975039165296,0.16366328299045563,0.1123347133398056
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,0.19561176002025604,0.20063672959804535,0.13048332929611206,0.33294741950790574,0.21976958215236664,0.1443585753440857
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,0.21033267676830292,0.22161222994327545,0.14221853017807007,0.3238400596463936,0.24299192428588867,0.15929055213928223
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,0.15548175573349,0.15744058787822723,0.12599824368953705,0.1896268273075742,0.17681312561035156,0.14222781360149384
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,0.19757182896137238,0.20341640710830688,0.16051360964775085,0.18756833658135974,0.20916777849197388,0.17369303107261658
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,0.21044878661632538,0.21942852437496185,0.13602513074874878,0.35364259905789,0.23353973031044006,0.14971739053726196
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,0.15425996482372284,0.15756817162036896,0.11688274145126343,0.24230021973083815,0.18040180206298828,0.13141773641109467
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,0.12252723425626755,0.12259282916784286,0.10099529474973679,0.1757318659580317,0.14096517860889435,0.10964307188987732
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,0.24088668823242188,0.2567896842956543,0.15570905804634094,0.3536004036217081,0.2633891701698303,0.17072193324565887
train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,0.1868574023246765,0.1962672621011734,0.13008621335029602,0.3038209258402136,0.21245916187763214,0.1450846940279007
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,0.2285541594028473,0.23975667357444763,0.15767371654510498,0.3101253682844124,0.250870019197464,0.1714727282524109
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:1,0.13785086572170258,0.1410452127456665,0.10178764164447784,0.26161042869350015,0.15455105900764465,0.11757104843854904
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:2,0.2566395103931427,0.28977522253990173,0.18159253895282745,0.2924217371103607,0.28342464566230774,0.20089320838451385
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:3,0.16217024624347687,0.15822094678878784,0.17350515723228455,-0.06989513336367414,0.18242159485816956,0.19223026931285858
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:4,0.16501930356025696,0.17594073712825775,0.09802380949258804,0.40598580058365985,0.18613888323307037,0.11032520234584808
