split,rig_id,family,field_uid,target_view,ensemble_whitened_rmse,zero_whitened_rmse,relative_gain_vs_zero
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:5,0,1.394451459452979,2.241364625503237,0.3778560419905381
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:5,4,1.2582094400057942,1.9949735778076316,0.3693102234524337
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:6,0,1.88604847038665,3.55025799162718,0.46875734810409575
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:6,4,1.7198731575770752,2.7985259493699406,0.38543605144548077
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:7,0,1.4313610243575965,2.571005089312049,0.4432679148291375
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:7,4,1.476076857039395,2.000894895701052,0.26229165749247263
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:8,0,1.487633858549879,2.9861026984671,0.5018142345494185
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:8,4,1.3695149417123056,2.272539044660726,0.3973635150824154
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:9,0,1.3816116638158447,2.4109070623856135,0.4269328397716302
train,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:9,4,1.0456340218644014,1.5713625295955187,0.3345685657061226
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:0,0,2.142954379893877,2.682949051745572,0.20126907423022644
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:0,4,1.2227447783613554,2.4353118168543264,0.49791038260522813
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:1,0,2.2249949559170967,3.8483863894729304,0.4218369127373852
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:1,4,1.6367926662155001,2.483212711110951,0.3408568428746387
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:2,0,1.582106490499363,2.417301105680437,0.3455070670420176
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:2,4,1.29284280421919,1.7722009300908246,0.2704874586918695
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:3,0,1.8942693135039348,3.5117738377215075,0.4605947304587913
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:3,4,1.8578014534870277,4.028573340001544,0.5388438296406153
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:4,0,1.7692699924018793,2.7822317295955066,0.36408244734556894
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:4,4,1.454534819741966,2.3533834025950138,0.38193886379155695
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:5,0,2.028815496650929,4.775192650938782,0.5751343149994015
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:5,4,1.932571211594316,3.2893840066489495,0.4124823347812414
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:6,0,1.9463789064229553,3.960665993556554,0.5085728234621552
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:6,4,1.9365418389219577,2.5504255486753333,0.24069854149328962
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:7,0,2.1157883367165056,4.027384336885426,0.47464950952440044
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:7,4,1.9433790733353216,3.1497343761658603,0.38300223408013945
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:8,0,2.5923163451709765,5.693878009018322,0.5447186713404989
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:8,4,1.879952202361495,5.0080741586740904,0.6246157419403668
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:9,0,2.6124535773780266,5.087233440769056,0.4864687048874462
train,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:9,4,1.6890288240249551,3.242574848620085,0.4791087629808327
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:0,2,2.903323770497453,7.142467698448189,0.5935125095310905
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:0,6,1.285236656402696,1.33728798041642,0.038923047822141954
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:1,2,2.613124859451812,8.290825478070962,0.6848172879330936
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:1,6,1.5949257370819674,2.0508495101828226,0.2223097164551152
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:2,2,2.4039945651231247,4.701265685299201,0.4886494986572689
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:2,6,1.193427997711553,1.4764825565061075,0.19170870495372738
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:3,2,2.2712017555864605,4.967388702281701,0.5427775252330835
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:3,6,0.8692848545692926,1.0174323094818465,0.1456091511267239
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:4,2,3.0523905366078994,5.731123487345473,0.4674010177327905
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:4,6,1.0307371315477014,1.1980665234444727,0.13966619434094107
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:5,2,2.192220328992226,5.411051065247665,0.5948623839328178
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:5,6,1.3899248306263596,1.7057796787144108,0.18516743517902645
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:6,2,4.118812072981161,8.613821933498876,0.5218368681429049
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:6,6,1.7826076471696408,1.9165244470727283,0.06987481955037411
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:7,2,3.1430250281981205,6.171101720097225,0.4906865628284276
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:7,6,1.4027100687260634,1.3426188816092774,-0.044756697481239005
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:8,2,3.1225152112929666,7.042489271862175,0.556617682930838
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:8,6,1.7289306299687077,1.93186777312478,0.1050471186378471
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:9,2,1.3450337788612217,1.6848506176444493,0.20168959504452555
train,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:9,6,1.1404529160006336,1.4010366374287895,0.18599350971034156
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:0,2,3.5112124445140465,10.226079651390904,0.6566413949223966
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:0,6,2.047044786245847,2.3658746133644644,0.13476192918999008
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:1,2,3.084681792374827,9.36164756027556,0.6704979788531978
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:1,6,1.9569921420280678,2.635292466733059,0.2573909094598036
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:2,2,3.626527123350738,9.433840298921254,0.6155831550630102
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:2,6,1.8827461500574556,2.588401148928519,0.27262196169367825
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:3,2,2.691665375301527,7.302422887776831,0.6314010545997035
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:3,6,1.5168638993646264,1.5815425998171309,0.04089595845219918
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:4,2,2.641090644890572,8.271263734189043,0.6806907952924175
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:4,6,2.0199623666560256,2.575216763038884,0.21561462489380134
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:5,2,2.8883946301051058,6.931666266509421,0.5833044294038676
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:5,6,1.6841551599352562,2.095698940635818,0.19637543003944202
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:6,2,2.274611688057639,8.038722784899347,0.7170431486541031
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:6,6,1.8953535620692927,2.6629520878808193,0.2882509712829202
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:7,2,3.0115809548128625,8.002820133935524,0.6236850379727494
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:7,6,1.9279950994885535,2.236614525844965,0.1379850764582774
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:8,2,1.6855536031753124,4.191873384859089,0.5978996862683216
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:8,6,1.27807600221102,1.4618595468117024,0.12571901657824247
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:9,2,2.3943344965175273,5.732928491396517,0.5823540272461557
train,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:9,6,1.4278019274421634,1.7979977027122054,0.20589335276214027
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:0,0,1.3202059248263611,1.6303676317968283,0.19024034881546192
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:0,5,0.8749629301877031,1.415601725449826,0.3819144788696326
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:1,0,1.4805300468894895,1.8753779132444557,0.21054309297685414
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:1,5,2.054543876535563,4.2004819407228196,0.5108790120921181
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:2,0,1.717433278493609,2.467092612725977,0.3038634749118896
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:2,5,1.1112752815965568,1.512257602337077,0.2651547726530409
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:3,0,1.458717227473545,1.7446217827509807,0.16387767142664666
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:3,5,1.1169140518435403,1.3143333848642862,0.1502049139846895
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:4,0,1.2454624406823418,1.3952980985164118,0.10738612630045641
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:4,5,1.112198577758109,1.487266675680795,0.2521861775400831
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:5,0,1.5955215782303962,2.1759073938922233,0.2667327742398281
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:5,5,1.7012725434138445,1.9481138209503752,0.12670783138128483
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:6,0,2.0335053229318496,2.431016001449851,0.16351627396978352
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:6,5,1.0482666023587697,1.7047186190048889,0.38507939628729815
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:7,0,1.8808943551375208,2.1485429275873305,0.12457213165871484
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:7,5,1.2230745553281681,1.5761988286169282,0.22403536081714837
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:8,0,1.7525056388817912,2.4266759898137606,0.27781638494874206
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:8,5,1.2689738882240433,1.9684340454006464,0.3553383761121841
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:9,0,1.645750647431395,1.874270381850038,0.12192463618460303
train,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:9,5,0.9583063736656187,1.1673590004475667,0.1790816935508246
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:0,0,2.1872411427422254,3.1031134089045733,0.2951462436191331
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:0,5,1.9617230815634175,3.0970942662557968,0.36659238856974663
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:1,0,1.5178060765177206,2.0616700425680072,0.2637977730776221
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:1,5,1.003438044511173,1.6895346938152513,0.4060861560378838
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:2,0,2.6444663101765458,3.511306660743287,0.24687116060186132
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:2,5,1.497949572464416,1.917155588076083,0.21866040410019694
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:3,0,2.381497583765303,3.2526367147171635,0.26782552352380096
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:3,5,1.6014446728216623,2.968218605627088,0.4604694311309564
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:4,0,1.771537174970937,2.7707940080805136,0.36063916342948155
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:4,5,1.138231529025985,2.004200149698421,0.4320769164710129
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:5,0,2.085862773652061,3.824405382592995,0.4545916122945576
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:5,5,2.299552293150322,4.148092832163492,0.4456362511176105
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:6,0,2.4501634353357384,3.5326347762263293,0.3064203942551119
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:6,5,1.2538399053023503,1.3129374905311257,0.045011728018268804
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:7,0,1.7405786996549892,1.9629780320841548,0.11329690337544795
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:7,5,1.140647001658906,1.7588589907390664,0.3514846797470613
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:8,0,2.4533386257910523,4.40688216955897,0.443293800152461
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:8,5,1.7311817120206936,2.723814087537564,0.36442735943635907
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:9,0,2.234917051552652,2.672854801965486,0.1638464424220859
train,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:9,5,1.513250403741665,2.5747124023642485,0.412264297032899
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:0,1,2.071101946017009,2.0010765076539987,-0.034993883589741204
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:0,4,1.768084629061247,1.6663454603145231,-0.06105526805199246
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:1,1,3.871495839766308,4.56801896907701,0.15247816045112395
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:1,4,4.485485345010157,4.807373429830897,0.06695716268333718
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:2,1,2.0535343568057156,2.356166111071987,0.12844245269641996
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:2,4,2.3796049810923483,2.6173357145432994,0.0908292857236439
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:3,1,1.6401581253479873,2.004986874674476,0.18196066714188408
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:3,4,1.6017031331591514,1.9238981074196257,0.16746987432333893
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:4,1,2.8034014974541175,2.869625382425162,0.023077536662669762
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:4,4,2.5999803867613718,2.459003315491541,-0.057330980556913325
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:5,1,2.7783448405754156,3.370839280719102,0.1757705991895553
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:5,4,3.0930931192588194,3.038730716845387,-0.017889838711956596
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:6,1,2.101945279669729,2.1652515229473663,0.029237362314131654
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:6,4,2.487322712542774,2.496729711598448,0.003767728245462121
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:7,1,2.091880444229884,2.0365214483471106,-0.027183114583793966
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:7,4,2.6480870670508763,2.709742148832968,0.02275311760148302
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:8,1,2.525987137406339,2.7590628560410244,0.08447640767746967
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:8,4,3.073224090106576,2.898907755590949,-0.060131728641394044
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:9,1,2.453887772208729,2.597332105019709,0.055227566984504595
validation,validation-rig-a,jet_shear,validation-rig-a:jet_shear:9,4,2.962980115754221,2.9404766717732778,-0.007652991842092005
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:0,1,4.510947155688121,2.7653795613783805,-0.631221702325621
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:0,4,2.5224955448714703,2.7414225380073725,0.07985890175654253
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:1,1,3.0819230205614727,4.0664970254225326,0.24211846183725094
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:1,4,1.891253899806381,1.90512873365354,0.007282885194089039
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:2,1,3.470883857845074,3.6331808612357688,0.04467077461579827
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:2,4,3.1238660506952787,3.6513561645944193,0.14446416348368807
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:3,1,3.8566107612664653,3.2814590367194834,-0.17527316907236745
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:3,4,2.2601357123023766,2.686904873995426,0.15883299994109723
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:4,1,3.4221238404503107,2.5862208891740117,-0.3232140590834336
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:4,4,3.019792500059398,3.3360934816692276,0.09481178610485674
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:5,1,2.99606710020848,2.8642035160966812,-0.04603848273027111
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:5,4,2.778476176225374,2.9725266661890184,0.06528132856497826
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:6,1,3.6495534036873,3.1423840307088784,-0.16139636913315503
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:6,4,3.0832289746391806,3.247304244774693,0.0505266084628595
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:7,1,2.858501617449043,3.1821936485032896,0.1017197778665958
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:7,4,2.694251175028933,2.8801692856720655,0.06455110523121554
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:8,1,2.248282755031712,2.3823341667952027,0.056268937259889684
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:8,4,3.0600304571935144,2.9268835182360338,-0.045491027616201496
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:9,1,2.8904940882497887,3.2192007511835774,0.10210815924199068
validation,validation-rig-a,shock_cell,validation-rig-a:shock_cell:9,4,3.0143823754196046,3.185479966119784,0.053711714567331814
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:0,0,5.578776706597281,6.622722087107356,0.15763086035911944
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:0,6,2.8886339362817184,3.205515723034642,0.0988551653251395
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:1,0,2.76172215828191,2.8221811481594483,0.02142278851127899
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:1,6,1.2710416871030528,1.4448856197362137,0.12031674359448519
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:2,0,4.895312660516005,6.0072356813835945,0.18509728598021147
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:2,6,2.5267295935165035,2.7921329140518374,0.09505397081910072
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:3,0,2.0296412315278647,2.496743314133319,0.187084543277368
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:3,6,1.2737590083183346,1.4165046880448082,0.1007731784661472
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:4,0,2.878365024117652,3.526611576625648,0.18381569345616877
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:4,6,1.7083830741453587,1.9012067120951603,0.10142171112856369
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:5,0,2.558447942886551,2.7453421643346947,0.06807684079461018
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:5,6,1.5105566710889975,1.5726152084112264,0.039461997436057494
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:6,0,4.736472858058734,5.839061333157799,0.18882974714409761
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:6,6,2.474866072454924,2.7389928298423816,0.09643207331895687
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:7,0,4.185970469905686,4.618619920213004,0.09367504964283035
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:7,6,2.3003569549133904,2.6057352230252686,0.11719466560279779
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:8,0,6.085648332947484,6.7225779940627,0.09474485259639154
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:8,6,2.4022996620167256,2.7288464602913045,0.11966477521777463
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:9,0,3.1489213818799127,3.28085176682179,0.040212235821211806
validation,validation-rig-b,jet_shear,validation-rig-b:jet_shear:9,6,1.8971185099745156,1.784964904210569,-0.06283238706788374
validation,validation-rig-b,shock_cell,validation-rig-b:shock_cell:0,0,5.434173721552118,6.9755172365878915,0.2209647632939875
validation,validation-rig-b,shock_cell,validation-rig-b:shock_cell:0,6,2.935109426990958,3.4493078889164512,0.1490729382487862
validation,validation-rig-b,shock_cell,validation-rig-b:shock_cell:1,0,4.785641822497157,4.2225307476043366,-0.13335866771658256
validation,validation-rig-b,shock_cell,validation-rig-b:shock_cell:1,6,1.5243501858869115,1.4470478368501474,-0.05342072809771903
