policy,base_seed,mismatch_severity,selected_correction,fallback_used,mean_field_gain_percent,median_field_gain_percent,worst_field_gain_percent,field_improvement_fraction,field_nonworse_fraction,effective_camera_count
target_local_slope_heuristic_lcb,211,1.0,0.5,False,4.518516025182392,2.6008329730620914,2.2367600996712653,1.0,1.0,5.119180384850355
target_local_slope_heuristic_lcb,211,2.0,2.0,False,13.773588057101229,8.673592026999016,8.01386357065023,1.0,1.0,4.776187593532264
target_local_slope_heuristic_lcb,307,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.666515537586011
target_local_slope_heuristic_lcb,307,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.288168626168393
target_local_slope_heuristic_lcb,307,1.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.5103718287961225
target_local_slope_heuristic_lcb,307,2.0,2.0,False,11.599744720324827,9.582955017838303,6.023968410923628,1.0,1.0,5.138511566250071
target_local_slope_heuristic_lcb,401,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.64520633758367
target_local_slope_heuristic_lcb,401,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.6326204921392105
target_local_slope_heuristic_lcb,401,1.0,1.0,False,8.368533589061466,8.138859937207696,5.676893301727288,1.0,1.0,5.350506383332811
target_local_slope_heuristic_lcb,401,2.0,2.0,False,18.836388345377085,18.024856549083633,14.36765261437511,1.0,1.0,5.131106391348578
target_local_slope_heuristic_lcb,503,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.698143321799239
target_local_slope_heuristic_lcb,503,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,4.971982214480017
target_local_slope_heuristic_lcb,503,1.0,1.5,False,4.015294973432682,2.314463455413312,1.9306084386569367,1.0,1.0,4.8659570705164015
target_local_slope_heuristic_lcb,503,2.0,2.5,False,10.885990579373079,9.253208447889655,6.052790449962733,1.0,1.0,4.811065791017779
target_local_slope_heuristic_lcb,607,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.502178447417115
target_local_slope_heuristic_lcb,607,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,4.457087378086453
target_local_slope_heuristic_lcb,607,1.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.456278788842564
target_local_slope_heuristic_lcb,607,2.0,1.5,False,14.589823799634422,12.040200693674063,8.919197474810948,1.0,1.0,4.8643265871351264
target_local_curvature_heuristic_lcb,101,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.1026430153533
target_local_curvature_heuristic_lcb,101,0.5,0.5,False,0.9774429239183093,1.0919167197156687,0.5336631945290145,1.0,1.0,5.390182176853696
target_local_curvature_heuristic_lcb,101,1.0,1.0,False,3.3799459525677378,3.91234470375427,2.0308389577188546,1.0,1.0,4.964568882177251
target_local_curvature_heuristic_lcb,101,2.0,2.5,False,6.86155872629169,6.898535364283151,4.243235706136702,1.0,1.0,5.371983115579668
target_local_curvature_heuristic_lcb,211,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.682760596198042
target_local_curvature_heuristic_lcb,211,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,4.628598326585415
target_local_curvature_heuristic_lcb,211,1.0,0.5,False,4.518516025182392,2.6008329730620914,2.2367600996712653,1.0,1.0,4.641019693646678
target_local_curvature_heuristic_lcb,211,2.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.01416100607074
target_local_curvature_heuristic_lcb,307,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.788731917652817
target_local_curvature_heuristic_lcb,307,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,4.578322649106543
target_local_curvature_heuristic_lcb,307,1.0,0.5,False,2.938208019603558,2.142422848428321,1.0390225675777376,1.0,1.0,5.023647417382444
target_local_curvature_heuristic_lcb,307,2.0,1.5,False,9.917032312055968,8.375146866847702,5.271176952010512,1.0,1.0,5.507280078287329
target_local_curvature_heuristic_lcb,401,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.628904742965226
target_local_curvature_heuristic_lcb,401,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,4.7300852118458385
target_local_curvature_heuristic_lcb,401,1.0,1.0,False,8.368533589061466,8.138859937207696,5.676893301727288,1.0,1.0,5.022069979510568
target_local_curvature_heuristic_lcb,401,2.0,2.0,False,18.836388345377085,18.024856549083633,14.36765261437511,1.0,1.0,4.958329465820156
target_local_curvature_heuristic_lcb,503,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.677941386936617
target_local_curvature_heuristic_lcb,503,0.5,0.5,False,1.876730566502066,1.292379416070815,0.99833727363904,1.0,1.0,5.015213312750156
target_local_curvature_heuristic_lcb,503,1.0,1.0,False,5.079755125772218,3.9587555955246962,2.806814831985608,1.0,1.0,5.008753242156129
target_local_curvature_heuristic_lcb,503,2.0,2.0,False,11.879424086778608,10.783760591771529,6.89470978153648,1.0,1.0,4.827194842573507
target_local_curvature_heuristic_lcb,607,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.376807301220744
target_local_curvature_heuristic_lcb,607,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.224576419140685
target_local_curvature_heuristic_lcb,607,1.0,0.0,True,0.0,0.0,0.0,0.0,1.0,4.85063856516348
target_local_curvature_heuristic_lcb,607,2.0,1.5,False,14.589823799634422,12.040200693674063,8.919197474810948,1.0,1.0,5.180916045173026
target_local_inverse_nominal_heuristic_lcb,101,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.47887773458381
