policy,base_seed,mismatch_severity,camera_block,raw_weight_feature,normalized_weight,effective_camera_count,weight_fit_rigs,target_local_weight
uniform_heuristic_lcb,607,2.0,1,1.0,0.16666666666666666,5.999999999999999,,False
uniform_heuristic_lcb,607,2.0,2,1.0,0.16666666666666666,5.999999999999999,,False
uniform_heuristic_lcb,607,2.0,3,1.0,0.16666666666666666,5.999999999999999,,False
uniform_heuristic_lcb,607,2.0,4,1.0,0.16666666666666666,5.999999999999999,,False
uniform_heuristic_lcb,607,2.0,5,1.0,0.16666666666666666,5.999999999999999,,False
target_local_range_heuristic_lcb,101,0.0,0,0.10454726143523987,0.26538248867880077,4.82387667439269,,True
target_local_range_heuristic_lcb,101,0.0,1,0.03511147065582251,0.08912686316118122,4.82387667439269,,True
target_local_range_heuristic_lcb,101,0.0,2,0.10175120579491703,0.25828498852311366,4.82387667439269,,True
target_local_range_heuristic_lcb,101,0.0,3,0.08631055452713388,0.21909048066119313,4.82387667439269,,True
target_local_range_heuristic_lcb,101,0.0,4,0.035720982757180275,0.09067404704833033,4.82387667439269,,True
target_local_range_heuristic_lcb,101,0.0,5,0.02030494408973349,0.07744113192738086,4.82387667439269,,True
target_local_range_heuristic_lcb,101,0.5,0,0.06978373910242205,0.22531529404799103,4.749366334599629,,True
target_local_range_heuristic_lcb,101,0.5,1,0.021117199384232288,0.0774684705952009,4.749366334599629,,True
target_local_range_heuristic_lcb,101,0.5,2,0.09640803653817959,0.3098738823808036,4.749366334599629,,True
target_local_range_heuristic_lcb,101,0.5,3,0.061401039807946055,0.19824952800070864,4.749366334599629,,True
target_local_range_heuristic_lcb,101,0.5,4,0.03457184234407856,0.11162435438009495,4.749366334599629,,True
target_local_range_heuristic_lcb,101,0.5,5,0.007933347306808197,0.0774684705952009,4.749366334599629,,True
target_local_range_heuristic_lcb,101,1.0,0,0.06757633837821544,0.19218507060098797,5.299789492898262,,True
target_local_range_heuristic_lcb,101,1.0,1,0.034731395701125725,0.09877504308584242,5.299789492898262,,True
target_local_range_heuristic_lcb,101,1.0,2,0.08974908210952015,0.25524368581580864,5.299789492898262,,True
target_local_range_heuristic_lcb,101,1.0,3,0.07537453887553472,0.21436291789348194,5.299789492898262,,True
target_local_range_heuristic_lcb,101,1.0,4,0.05383658009754576,0.15310961196290562,5.299789492898262,,True
target_local_range_heuristic_lcb,101,1.0,5,0.009635346070278383,0.08632367064097339,5.299789492898262,,True
target_local_range_heuristic_lcb,101,2.0,0,0.1225677579324978,0.22119578362167827,5.361754468820823,,True
target_local_range_heuristic_lcb,101,2.0,1,0.0727152305660035,0.13122784227754516,5.361754468820823,,True
target_local_range_heuristic_lcb,101,2.0,2,0.07828758785071105,0.14128417321646694,5.361754468820823,,True
target_local_range_heuristic_lcb,101,2.0,3,0.13948178870334813,0.25172022458126475,5.361754468820823,,True
target_local_range_heuristic_lcb,101,2.0,4,0.09719207063458053,0.1754007463991426,5.361754468820823,,True
target_local_range_heuristic_lcb,101,2.0,5,0.0143872151275318,0.07917122990390238,5.361754468820823,,True
target_local_range_heuristic_lcb,211,0.0,0,0.15120207260764013,0.22937065333311463,5.554055428435836,,True
target_local_range_heuristic_lcb,211,0.0,1,0.12381372160345124,0.18782304849406534,5.554055428435836,,True
target_local_range_heuristic_lcb,211,0.0,2,0.11881119611369828,0.18023431296874148,5.554055428435836,,True
target_local_range_heuristic_lcb,211,0.0,3,0.12783230291890352,0.1939191595188752,5.554055428435836,,True
target_local_range_heuristic_lcb,211,0.0,4,0.07688856647459495,0.11663848531950168,5.554055428435836,,True
target_local_range_heuristic_lcb,211,0.0,5,0.0427375684055285,0.0920143403657017,5.554055428435836,,True
target_local_range_heuristic_lcb,211,0.5,0,0.10994289682863095,0.21678275673538588,5.554194981231708,,True
