policy,base_seed,family,mismatch_severity,selected_correction,fallback_used,reported_geometry_field_relative_l2,selected_field_relative_l2,field_gain_percent,selected_weighted_lcb,effective_camera_count
uniform_heuristic_lcb,101,smooth_plume,0.0,0.0,True,0.5303539883483216,0.5303539883483216,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,101,wrinkled_density_interface,0.0,0.0,True,0.629167857951391,0.629167857951391,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,101,shock_expansion_pair,0.0,0.0,True,0.5915088432532365,0.5915088432532365,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,101,smooth_plume,0.5,0.0,True,0.5373905185022773,0.5373905185022773,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,101,wrinkled_density_interface,0.5,0.0,True,0.6361169993138507,0.6361169993138507,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,101,shock_expansion_pair,0.5,0.0,True,0.5946837178386972,0.5946837178386972,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,101,smooth_plume,1.0,0.0,True,0.5536420647042976,0.5536420647042976,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,101,wrinkled_density_interface,1.0,0.0,True,0.6547981910135915,0.6547981910135915,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,101,shock_expansion_pair,1.0,0.0,True,0.603775335912293,0.603775335912293,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,101,smooth_plume,2.0,1.0,False,0.5901941489489183,0.5537613388057987,6.1730212351313725,0.0012191018379484504,5.999999999999999
uniform_heuristic_lcb,101,wrinkled_density_interface,2.0,1.0,False,0.7027492413121786,0.6548759812211785,6.812282002839422,0.0012191018379484504,5.999999999999999
uniform_heuristic_lcb,101,shock_expansion_pair,2.0,1.0,False,0.6259422338454882,0.6037992421453979,3.537545559764256,0.0012191018379484504,5.999999999999999
uniform_heuristic_lcb,211,smooth_plume,0.0,0.0,True,0.6733044324928485,0.6733044324928485,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,211,wrinkled_density_interface,0.0,0.0,True,0.6641610760615045,0.6641610760615045,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,211,shock_expansion_pair,0.0,0.0,True,0.6367027605831819,0.6367027605831819,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,211,smooth_plume,0.5,0.0,True,0.7039630342370274,0.7039630342370274,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,211,wrinkled_density_interface,0.5,0.0,True,0.6842177157614542,0.6842177157614542,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,211,shock_expansion_pair,0.5,0.0,True,0.6447018093676098,0.6447018093676098,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,211,smooth_plume,1.0,0.0,True,0.7712600280537701,0.7712600280537701,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,211,wrinkled_density_interface,1.0,0.0,True,0.6999114295792108,0.6999114295792108,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,211,shock_expansion_pair,1.0,0.0,True,0.6619263349422688,0.6619263349422688,0.0,0.0,5.999999999999999
uniform_heuristic_lcb,211,smooth_plume,2.0,1.5,False,0.8935033413537071,0.7041406157268356,21.193286791740082,1.6161855875100606e-05,5.999999999999999
uniform_heuristic_lcb,211,wrinkled_density_interface,2.0,1.5,False,0.7221578910867941,0.6843333530210277,5.237710275358652,1.6161855875100606e-05,5.999999999999999
