policy,base_seed,mismatch_severity,selected_correction,fallback_used,selected_weighted_lcb,selected_objective,safe_candidate_count,safe_candidates,effective_camera_count,weight_fit_rigs,target_local_weight
target_local_slope_heuristic_lcb,607,0.0,0.0,True,0.0,0.1249048645995444,0,,5.502178447417115,,True
target_local_slope_heuristic_lcb,607,0.5,0.0,True,0.0,0.12235690987203156,0,,4.457087378086453,,True
target_local_slope_heuristic_lcb,607,1.0,0.0,True,0.0,0.13618833676734543,0,,4.456278788842564,,True
target_local_slope_heuristic_lcb,607,2.0,1.5,False,0.004542177671266967,0.10747211766747539,3,0.5;1;1.5,4.8643265871351264,,True
target_local_curvature_heuristic_lcb,101,0.0,0.0,True,0.0,0.09974272204748803,0,,5.1026430153533,,True
target_local_curvature_heuristic_lcb,101,0.5,0.5,False,0.0011222453710917606,0.1030023432911369,1,0.5,5.390182176853696,,True
target_local_curvature_heuristic_lcb,101,1.0,1.0,False,0.0033301221589778565,0.10500258403015193,2,0.5;1,4.964568882177251,,True
target_local_curvature_heuristic_lcb,101,2.0,2.5,False,0.005774711507591179,0.10543820069146893,5,0.5;1;1.5;2;2.5,5.371983115579668,,True
target_local_curvature_heuristic_lcb,211,0.0,0.0,True,0.0,0.07967162530545123,0,,4.682760596198042,,True
target_local_curvature_heuristic_lcb,211,0.5,0.0,True,0.0,0.08833672393526841,0,,4.628598326585415,,True
target_local_curvature_heuristic_lcb,211,1.0,0.5,False,0.0003276920167735939,0.09050948824764983,1,0.5,4.641019693646678,,True
target_local_curvature_heuristic_lcb,211,2.0,0.0,True,0.0,0.1620120490092108,0,,5.01416100607074,,True
target_local_curvature_heuristic_lcb,307,0.0,0.0,True,0.0,0.0784110487042066,0,,4.788731917652817,,True
target_local_curvature_heuristic_lcb,307,0.5,0.0,True,0.0,0.07595993558706923,0,,4.578322649106543,,True
target_local_curvature_heuristic_lcb,307,1.0,0.5,False,0.001295552532379925,0.08468617414846848,1,0.5,5.023647417382444,,True
target_local_curvature_heuristic_lcb,307,2.0,1.5,False,0.0022784084324863063,0.097373266237507,3,0.5;1;1.5,5.507280078287329,,True
target_local_curvature_heuristic_lcb,401,0.0,0.0,True,0.0,0.0901667392380418,0,,4.628904742965226,,True
target_local_curvature_heuristic_lcb,401,0.5,0.0,True,0.0,0.0926877968573973,0,,4.7300852118458385,,True
target_local_curvature_heuristic_lcb,401,1.0,1.0,False,0.004533068980634217,0.0889781120598805,2,0.5;1,5.022069979510568,,True
target_local_curvature_heuristic_lcb,401,2.0,2.0,False,0.024198349893261202,0.09239374839295375,5,0.5;1;1.5;2;2.5,4.958329465820156,,True
target_local_curvature_heuristic_lcb,503,0.0,0.0,True,0.0,0.11422544825535239,0,,4.677941386936617,,True
target_local_curvature_heuristic_lcb,503,0.5,0.5,False,0.0023939984196167333,0.11448544173957614,1,0.5,5.015213312750156,,True
target_local_curvature_heuristic_lcb,503,1.0,1.0,False,0.0011655936374632622,0.11788269243152712,2,0.5;1,5.008753242156129,,True
target_local_curvature_heuristic_lcb,503,2.0,2.0,False,0.0010153678873517369,0.1318717079529856,4,0.5;1;1.5;2,4.827194842573507,,True
target_local_curvature_heuristic_lcb,607,0.0,0.0,True,0.0,0.10876478261892374,0,,5.376807301220744,,True
target_local_curvature_heuristic_lcb,607,0.5,0.0,True,0.0,0.10806236114017034,0,,5.224576419140685,,True
target_local_curvature_heuristic_lcb,607,1.0,0.0,True,0.0,0.12037400990532315,0,,4.85063856516348,,True
target_local_curvature_heuristic_lcb,607,2.0,1.5,False,0.000907151744746218,0.1112169219565412,3,0.5;1;1.5,5.180916045173026,,True
target_local_inverse_nominal_heuristic_lcb,101,0.0,0.0,True,0.0,0.1039315647935176,0,,5.47887773458381,,True
target_local_inverse_nominal_heuristic_lcb,101,0.5,0.5,False,0.00064738233061774,0.10377569210327385,1,0.5,5.461806061771522,,True
target_local_inverse_nominal_heuristic_lcb,101,1.0,1.5,False,0.00016355230961813752,0.10223089009310939,3,0.5;1;1.5,5.506665293075096,,True
target_local_inverse_nominal_heuristic_lcb,101,2.0,2.5,False,0.005715269728717429,0.10906481964079041,5,0.5;1;1.5;2;2.5,5.678323771182311,,True
target_local_inverse_nominal_heuristic_lcb,211,0.0,0.0,True,0.0,0.08180507404174003,0,,4.886898236115354,,True
target_local_inverse_nominal_heuristic_lcb,211,0.5,0.0,True,0.0,0.09470944751040895,0,,5.345923078571084,,True
target_local_inverse_nominal_heuristic_lcb,211,1.0,0.5,False,0.0007546175814593572,0.09758938196624245,1,0.5,5.466679644484514,,True
