cell_id,pair_id,role,step_count,wall_seconds,curved_high_logical_point_queries,straight_logical_point_queries,total_logical_point_queries
smooth-s1729-orientation_58-wide__stress_1,p01,n3_failure,256,1.1067569580045529,2293760,458752,2752512
smooth-s1729-orientation_58-wide__stress_1,p01,n3_failure,512,2.2416353750159033,4587520,917504,5505024
smooth-s1729-orientation_58-wide__stress_1,p01,n3_failure,1024,4.482208583969623,9175040,1835008,11010048
smooth-s1729-orientation_58-narrow__stress_1,p01,matched_control,256,1.1360849590273574,2293760,458752,2752512
smooth-s1729-orientation_58-narrow__stress_1,p01,matched_control,512,2.2343174159759656,4587520,917504,5505024
smooth-s1729-orientation_58-narrow__stress_1,p01,matched_control,1024,4.430980666016694,9175040,1835008,11010048
smooth-s1729-orientation_58-narrow__stress_1,p01,matched_control,2048,9.017282790970057,18350080,3670016,22020096
smooth-s1729-orientation_58-wide__stress_3,p02,n3_failure,256,1.1274322499521077,2293760,458752,2752512
smooth-s1729-orientation_58-wide__stress_3,p02,n3_failure,512,2.2358788329875097,4587520,917504,5505024
smooth-s1729-orientation_58-wide__stress_3,p02,n3_failure,1024,4.459262916992884,9175040,1835008,11010048
smooth-s1729-orientation_58-narrow__stress_3,p02,matched_control,256,1.1451107499888167,2293760,458752,2752512
smooth-s1729-orientation_58-narrow__stress_3,p02,matched_control,512,2.2225254999939352,4587520,917504,5505024
smooth-s1729-orientation_58-narrow__stress_3,p02,matched_control,1024,4.581148792000022,9175040,1835008,11010048
smooth-s1729-orientation_58-wide__stress_10,p03,n3_failure,256,1.2176113749737851,2293760,458752,2752512
smooth-s1729-orientation_58-wide__stress_10,p03,n3_failure,512,2.2664198330021463,4587520,917504,5505024
smooth-s1729-orientation_58-wide__stress_10,p03,n3_failure,1024,4.498949249973521,9175040,1835008,11010048
smooth-s1729-orientation_58-narrow__stress_10,p03,matched_control,256,1.1864610000047833,2293760,458752,2752512
smooth-s1729-orientation_58-narrow__stress_10,p03,matched_control,512,2.279371832963079,4587520,917504,5505024
smooth-s1729-orientation_58-narrow__stress_10,p03,matched_control,1024,4.469863292004447,9175040,1835008,11010048
smooth-s1871-orientation_58-wide__stress_1,p04,n3_failure,256,1.1541078749578446,2293760,458752,2752512
smooth-s1871-orientation_58-wide__stress_1,p04,n3_failure,512,2.266755332995672,4587520,917504,5505024
smooth-s1871-orientation_58-wide__stress_1,p04,n3_failure,1024,4.49426308402326,9175040,1835008,11010048
smooth-s1871-orientation_58-wide__stress_1,p04,n3_failure,2048,8.943507416988723,18350080,3670016,22020096
smooth-s1871-orientation_58-narrow__stress_1,p04,matched_control,256,1.1517987079569139,2293760,458752,2752512
smooth-s1871-orientation_58-narrow__stress_1,p04,matched_control,512,2.345248707977589,4587520,917504,5505024
smooth-s1871-orientation_58-narrow__stress_1,p04,matched_control,1024,4.54027766600484,9175040,1835008,11010048
smooth-s1871-orientation_58-narrow__stress_1,p04,matched_control,2048,8.943099041993264,18350080,3670016,22020096
smooth-s1871-orientation_58-wide__stress_3,p05,n3_failure,256,1.1487593339988962,2293760,458752,2752512
