method,rig_id,family,field_uid,relative_l2,gain_vs_base
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:9,0.41230911016464233,0.03008980861538202
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:10,0.5350514650344849,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:10,0.5355197787284851,-0.0008752685014516981
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:10,0.36483466625213623,0.3181316376199024
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:10,0.5111074447631836,0.044750873207604513
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:11,0.5938078761100769,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:11,0.5943225622177124,-0.0008667552727779082
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:11,0.31815338134765625,0.4642149520955854
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:11,0.5604385733604431,0.056195453263822914
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:12,0.4928160607814789,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:12,0.49328726530075073,-0.0009561468401104722
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:12,0.3244491219520569,0.3416425563778006
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:12,0.45874911546707153,0.0691271004041264
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:13,0.47027045488357544,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:13,0.470721572637558,-0.0009592730083249901
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:13,0.4777684807777405,-0.0159440717916699
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:13,0.4530971050262451,0.03651802846424179
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:14,0.5505039095878601,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:14,0.5509698987007141,-0.0008464773905110246
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:14,0.34599438309669495,0.3714951391431046
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:14,0.5232484936714172,0.049509940695694366
zero_correction,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:15,0.6685340404510498,0.0
selected_support_ridge,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:15,0.66907799243927,-0.0008136489023853333
selected_projected_bb,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:15,0.4185735583305359,0.3738934250107434
shared_field_ensemble,extension-rig-a,wrinkled_flame_sheet,extension-rig-a:wrinkled_flame_sheet:15,0.6350033283233643,0.050155579370442904
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:0,0.1110982596874237,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:0,0.11112158745527267,-0.00020997419684709584
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:0,0.10831201821565628,0.025079073962153364
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:0,0.1118185743689537,-0.0064835820431086155
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:1,0.14437872171401978,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:1,0.14451174437999725,-0.0009213453644572045
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:1,0.10456030815839767,0.27579142606964613
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:1,0.12937745451927185,0.10390220260061522
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:2,0.16604295372962952,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:2,0.16606923937797546,-0.0001583063162604592
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:2,0.16621489822864532,-0.001035542280799051
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:2,0.20960919559001923,-0.2623793475231073
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:3,0.33936890959739685,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:3,0.33972740173339844,-0.0010563493763375842
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:3,0.15162546932697296,0.5532134351763376
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:3,0.2984267771244049,0.12064196605859612
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:4,0.16354182362556458,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:4,0.16368885338306427,-0.0008990345970234515
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:4,0.15179485082626343,0.07182855454881254
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:4,0.1483646184206009,0.0928032039052743
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:5,0.23440532386302948,0.0
selected_support_ridge,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:5,0.23456797003746033,-0.0006938672371019639
selected_projected_bb,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:5,0.1254044771194458,0.4650101155862669
shared_field_ensemble,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:5,0.1967574656009674,0.16061008189413362
zero_correction,extension-rig-a,vortex_ring_pair,extension-rig-a:vortex_ring_pair:6,0.21230848133563995,0.0
