rig_id,family,field_count,candidate_target_gain_vs_pbb9,source_residual_standardized_rms,source_operator_effective_rank_fraction,source_operator_log10_condition,prior_rms_over_base,prior_member_disagreement_over_base,prior_pbb9_cosine,candidate_pbb9_cosine,candidate_minus_pbb9_rms_over_base,candidate_minus_pbb9_source_visibility,candidate_source_gain_vs_pbb9,candidate_floor_fraction,pbb9_floor_fraction,base_gradient_alignment,pbb9_gradient_alignment,base_total_variation_over_rms,pbb9_total_variation_over_rms,pbb9_positive_volume_fraction
fresh-budget-rig-a,pulsed_toroidal_plume,20,0.015011313506520218,0.8725573611198806,0.6532950367535555,1.403073915429076,0.08013741798024814,0.06368961853043616,0.571493670472828,0.9904142969675596,0.022088831336136143,17.199478479836863,-0.002576256512878422,0.4625,0.4765625,0.045173656602503505,0.03166841365449026,1.0970622273886455,1.1037801359329729,0.5234375
fresh-budget-rig-a,tilted_flame_brush,20,0.030225602882483615,1.6023849529883236,0.6532950367535555,1.403073915429076,0.10319746348610515,0.05617230568417594,0.5536857635862062,0.9394075396075247,0.054516964159165925,10.401312739201826,0.019530633053103465,0.2265625,0.2328125,0.14142302289424707,0.13325012224234548,0.874664081924287,0.8580981525459059,0.7671875
fresh-budget-rig-a,triple_jet_merger,20,-0.05048409801682548,0.9218850338092454,0.6532950367535555,1.403073915429076,0.09471237481623698,0.06149616682454987,0.701860080351797,0.9986100891196443,0.028583782551873067,23.298002657405114,-0.025343347119937708,0.53125,0.5328125,0.20065209012179985,0.19512152382878906,1.0279232181309665,1.0185709338637354,0.4671875
fresh-budget-rig-b,pulsed_toroidal_plume,20,-0.011118332474976072,1.1985602004259628,0.6840290958832964,1.4833247216610086,0.09278558454781503,0.06452554229344619,0.49805401675285654,0.9597341354731392,0.030858444154639397,19.979048954041264,-0.002930990609527273,0.35,0.36875,0.04214722503239755,0.025831332205060405,1.1086445418318243,1.1053489212292968,0.63125
fresh-budget-rig-b,tilted_flame_brush,20,0.025425386160155227,2.5336343053031145,0.6840290958832964,1.4833247216610086,0.09143909004973301,0.06011728074928484,0.5378680074212688,0.9424544871043306,0.03754580176982149,16.207445376867618,0.006184012089319457,0.2578125,0.2578125,0.15905231009813842,0.142195706920266,0.8640610438161976,0.8504499444004608,0.7421875
fresh-budget-rig-b,triple_jet_merger,20,-0.02510628074180935,1.1144743711958642,0.6840290958832964,1.4833247216610086,0.0918051565321666,0.06034699008035029,0.4601079497964946,0.9862201164363029,0.03001315234908945,23.654488816518604,-0.0114213786830201,0.5078125,0.5125,0.1680716121732849,0.17177395615877333,1.0333348493508336,1.030502869761506,0.4875
fresh-budget-rig-c,pulsed_toroidal_plume,20,0.011614385921777598,0.9377290190875739,0.7010214583248338,1.314543340451602,0.0832127309312928,0.06626964807679231,0.4151382388423457,0.9681404576168768,0.02653250924362473,17.548174920849466,-0.005760111013532926,0.3671875,0.3796875,0.050322979870121035,0.03456840906263785,1.107619373675408,1.1031713267487753,0.6203125
fresh-budget-rig-c,tilted_flame_brush,20,0.13660799489412095,2.5194514666542887,0.7010214583248338,1.314543340451602,0.1089587204731934,0.05966577771491027,0.17994171761468963,0.5120022517566769,0.06244372989806043,10.11708732864153,-0.003522355204512562,0.1265625,0.1359375,0.14980592450411306,0.1514211699228641,0.8606218524119372,0.8562453742185078,0.8640625
fresh-budget-rig-c,triple_jet_merger,20,-0.022943918586573214,1.039727630544548,0.7010214583248338,1.314543340451602,0.09585939254459978,0.06237153028376764,0.49187272169155516,0.9903337580160164,0.030574442300881237,21.9747972630239,-0.015603135496788212,0.4984375,0.5203125,0.1601333999392281,0.16386300607987941,1.044663753707336,1.035501875463413,0.4796875
fresh-budget-rig-d,pulsed_toroidal_plume,20,-0.02407318174852326,1.1139383613830298,0.6699388038056646,1.318221961857758,0.08731347474221737,0.060409043963054486,0.5139074839170965,0.9508604299729694,0.03445359399235219,17.064378545889035,-0.002836845349585171,0.3125,0.3375,0.02728696114485858,0.022240032907017617,1.099439395697209,1.1001233480103214,0.6625
fresh-budget-rig-d,tilted_flame_brush,20,0.006892239776522674,2.3039336371387464,0.6699388038056646,1.318221961857758,0.07978793506424123,0.057668953721988006,0.2803567938093748,0.7622384379908912,0.04835733029274473,12.73275753559636,-0.007946352135750128,0.128125,0.15,0.12276735807905655,0.12138084441896202,0.8482256076803945,0.8423370361644033,0.85
