diagnostic_repeat,replicate,sample_index,reaction_family,iterations,singleton_field_relative_l2,singleton_gradient_relative_l2,singleton_front_top10_f1,parent_batch_field_relative_l2,parent_batch_gradient_relative_l2,parent_batch_front_top10_f1,absolute_difference_field_relative_l2,absolute_difference_gradient_relative_l2,absolute_difference_front_top10_f1
0,0,0,plume,4,0.5280284285545349,0.6848860383033752,0.8097560405731201,0.5280284285545349,0.6848860383033752,0.8097560405731201,0.0,0.0,0.0
0,0,0,plume,8,0.36660438776016235,0.5094336867332458,0.8487805128097534,0.3666061758995056,0.5094345808029175,0.8487805128097534,1.7881393432617188e-06,8.940696716308594e-07,0.0
0,0,0,plume,16,0.292602002620697,0.4287034869194031,0.8512195348739624,0.2926015853881836,0.428702712059021,0.8512195348739624,4.172325134277344e-07,7.748603820800781e-07,0.0
0,0,0,plume,32,0.22338983416557312,0.3418850898742676,0.8829268217086792,0.22364413738250732,0.3421836793422699,0.8829268217086792,0.0002543032169342041,0.00029858946800231934,0.0
0,0,1,wavy_front,4,0.4651361107826233,0.6373713612556458,0.5634146332740784,0.4651361107826233,0.6373713612556458,0.5634146332740784,0.0,0.0,0.0
0,0,1,wavy_front,8,0.3090752959251404,0.4913519322872162,0.6780487895011902,0.309072881937027,0.49134719371795654,0.6780487895011902,2.4139881134033203e-06,4.738569259643555e-06,0.0
0,0,1,wavy_front,16,0.27093833684921265,0.4318946301937103,0.7390244007110596,0.27093997597694397,0.4318997263908386,0.7390244007110596,1.6391277313232422e-06,5.0961971282958984e-06,0.0
0,0,1,wavy_front,32,0.24916525185108185,0.4089467227458954,0.7804877161979675,0.24748891592025757,0.40785446763038635,0.7829268574714661,0.0016763359308242798,0.0010922551155090332,0.002439141273498535
0,0,2,thin_front,4,0.5641828179359436,0.7816382050514221,0.6073170900344849,0.5641829371452332,0.7816382050514221,0.6073170900344849,1.1920928955078125e-07,0.0,0.0
0,0,2,thin_front,8,0.5656095743179321,0.7517293095588684,0.6048780679702759,0.5656101107597351,0.7517299652099609,0.6048780679702759,5.364418029785156e-07,6.556510925292969e-07,0.0
0,0,2,thin_front,16,0.5494073033332825,0.719351053237915,0.5853658318519592,0.5494328737258911,0.7193838953971863,0.5853658318519592,2.5570392608642578e-05,3.2842159271240234e-05,0.0
0,0,2,thin_front,32,0.5342246890068054,0.7037389278411865,0.5829268097877502,0.5342267751693726,0.7037349343299866,0.5829268097877502,2.086162567138672e-06,3.993511199951172e-06,0.0
0,0,3,double_front,4,0.6568558216094971,0.7636653184890747,0.6390243768692017,0.6568557620048523,0.7636653780937195,0.6390243768692017,5.960464477539063e-08,5.960464477539063e-08,0.0
0,0,3,double_front,8,0.7371460795402527,0.8472012281417847,0.5634146332740784,0.7371461987495422,0.8472023010253906,0.5634146332740784,1.1920928955078125e-07,1.0728836059570312e-06,0.0
0,0,3,double_front,16,0.5291592478752136,0.6554428935050964,0.7219512462615967,0.5288503766059875,0.6551936864852905,0.7219512462615967,0.0003088712692260742,0.0002492070198059082,0.0
0,0,3,double_front,32,0.51259845495224,0.652411937713623,0.7439024448394775,0.5130401253700256,0.6528938412666321,0.7414634823799133,0.00044167041778564453,0.0004819035530090332,0.002438962459564209
0,0,4,annular_kernel,4,0.9702354073524475,0.9959119558334351,0.2487804889678955,0.9702353477478027,0.9959119558334351,0.2487804889678955,5.960464477539063e-08,0.0,0.0
0,0,4,annular_kernel,8,0.974002480506897,0.9933323264122009,0.35121950507164,0.974003255367279,0.9933345913887024,0.35121950507164,7.748603820800781e-07,2.2649765014648438e-06,0.0
0,0,4,annular_kernel,16,1.0002198219299316,1.0028564929962158,0.3804877996444702,1.0016181468963623,1.0049105882644653,0.3878048360347748,0.001398324966430664,0.0020540952682495117,0.007317036390304565
0,0,4,annular_kernel,32,1.0398951768875122,1.0343198776245117,0.3970767557621002,1.039893627166748,1.0342384576797485,0.3951219320297241,1.5497207641601562e-06,8.14199447631836e-05,0.0019548237323760986
0,0,5,oblique_shock,4,0.7460904717445374,0.9178203344345093,0.35853657126426697,0.7460904717445374,0.9178203344345093,0.35853657126426697,0.0,0.0,0.0
0,0,5,oblique_shock,8,0.6049370765686035,0.8269320130348206,0.5560975670814514,0.6049172282218933,0.8269269466400146,0.5536585450172424,1.9848346710205078e-05,5.066394805908203e-06,0.0024390220642089844
0,0,5,oblique_shock,16,0.5298585891723633,0.7741298079490662,0.5878048539161682,0.529614269733429,0.7739025950431824,0.5853658318519592,0.00024431943893432617,0.00022721290588378906,0.0024390220642089844
0,0,5,oblique_shock,32,0.47798457741737366,0.7254085540771484,0.6195122003555298,0.47779953479766846,0.725224494934082,0.6219512224197388,0.0001850426197052002,0.00018405914306640625,0.0024390220642089844
0,0,6,vortex_pair,4,0.6389671564102173,0.7495201826095581,0.6609756350517273,0.6389670968055725,0.7495202422142029,0.6609756350517273,5.960464477539063e-08,5.960464477539063e-08,0.0
0,0,6,vortex_pair,8,0.5340257287025452,0.607037365436554,0.7658536434173584,0.5339906811714172,0.6070342063903809,0.7658536434173584,3.504753112792969e-05,3.159046173095703e-06,0.0
0,0,6,vortex_pair,16,0.3425028622150421,0.4207655191421509,0.8585366010665894,0.3342055678367615,0.4139051139354706,0.8634146451950073,0.00829729437828064,0.006860405206680298,0.004878044128417969
0,0,6,vortex_pair,32,0.2818622291088104,0.34492796659469604,0.8999999761581421,0.2818744480609894,0.34489184617996216,0.8999999761581421,1.2218952178955078e-05,3.612041473388672e-05,0.0
0,0,7,multi_plume,4,0.6826563477516174,0.8120744824409485,0.6365853548049927,0.6826562881469727,0.8120744824409485,0.6365853548049927,5.960464477539063e-08,0.0,0.0
0,0,7,multi_plume,8,0.6380335688591003,0.7364720702171326,0.7463415265083313,0.6381151676177979,0.7366088628768921,0.7439024448394775,8.159875869750977e-05,0.00013679265975952148,0.0024390816688537598
0,0,7,multi_plume,16,0.6086540222167969,0.6882593631744385,0.7756096720695496,0.6086471080780029,0.6882544755935669,0.7756096720695496,6.9141387939453125e-06,4.887580871582031e-06,0.0
0,0,7,multi_plume,32,0.5474483370780945,0.6199074387550354,0.7780487537384033,0.5469481348991394,0.6193313598632812,0.7780487537384033,0.0005002021789550781,0.0005760788917541504,0.0
0,8,0,plume,4,0.5400388240814209,0.6706268787384033,0.795121967792511,0.5400388836860657,0.6706268787384033,0.795121967792511,5.960464477539063e-08,0.0,0.0
