base_seed,family,mismatch_severity,correction_candidate,camera_block,loco_score
101,smooth_plume,0.0,-0.5,0,0.04875402156376174
101,smooth_plume,0.0,-0.5,1,0.0687854026307157
101,smooth_plume,0.0,-0.5,2,0.1870899411228224
101,smooth_plume,0.0,-0.5,3,0.06441684920662759
101,smooth_plume,0.0,-0.5,4,0.06485200046406533
101,smooth_plume,0.0,-0.5,5,0.07559844975687427
101,smooth_plume,0.0,0.0,0,0.04959841797295065
101,smooth_plume,0.0,0.0,1,0.053996237299828706
101,smooth_plume,0.0,0.0,2,0.20249223644186265
101,smooth_plume,0.0,0.0,3,0.054889909654109434
101,smooth_plume,0.0,0.0,4,0.0539878432464255
101,smooth_plume,0.0,0.0,5,0.08040126563915571
101,smooth_plume,0.0,0.5,0,0.05266350393271308
101,smooth_plume,0.0,0.5,1,0.05144118678824326
101,smooth_plume,0.0,0.5,2,0.21929661173297213
101,smooth_plume,0.0,0.5,3,0.053472091435799604
101,smooth_plume,0.0,0.5,4,0.054756448012070524
101,smooth_plume,0.0,0.5,5,0.08558903954028241
101,smooth_plume,0.0,1.0,0,0.0609515987208154
101,smooth_plume,0.0,1.0,1,0.060135758066131195
101,smooth_plume,0.0,1.0,2,0.2371944998553769
101,smooth_plume,0.0,1.0,3,0.06082750266545939
101,smooth_plume,0.0,1.0,4,0.062380063390996596
101,smooth_plume,0.0,1.0,5,0.09137554292128108
101,smooth_plume,0.0,1.5,0,0.07530848844679841
101,smooth_plume,0.0,1.5,1,0.07543365967481873
101,smooth_plume,0.0,1.5,2,0.26032548827156055
101,smooth_plume,0.0,1.5,3,0.07260785402306583
101,smooth_plume,0.0,1.5,4,0.076988115241643
101,smooth_plume,0.0,1.5,5,0.10606547165897319
101,smooth_plume,0.0,2.0,0,0.09331218150028994
101,smooth_plume,0.0,2.0,1,0.09432211703571462
101,smooth_plume,0.0,2.0,2,0.28463841573363735
101,smooth_plume,0.0,2.0,3,0.08239491562950095
101,smooth_plume,0.0,2.0,4,0.0960360125486339
101,smooth_plume,0.0,2.0,5,0.1314387855495532
101,smooth_plume,0.0,2.5,0,0.1162280220044962
101,smooth_plume,0.0,2.5,1,0.11840143125461208
101,smooth_plume,0.0,2.5,2,0.30966279303410776
101,smooth_plume,0.0,2.5,3,0.0937160365314571
101,smooth_plume,0.0,2.5,4,0.1208332721781426
101,smooth_plume,0.0,2.5,5,0.16731845843890697
101,wrinkled_density_interface,0.0,-0.5,0,0.14125607295147574
101,wrinkled_density_interface,0.0,-0.5,1,0.09420183031166307
101,wrinkled_density_interface,0.0,-0.5,2,0.3447066536626899
101,wrinkled_density_interface,0.0,-0.5,3,0.12203269343979548
101,wrinkled_density_interface,0.0,-0.5,4,0.10267395606375387
