case_id,phantom_family,bend,low_to_high_mean_relative_l2,reference_half_to_full_relative_l2,residual_to_high_variance_ratio,minimum_component_correlation,low_ns_per_sample,high_ns_per_sample,paired_ns_per_sample,predicted_measured_cost_efficiency_gain,predicted_conservative_timing_efficiency_gain,empirical_mse_gain,empirical_mse_gain_bootstrap_lower_95,empirical_mse_gain_bootstrap_upper_95,fixed_state_jvp_relative_error,fixed_state_vjp_dot_relative_error,plugin_gradient_bias_over_scale,double_sample_gradient_bias_over_scale,development_case_screen_met,machine_decision
smooth_gradient_only,smooth_plume,0.0,0.014869236665819418,0.0007695534657008939,0.004219274254308779,0.9965833927610491,729.572265625,1746.09375,2479.0859375,1.8089202593183036,1.3972551071782864,1.7835786504300422,1.6264020254540894,1.9604590294584563,1.810884969391194e-09,1.1850740192864035e-15,-0.22371119507093698,0.0033339991239727407,True,DEVELOPMENT_ONLY_NO_AUDIT_AUTHORIZATION
wrinkled_gradient_only,wrinkled_density_interface,0.0,0.003888009312833783,0.0012172126520023122,0.004418476914054101,0.9971613956584747,704.833984375,1679.361328125,2466.064453125,1.7977954656714843,1.5122979550563165,1.7442655715694801,1.559177854682783,1.9503399298142485,1.5781010871128386e-09,1.8515947607891967e-16,0.41180790134708656,0.059876429322039904,False,DEVELOPMENT_ONLY_NO_AUDIT_AUTHORIZATION
smooth_coupled_bend,smooth_plume,0.02,0.06486660707145878,0.00081817514491429,0.02663357718816427,0.9745631194413826,731.689453125,1689.291015625,2528.482421875,1.3159523687608763,1.1023588021712285,1.358788964770285,1.238313224521121,1.491658079284469,5.0186000962064455e-09,1.2612436606838078e-15,0.03304730402803942,0.024644146542982998,True,DEVELOPMENT_ONLY_NO_AUDIT_AUTHORIZATION
wrinkled_coupled_bend,wrinkled_density_interface,0.02,0.06027326147837246,0.007786276866714288,0.019207822903511633,0.9894927961101447,725.830078125,1701.171875,2480.55078125,1.4611743404349566,1.1954221072449769,1.3963862812002574,1.233737385627864,1.5654117518265647,7.256543742437557e-10,1.993096271238198e-15,0.054647077685927144,0.023752652174983558,False,DEVELOPMENT_ONLY_NO_AUDIT_AUTHORIZATION
