field,view_index,count,relative_l2_direct,global_least_squares_scale,relative_l2_after_one_global_scale,mean_component_pearson,pearson_x,pearson_y,pearson_z
ground_truth,1,504,0.1346774349668532,0.9545831743453713,0.1261364097025535,0.6606968670305593,0.9943468609989125,0.9877437400927654,0.0
ground_truth,2,500,0.15213115967812543,0.9704441324244066,0.1491205780374946,0.974533544738403,0.9930154068015445,0.9836740980679399,0.9469111293457249
ground_truth,3,498,0.154166803817375,0.952412783170241,0.14602789787368112,0.986769353403533,0.9915981653201187,0.9824634669102389,0.9862464279802415
ground_truth,4,502,0.165150331143462,0.9543308516313825,0.15824637130355482,0.9873674274644318,0.9883959031220888,0.9869019002403856,0.9868044790308214
ground_truth,5,500,0.16250721194764176,0.9757678409576438,0.16064801804896212,0.9850568845670743,0.9818013558705286,0.9838078116440746,0.9895614861866198
ground_truth,6,505,0.16288379124833882,0.9434890411281014,0.15174398939474293,0.98198916794092,0.9718995979938881,0.9833004592764355,0.9907674465524365
ground_truth,7,503,0.14921675484940977,0.950680732157114,0.14009693741480042,0.6593601208910034,0.0,0.9846766644050553,0.9934036982679549
ground_truth,8,504,0.15411097185408648,0.9623940210684971,0.14918875741279572,0.9761953357746597,0.9544522018772285,0.9805177598689463,0.9936160455778043
ground_truth,9,505,0.17925515256341049,0.923624118496543,0.15958907952309614,0.9850526413326312,0.9818962070737277,0.9825949327293096,0.9906667841948563
ground_truth,10,504,0.1399233870617316,0.9488308684615564,0.12930151787541777,0.9893846409506623,0.9926420963570278,0.982762959004241,0.992748867490718
ground_truth,11,503,0.16184982718166968,0.9194421335876694,0.13660914688539835,0.9896946587858886,0.9918395249033509,0.9881502865965115,0.9890941648578034
ground_truth,12,493,0.14307977491809948,0.9540185356178617,0.13487425749270346,0.9845945394871048,0.9932123780022398,0.9814403118939639,0.9791309285651111
support_masked_ground_truth,1,504,0.1348545782255697,0.9539827699529749,0.12607910043491788,0.6607017409154056,0.9943714291608935,0.9877337935853231,0.0
support_masked_ground_truth,2,500,0.15239540107268135,0.9697554065128977,0.14924255658717872,0.9745305818490397,0.9929830457436261,0.9837018454671742,0.9469068543363189
support_masked_ground_truth,3,498,0.1543309823152814,0.9520640047929634,0.14607212575735978,0.9867615288327275,0.9915912640687592,0.9824466519898595,0.9862466704395639
support_masked_ground_truth,4,502,0.16536325916207925,0.9538922801437888,0.15832614102168202,0.9873556259433851,0.9883822404233531,0.9868928299670093,0.986791807439793
support_masked_ground_truth,5,500,0.1627023814040228,0.9750023064102356,0.16072245421942824,0.9850459297338457,0.9818034399418475,0.9837870940153393,0.9895472552443504
support_masked_ground_truth,6,505,0.16303659885447067,0.9430481130071255,0.15171609538344127,0.9819730878204229,0.9718636954210039,0.983276453870738,0.9907791141695269
support_masked_ground_truth,7,503,0.14933024883980137,0.9502170423532614,0.14003040152168603,0.6593658095508675,0.0,0.9846862138544805,0.9934112147981222
support_masked_ground_truth,8,504,0.15433211367772282,0.9617651396718051,0.14924192518017265,0.9761740301543238,0.9543925573827361,0.9805097355474356,0.9936197975327996
support_masked_ground_truth,9,505,0.1794339031362334,0.9231053927998787,0.15948082302477126,0.9850673818731802,0.981933893759412,0.9825827137899174,0.9906855380702114
support_masked_ground_truth,10,504,0.14003855721325512,0.9484517939026419,0.129252623675003,0.9893880012433428,0.992654965572232,0.982751984410353,0.9927570537474436
support_masked_ground_truth,11,503,0.16187556699107195,0.9191139823803652,0.13639285757364078,0.9897182704878156,0.9918733255880678,0.9881467883833527,0.9891346974920263
support_masked_ground_truth,12,493,0.14314945172784538,0.9535598801059709,0.13477008791898673,0.984604305349886,0.9932259051233715,0.981454758174324,0.9791322527519625
released_cgls_tv,1,504,0.2043339437099365,1.011316018725221,0.20404011953364584,0.6549267469479902,0.9807552871199031,0.9840249537240675,0.0
released_cgls_tv,2,500,0.2164154743241389,0.999967111411991,0.21641547194199212,0.968579290515672,0.9797317738023515,0.9804581929006528,0.9455479048440117
released_cgls_tv,3,498,0.19886455271206716,1.006320046552503,0.1987692778833294,0.9808728543811241,0.9813466634245102,0.9857656770700554,0.9755062226488067
released_cgls_tv,4,502,0.19740916198734382,1.0022376382744305,0.1973970282851033,0.9824425797954555,0.9811960938015962,0.9849105577684456,0.9812210878163244
released_cgls_tv,5,500,0.21948363457159376,1.022516115912745,0.21842918066243994,0.9765847343382572,0.9694500787250957,0.9807886800913397,0.9795154441983361
released_cgls_tv,6,505,0.19117748125391543,1.0009052015044684,0.19117542029034348,0.9788170861865505,0.966579514459861,0.9867253059739745,0.9831464381258158
released_cgls_tv,7,503,0.2012503570882233,0.9975625975138258,0.2012361249653164,0.6553610630678951,0.0,0.9844270881799425,0.9816561010237429
released_cgls_tv,8,504,0.20920620953767882,1.0194774983032022,0.20837003401494636,0.9713145731553272,0.9477964028568111,0.9858207633278027,0.980326553281368
released_cgls_tv,9,505,0.20954292496979324,1.0056019018036344,0.20947211372072916,0.9790759849463931,0.9716743055675899,0.985195189794336,0.9803584594772536
released_cgls_tv,10,504,0.20315986830083121,1.0028619635890414,0.20314065081432806,0.9799510334716572,0.9799060208042312,0.9792202821020481,0.9807267975086922
released_cgls_tv,11,503,0.18981165617833354,0.9973977138195007,0.1897943696635266,0.9829973883265936,0.9828607173725605,0.9874457296136859,0.9786857179935342
released_cgls_tv,12,493,0.21406866437978675,0.9973898689073465,0.2140534007454776,0.9719050366180587,0.9796845184742085,0.9760781455067341,0.9599524458732335
