replicate,sample_index,reaction_family,candidate_id,field_relative_l2,gradient_relative_l2,front_top10_f1
0,0,plume,graph_s3_k4,0.5280284285545349,0.6848860383033752,0.8097560405731201
0,0,plume,graph_s3_k8,0.3666061758995056,0.5094345808029175,0.8487805128097534
0,0,plume,graph_s3_k16,0.2926015853881836,0.428702712059021,0.8512195348739624
0,0,plume,graph_s3_k32,0.22364413738250732,0.3421836793422699,0.8829268217086792
0,0,plume,pdhg_data_only_k4,0.9994751214981079,0.9994580149650574,0.4853658676147461
0,0,plume,pdhg_data_only_k8,0.9986883997917175,0.9986472129821777,0.4853658676147461
0,0,plume,pdhg_data_only_k16,0.9970263242721558,0.9969408512115479,0.4823386073112488
0,0,plume,pdhg_data_only_k32,0.9937363266944885,0.9935890436172485,0.4829268157482147
0,1,wavy_front,graph_s3_k4,0.4651361107826233,0.6373713612556458,0.5634146332740784
0,1,wavy_front,graph_s3_k8,0.309072881937027,0.49134719371795654,0.6780487895011902
0,1,wavy_front,graph_s3_k16,0.27093997597694397,0.4318997263908386,0.7390244007110596
0,1,wavy_front,graph_s3_k32,0.24748891592025757,0.40785446763038635,0.7829268574714661
0,1,wavy_front,pdhg_data_only_k4,0.9998582601547241,0.9998012781143188,0.28780487179756165
0,1,wavy_front,pdhg_data_only_k8,0.9996452331542969,0.9995025992393494,0.28780487179756165
0,1,wavy_front,pdhg_data_only_k16,0.9991927146911621,0.9988693594932556,0.28780487179756165
0,1,wavy_front,pdhg_data_only_k32,0.9982863664627075,0.9976049661636353,0.28780487179756165
0,2,thin_front,graph_s3_k4,0.5641829371452332,0.7816382050514221,0.6073170900344849
0,2,thin_front,graph_s3_k8,0.5656101107597351,0.7517299652099609,0.6048780679702759
0,2,thin_front,graph_s3_k16,0.5494328737258911,0.7193838953971863,0.5853658318519592
0,2,thin_front,graph_s3_k32,0.5342267751693726,0.7037349343299866,0.5829268097877502
0,2,thin_front,pdhg_data_only_k4,0.9995085000991821,0.9995607137680054,0.31463414430618286
0,2,thin_front,pdhg_data_only_k8,0.9987713694572449,0.9989029765129089,0.31463414430618286
0,2,thin_front,pdhg_data_only_k16,0.9972128868103027,0.9975172877311707,0.31707316637039185
0,2,thin_front,pdhg_data_only_k32,0.9941219687461853,0.9947867393493652,0.3219512104988098
0,3,double_front,graph_s3_k4,0.6568557620048523,0.7636653780937195,0.6390243768692017
0,3,double_front,graph_s3_k8,0.7371461987495422,0.8472023010253906,0.5634146332740784
0,3,double_front,graph_s3_k16,0.5288503766059875,0.6551936864852905,0.7219512462615967
0,3,double_front,graph_s3_k32,0.5130401253700256,0.6528938412666321,0.7414634823799133
0,3,double_front,pdhg_data_only_k4,0.9998326897621155,0.9997863173484802,0.4414634108543396
0,3,double_front,pdhg_data_only_k8,0.9995811581611633,0.9994650483131409,0.4414634108543396
0,3,double_front,pdhg_data_only_k16,0.9990463256835938,0.9987822771072388,0.4414634108543396
0,3,double_front,pdhg_data_only_k32,0.9979733824729919,0.9974140524864197,0.4439024329185486
0,4,annular_kernel,graph_s3_k4,0.9702353477478027,0.9959119558334351,0.2487804889678955
0,4,annular_kernel,graph_s3_k8,0.974003255367279,0.9933345913887024,0.35121950507164
0,4,annular_kernel,graph_s3_k16,1.0016181468963623,1.0049105882644653,0.3878048360347748
0,4,annular_kernel,graph_s3_k32,1.039893627166748,1.0342384576797485,0.3951219320297241
0,4,annular_kernel,pdhg_data_only_k4,0.9994310140609741,0.9994536638259888,0.29024389386177063
0,4,annular_kernel,pdhg_data_only_k8,0.9985860586166382,0.9986430406570435,0.29024389386177063
0,4,annular_kernel,pdhg_data_only_k16,0.9968337416648865,0.9969642162322998,0.29024389386177063
0,4,annular_kernel,pdhg_data_only_k32,0.9934916496276855,0.9937700033187866,0.2926829159259796
0,5,oblique_shock,graph_s3_k4,0.7460904717445374,0.9178203344345093,0.35853657126426697
0,5,oblique_shock,graph_s3_k8,0.6049172282218933,0.8269269466400146,0.5536585450172424
0,5,oblique_shock,graph_s3_k16,0.529614269733429,0.7739025950431824,0.5853658318519592
0,5,oblique_shock,graph_s3_k32,0.47779953479766846,0.725224494934082,0.6219512224197388
0,5,oblique_shock,pdhg_data_only_k4,0.9998781085014343,0.9999224543571472,0.1902438998222351
0,5,oblique_shock,pdhg_data_only_k8,0.9996955990791321,0.9998070597648621,0.1902438998222351
0,5,oblique_shock,pdhg_data_only_k16,0.9993113279342651,0.9995667934417725,0.1926829218864441
0,5,oblique_shock,pdhg_data_only_k32,0.9985545873641968,0.9991045594215393,0.19512192904949188
0,6,vortex_pair,graph_s3_k4,0.6389670968055725,0.7495202422142029,0.6609756350517273
0,6,vortex_pair,graph_s3_k8,0.5339906811714172,0.6070342063903809,0.7658536434173584
0,6,vortex_pair,graph_s3_k16,0.3342055678367615,0.4139051139354706,0.8634146451950073
0,6,vortex_pair,graph_s3_k32,0.2818744480609894,0.34489184617996216,0.8999999761581421
0,6,vortex_pair,pdhg_data_only_k4,0.9993906021118164,0.9993837475776672,0.4731707274913788
0,6,vortex_pair,pdhg_data_only_k8,0.9984767436981201,0.9984607100486755,0.4731707274913788
0,6,vortex_pair,pdhg_data_only_k16,0.9965447783470154,0.9965129494667053,0.4731707274913788
0,6,vortex_pair,pdhg_data_only_k32,0.9927144646644592,0.9926668405532837,0.4707317054271698
0,7,multi_plume,graph_s3_k4,0.6826562881469727,0.8120744824409485,0.6365853548049927
0,7,multi_plume,graph_s3_k8,0.6381151676177979,0.7366088628768921,0.7439024448394775
0,7,multi_plume,graph_s3_k16,0.6086471080780029,0.6882544755935669,0.7756096720695496
0,7,multi_plume,graph_s3_k32,0.5469481348991394,0.6193313598632812,0.7780487537384033
0,7,multi_plume,pdhg_data_only_k4,0.9998584985733032,0.9998510479927063,0.4097560942173004
0,7,multi_plume,pdhg_data_only_k8,0.9996459484100342,0.999627411365509,0.4097560942173004
0,7,multi_plume,pdhg_data_only_k16,0.9991945028305054,0.9991527199745178,0.4097560942173004
0,7,multi_plume,pdhg_data_only_k32,0.998290479183197,0.998204231262207,0.4097560942173004
8,0,plume,graph_s3_k4,0.5400388836860657,0.6706268787384033,0.795121967792511
8,0,plume,graph_s3_k8,0.4306347668170929,0.5561493635177612,0.7941535115242004
8,0,plume,graph_s3_k16,0.29968446493148804,0.40404197573661804,0.8414633870124817
8,0,plume,graph_s3_k32,0.21476711332798004,0.31005042791366577,0.8682926893234253
8,0,plume,pdhg_data_only_k4,0.9994630813598633,0.9994149208068848,0.47503045201301575
8,0,plume,pdhg_data_only_k8,0.998687207698822,0.9985705018043518,0.47804877161979675
8,0,plume,pdhg_data_only_k16,0.9970701932907104,0.9968141317367554,0.47804877161979675
8,0,plume,pdhg_data_only_k32,0.9938631653785706,0.993345320224762,0.47804877161979675
