family,phantom_seed,noise_fraction,model_name,model_seed,best_step,field_relative_l2,source_test_central_relative_l2,rerun_test_central_relative_l2,source_test_central_absolute_difference,test_automatic_relative_l2,dense_central_h_relative_l2,dense_central_h_over_2_relative_l2,dense_central_h_over_4_relative_l2,dense_automatic_relative_l2,development_gcs_projected_uv_relative_l2,training_seconds
smooth_plume,2201,0.02,fourier_low,101,220,0.06888311125235969,0.031585888066505786,0.031585888066505786,0.0,0.12204964701134638,0.025690851669310313,0.09134000880820346,0.12083759140420215,0.13144395133070116,0.135916069149971,1.112385333981365
smooth_plume,2201,0.02,fourier_low,211,220,0.05971285909451849,0.03836635248746778,0.03836635248746778,0.0,0.08787857944823682,0.033329477299664616,0.07039713762317382,0.08958644241259096,0.09634939915011813,0.1036640927195549,0.9589063330786303
smooth_plume,2201,0.02,fourier_high,101,220,0.12004415670178632,0.05247480483969875,0.05247480483969875,0.0,0.7158236938573269,0.04214670739918203,0.5318475064086483,0.5816144265937349,0.7174122556492531,0.7111238241195679,1.041283749975264
smooth_plume,2201,0.02,fourier_high,211,240,0.09909157969420704,0.036619890065171176,0.036619890065171176,0.0,0.4481815745321623,0.0315647113296598,0.3025005126158434,0.32935913776470327,0.43918848570816305,0.4185941815376282,1.0520885420264676
smooth_plume,2201,0.08,fourier_low,101,220,0.08981231494760153,0.036987436032392046,0.036987436032392046,0.0,0.14227638158771444,0.0380140372488574,0.11386075671422749,0.14460200104926252,0.15574344628626868,0.14236555993556976,0.9684795410139486
smooth_plume,2201,0.08,fourier_low,211,200,0.0658943999552897,0.04069067146111144,0.04069067146111144,0.0,0.08979530868598586,0.03899555347696924,0.07508795755278697,0.09388287535744154,0.10055363505739263,0.10380588471889496,0.9510153329465538
smooth_plume,2201,0.08,fourier_high,101,180,0.1576090491855963,0.06527164495766034,0.06527164495766034,0.0,0.7505871638995608,0.05893433843529284,0.532083994558836,0.6058866110894304,0.7546445209059659,0.7386674880981445,1.052701957989484
smooth_plume,2201,0.08,fourier_high,211,160,0.12000034883646744,0.05846715396185803,0.05846715396185803,0.0,0.6264714186563464,0.05333459641641773,0.3442739370930085,0.4276164346902198,0.6372940482194133,0.6280720829963684,1.0310778330313042
wrinkled_density_interface,2202,0.02,fourier_low,101,120,0.13102364867704336,0.09525537981938698,0.09525537981938698,0.0,0.15002699345282935,0.09216379446570296,0.11922284879177089,0.13644904363793697,0.14297249873146733,0.14968758821487427,0.9394835000857711
wrinkled_density_interface,2202,0.02,fourier_low,211,80,0.1544272705771589,0.1283708219664701,0.1283708219664701,0.0,0.18667820908875965,0.11565956361098088,0.14032491444172324,0.15543594843102976,0.16127203487387615,0.13820821046829224,0.9348285839660093
wrinkled_density_interface,2202,0.02,fourier_high,101,240,0.21570112963515872,0.09629269659339836,0.09629269659339836,0.0,0.720447082140662,0.10564055285922445,0.3813909642018197,0.49075676030732823,0.6097421084403826,0.5081884264945984,1.0238497499376535
wrinkled_density_interface,2202,0.02,fourier_high,211,240,0.1710758187543944,0.0835686418019453,0.0835686418019453,0.0,0.8715316823632457,0.09454394368270264,0.1996194270535997,0.34667022800916214,0.6577181412251125,0.5932742357254028,1.0492397079942748
wrinkled_density_interface,2202,0.08,fourier_low,101,100,0.1333967816314365,0.10490688898301932,0.10490688898301932,0.0,0.1556308320604598,0.09902444503501434,0.12798511215741673,0.1455475557826418,0.15215158850045987,0.15046684443950653,0.9343210419174284
wrinkled_density_interface,2202,0.08,fourier_low,211,120,0.12911384096698472,0.10866242353073625,0.10866242353073625,0.0,0.16264161024855756,0.09348320299780272,0.12280714924905234,0.14206856540076207,0.14938636213176684,0.1485513299703598,0.9244025410152972
wrinkled_density_interface,2202,0.08,fourier_high,101,240,0.2125377210310334,0.10488598882518194,0.10488598882518194,0.0,0.802765766625476,0.1104529110301739,0.4264669324851211,0.5342509025556013,0.6850388675596539,0.5721927881240845,1.080372791038826
wrinkled_density_interface,2202,0.08,fourier_high,211,200,0.1898575934065304,0.09540337756475845,0.09540337756475845,0.0,0.9350971280604145,0.10013662302805514,0.2289834078225486,0.3884151216354442,0.7090076355959237,0.6381162405014038,1.0130342500051484
oblique_compression_sheet,2203,0.02,fourier_low,101,220,0.13426574672334496,0.14827981451982916,0.14827981451982916,0.0,0.25392541592198953,0.08522814052439873,0.1342157080547106,0.16057870101039745,0.17027464275320928,0.1419561803340912,0.9623090419918299
oblique_compression_sheet,2203,0.02,fourier_low,211,220,0.13164542742493882,0.0757114479708671,0.0757114479708671,0.0,0.13727096678939307,0.08222121014925488,0.13613026080427215,0.1652092253097545,0.17588715489159,0.12971334159374237,0.9495083329966292
oblique_compression_sheet,2203,0.02,fourier_high,101,180,0.20894690486420375,0.0740719467546338,0.0740719467546338,0.0,0.8426857194540484,0.11084835684604907,0.24834103486005413,0.46897875228005875,0.6329760249592837,0.6170973777770996,1.0212656250223517
oblique_compression_sheet,2203,0.02,fourier_high,211,200,0.1969345801658636,0.06266225777017277,0.06266225777017277,0.0,0.9994220358836062,0.10349304859392294,0.39010120205248927,0.5739346454459382,0.7979064804479753,0.7566917538642883,1.0408483329229057
oblique_compression_sheet,2203,0.08,fourier_low,101,220,0.12907642289648147,0.14098008979898805,0.14098008979898805,0.0,0.23981689855765606,0.09173808843163832,0.12894467373328358,0.15247065409418736,0.1612162959397563,0.14036168158054352,0.9385425410000607
oblique_compression_sheet,2203,0.08,fourier_low,211,180,0.12594254709185726,0.07370607648909293,0.07370607648909293,0.0,0.1389397788650885,0.09505663092861188,0.13484999654767058,0.1611622299318425,0.1710901768622587,0.1309737265110016,0.9652933339821175
