candidate_id,stopping_family,stopping_parameter,stopping_threshold,comparator_only,uses_simulator_nuisance_scale,selection_uses_truth,selection_uses_clean_renderer,target_crossed,selected_observable_value,selected_iteration,attempted_iteration,returned_field_kind,case_id,split,family,base_seed,method,model_seed,field_relative_l2,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,clean_reprojection_ratio_to_base,field_gain_to_best_matched_classical,h1_gain_to_best_matched_classical,reprojection_ratio_to_matched_cgls,field_harm,projection_closure_relative_error,forward_calls,adjoint_calls,exact_camera_block_setup_forward_equivalents,exact_camera_block_setup_in_budget
noise_floor_x0.5,simulator_noise_floor_multiple,0.5,0.011180339887498949,False,True,False,False,True,0.009590361485257746,3,3,selected_affine_pcg_iterate,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.3040689144794029,0.5976027302048744,0.009590361485257746,0.018080645065968383,1.079220407139331,0.510873806495787,0.3992279641331953,6.062906719314807,False,4.567993107560113e-16,17,16,1001,False
noise_floor_x0.75,simulator_noise_floor_multiple,0.75,0.016770509831248424,False,True,False,False,True,0.015225272585045142,2,2,selected_affine_pcg_iterate,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.3020143092818649,0.59203509746829,0.015225272585045142,0.021385536998975663,1.276486976140506,0.5169770910681452,0.40083962863888284,7.523741359237991,False,4.671131191680772e-16,16,15,1001,False
noise_floor_x1,simulator_noise_floor_multiple,1.0,0.022360679774997897,False,True,False,False,True,0.015225272585045142,2,2,selected_affine_pcg_iterate,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.3020143092818649,0.59203509746829,0.015225272585045142,0.021385536998975663,1.276486976140506,0.5169770910681452,0.40083962863888284,7.523741359237991,False,4.671131191680772e-16,16,15,1001,False
noise_floor_x1.25,simulator_noise_floor_multiple,1.25,0.02795084971874737,False,True,False,False,True,0.015225272585045142,2,2,selected_affine_pcg_iterate,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.3020143092818649,0.59203509746829,0.015225272585045142,0.021385536998975663,1.276486976140506,0.5169770910681452,0.40083962863888284,7.523741359237991,False,4.671131191680772e-16,16,15,1001,False
noise_floor_x1.5,simulator_noise_floor_multiple,1.5,0.03354101966249685,False,True,False,False,True,0.015225272585045142,2,2,selected_affine_pcg_iterate,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.3020143092818649,0.59203509746829,0.015225272585045142,0.021385536998975663,1.276486976140506,0.5169770910681452,0.40083962863888284,7.523741359237991,False,4.671131191680772e-16,16,15,1001,False
noise_floor_x2,simulator_noise_floor_multiple,2.0,0.044721359549995794,False,True,False,False,True,0.015225272585045142,2,2,selected_affine_pcg_iterate,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.3020143092818649,0.59203509746829,0.015225272585045142,0.021385536998975663,1.276486976140506,0.5169770910681452,0.40083962863888284,7.523741359237991,False,4.671131191680772e-16,16,15,1001,False
noise_floor_x3,simulator_noise_floor_multiple,3.0,0.0670820393249937,False,True,False,False,True,0.06329728907307407,1,1,selected_affine_pcg_iterate,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.30460227385643596,0.5821388394154299,0.06329728907307407,0.06531747180397957,3.898751856275495,0.51285857397406,0.40583547516116714,24.507036068503794,False,5.568478357741274e-16,15,14,1001,False
noise_floor_x4,simulator_noise_floor_multiple,4.0,0.08944271909999159,False,True,False,False,True,0.06329728907307407,1,1,selected_affine_pcg_iterate,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.30460227385643596,0.5821388394154299,0.06329728907307407,0.06531747180397957,3.898751856275495,0.51285857397406,0.40583547516116714,24.507036068503794,False,5.568478357741274e-16,15,14,1001,False
noise_floor_x6,simulator_noise_floor_multiple,6.0,0.1341640786499874,False,True,False,False,True,0.06329728907307407,1,1,selected_affine_pcg_iterate,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.30460227385643596,0.5821388394154299,0.06329728907307407,0.06531747180397957,3.898751856275495,0.51285857397406,0.40583547516116714,24.507036068503794,False,5.568478357741274e-16,15,14,1001,False
noise_floor_x8,simulator_noise_floor_multiple,8.0,0.17888543819998318,False,True,False,False,True,0.06329728907307407,1,1,selected_affine_pcg_iterate,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.30460227385643596,0.5821388394154299,0.06329728907307407,0.06531747180397957,3.898751856275495,0.51285857397406,0.40583547516116714,24.507036068503794,False,5.568478357741274e-16,15,14,1001,False
