candidate_id,stopping_family,stopping_parameter,comparator_only,method,model_seed,split,case_count,target_crossing_rate,selected_iteration_mean,selected_iteration_maximum,field_gain_mean,h1_gain_mean,clean_reprojection_ratio_to_base_mean,clean_reprojection_ratio_to_base_maximum,reprojection_ratio_to_matched_cgls_mean,field_harm_rate,worst_field_gain,projection_closure_relative_error_maximum,forward_calls_mean,forward_calls_maximum,adjoint_calls_mean,adjoint_calls_maximum
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,jacru_m2,17,development,12,1.0,5.916666666666667,7,0.4210623634763894,0.3337558538398097,0.9171388221362289,1.1871163840299856,2.2678028461546256,0.08333333333333333,-0.06806405813553032,7.858997746625865e-16,19.916666666666668,21,18.916666666666668,20
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,jacru_m2,17,ood,18,1.0,6.111111111111111,7,0.35584162540961034,0.2893849850712217,1.0004946725109594,1.2371039504729007,1.939467675949713,0.0,0.12452115128545077,1.2123968890016333e-15,20.11111111111111,21,19.11111111111111,20
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,jacru_m2,29,development,12,1.0,5.75,6,0.39344420168022576,0.3124210014129155,0.9166964506532285,1.1817791896481402,2.1225610223356646,0.08333333333333333,-0.09182062168988003,8.724353813504252e-16,19.75,20,18.75,19
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,jacru_m2,29,ood,18,1.0,5.944444444444445,7,0.32334077820714496,0.26416876059789346,1.004504461605438,1.2192268977814333,1.8662971445355163,0.0,0.08413354683832347,7.563674383301177e-16,19.944444444444443,21,18.944444444444443,20
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,jacru_m2,43,development,12,1.0,5.75,6,0.40851679843991456,0.3227061174622096,0.9223111839830441,1.192274089841898,2.2942514011418225,0.08333333333333333,-0.061591390659556516,9.108327360262585e-16,19.75,20,18.75,19
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,jacru_m2,43,ood,18,1.0,6.166666666666667,8,0.3200426675184623,0.2522957441523016,1.0014814288097407,1.2097173886145853,2.0693733723751917,0.0,0.10683510876033227,1.0488852480117108e-15,20.166666666666668,22,19.166666666666668,21
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,pooled_cnn,17,development,12,1.0,5.75,6,0.3975962060745823,0.32496126274562775,0.9233589612843999,1.1822481021605191,2.495631061475209,0.08333333333333333,-0.1213177346706987,8.281348727440718e-16,19.75,20,18.75,19
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,pooled_cnn,17,ood,18,1.0,6.166666666666667,8,0.3241819209564434,0.258461608484297,1.0025180617863174,1.2333303448724469,1.9207155287297217,0.0,0.049955341517045164,9.704838337477376e-16,20.166666666666668,22,19.166666666666668,21
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,pooled_cnn,29,development,12,1.0,5.75,6,0.40071443464349993,0.3340951574734891,0.9241415655934816,1.1948595729906706,2.501055987862463,0.08333333333333333,-0.1083923135674728,1.040083558156984e-15,19.75,20,18.75,19
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,pooled_cnn,29,ood,18,1.0,6.111111111111111,8,0.3372006218211167,0.2986456722357362,1.004463834288041,1.2404194766377816,2.0146523112374286,0.0,0.09381405679946461,7.530271577351827e-16,20.11111111111111,22,19.11111111111111,21
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,pooled_cnn,43,development,12,1.0,5.833333333333333,6,0.404219858139417,0.3067695499369956,0.9189933295024596,1.188460678754062,2.4006916865361756,0.08333333333333333,-0.09639315733963703,8.166383354187223e-16,19.833333333333332,20,18.833333333333332,19
base_residual_x0.5,base_anchor_residual_multiple,0.5,False,pooled_cnn,43,ood,18,1.0,6.166666666666667,8,0.349535277703145,0.2585624951157551,1.002254049854225,1.2334604104580909,2.0398098485503784,0.0,0.10473014686984482,8.731105987377942e-16,20.166666666666668,22,19.166666666666668,21
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,jacru_m2,17,development,12,1.0,5.25,6,0.4226568243249483,0.33152093492500206,0.9408092372946464,1.2075710874574266,2.867903448445921,0.08333333333333333,-0.07213291002841567,9.83444843187095e-16,19.25,20,18.25,19
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,jacru_m2,17,ood,18,1.0,5.388888888888889,7,0.3586944369391023,0.28744880239522264,1.030132132535305,1.2371039504729007,2.4709744917272136,0.0,0.12540636004483494,8.084985996903437e-16,19.38888888888889,21,18.38888888888889,20
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,jacru_m2,29,development,12,1.0,4.916666666666667,6,0.39571928633001296,0.3098586551102808,0.9620801615815081,1.1940242563372463,3.0000880871803624,0.08333333333333333,-0.09408954629180201,7.662491548318941e-16,18.916666666666668,20,17.916666666666668,19
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,jacru_m2,29,ood,18,1.0,5.277777777777778,7,0.32639442041413635,0.26243965947647196,1.0189470032006847,1.2192268977814333,2.357799561833255,0.0,0.08413354683832347,8.957557584635097e-16,19.27777777777778,21,18.27777777777778,20
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,jacru_m2,43,development,12,1.0,5.083333333333333,6,0.41035088213731025,0.32084318320779626,0.9623339958678608,1.1903744912030862,3.1018180285633363,0.08333333333333333,-0.06402747402345621,9.615818792696885e-16,19.083333333333332,20,18.083333333333332,19
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,jacru_m2,43,ood,18,1.0,5.388888888888889,7,0.3237672361182692,0.250664620763441,1.0228087225222218,1.2097173886145853,2.582582112574182,0.0,0.10906509993730132,9.380626769137381e-16,19.38888888888889,21,18.38888888888889,20
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,pooled_cnn,17,development,12,1.0,5.25,6,0.3993505329443931,0.3238476886160869,0.9415987153428476,1.201906264413868,3.072190958131388,0.08333333333333333,-0.1213177346706987,8.281348727440718e-16,19.25,20,18.25,19
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,pooled_cnn,17,ood,18,1.0,5.444444444444445,7,0.3272127409523666,0.25660041683528756,1.029180673845303,1.2333303448724469,2.4782225438098924,0.0,0.05125913098664476,1.3172153302103827e-15,19.444444444444443,21,18.444444444444443,20
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,pooled_cnn,29,development,12,1.0,5.333333333333333,6,0.40153050673019997,0.33260092335996,0.9482464168545933,1.186856687957003,2.9177172290511386,0.08333333333333333,-0.11174193766168217,9.784119812043815e-16,19.333333333333332,20,18.333333333333332,19
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,pooled_cnn,29,ood,18,1.0,5.277777777777778,7,0.3406877576256948,0.2964121087457551,1.033071341278435,1.2404194766377816,2.5399774966744504,0.0,0.09415221027875081,1.0504622640198298e-15,19.27777777777778,21,18.27777777777778,20
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,pooled_cnn,43,development,12,1.0,5.25,6,0.4056757449776081,0.30476544380858334,0.9468057716592752,1.1813956203690141,2.995662750112873,0.08333333333333333,-0.09990948714061697,6.999143702711415e-16,19.25,20,18.25,19
base_residual_x0.75,base_anchor_residual_multiple,0.75,False,pooled_cnn,43,ood,18,1.0,5.5,7,0.35235873619528946,0.25678608340862324,1.0204467915455928,1.2334604104580909,2.4684112712003135,0.0,0.10503858775336719,1.0019827114024484e-15,19.5,21,18.5,20
base_residual_x1,base_anchor_residual_multiple,1.0,False,jacru_m2,17,development,12,1.0,4.666666666666667,5,0.4234597478969097,0.3293714355306286,1.0069711442458453,1.2075710874574266,3.804340739970581,0.08333333333333333,-0.07488283948821643,8.118499561701568e-16,18.666666666666668,19,17.666666666666668,18
base_residual_x1,base_anchor_residual_multiple,1.0,False,jacru_m2,17,ood,18,1.0,5.0,6,0.36004274215004206,0.28603504419896597,1.0448325750092984,1.2547286923681544,2.8789450440622013,0.0,0.12540636004483494,8.084985996903437e-16,19.0,20,18.0,19
base_residual_x1,base_anchor_residual_multiple,1.0,False,jacru_m2,29,development,12,1.0,4.833333333333333,5,0.3959853074588242,0.3095049138660765,0.9694161964192144,1.1940242563372463,3.093404318751515,0.08333333333333333,-0.09408954629180201,7.662491548318941e-16,18.833333333333332,19,17.833333333333332,18
base_residual_x1,base_anchor_residual_multiple,1.0,False,jacru_m2,29,ood,18,1.0,4.888888888888889,6,0.32745987039562957,0.26085597203254585,1.051087976642271,1.4551928714484716,2.7805112791108946,0.0,0.08666988486690128,9.127771097609489e-16,18.88888888888889,20,17.88888888888889,19
base_residual_x1,base_anchor_residual_multiple,1.0,False,jacru_m2,43,development,12,1.0,4.75,6,0.41103659525233427,0.3200526441158971,1.0017348384694027,1.1903744912030862,3.6964677520182474,0.08333333333333333,-0.06402747402345621,9.615818792696885e-16,18.75,20,17.75,19
base_residual_x1,base_anchor_residual_multiple,1.0,False,jacru_m2,43,ood,18,1.0,4.833333333333333,6,0.32525867087768806,0.2480749954128721,1.0682543402135722,1.4737796797390703,3.1170692589240536,0.0,0.1081095429054425,1.304515529644981e-15,18.833333333333332,20,17.833333333333332,19
base_residual_x1,base_anchor_residual_multiple,1.0,False,pooled_cnn,17,development,12,1.0,4.833333333333333,6,0.39961204251134036,0.32221505417092927,1.0129523515072485,1.201906264413868,3.7491110058214328,0.08333333333333333,-0.12395147083341668,8.218187021248494e-16,18.833333333333332,20,17.833333333333332,19
base_residual_x1,base_anchor_residual_multiple,1.0,False,pooled_cnn,17,ood,18,1.0,5.0,6,0.32860113178238937,0.25490360663742595,1.0616931501376934,1.4860814734578525,2.9038402725780066,0.0,0.0526906795780807,1.4138325616639168e-15,19.0,20,18.0,19
base_residual_x1,base_anchor_residual_multiple,1.0,False,pooled_cnn,29,development,12,1.0,4.833333333333333,6,0.4031214649494035,0.3312658942652969,1.0005197110969353,1.186856687957003,3.6679587616315708,0.08333333333333333,-0.11174193766168217,9.784119812043815e-16,18.833333333333332,20,17.833333333333332,19
base_residual_x1,base_anchor_residual_multiple,1.0,False,pooled_cnn,29,ood,18,1.0,4.888888888888889,6,0.3418483852766625,0.29475109575063546,1.0509159721016275,1.2679670235885414,2.9486933778574898,0.0,0.09532436041132475,1.005985667762814e-15,18.88888888888889,20,17.88888888888889,19
base_residual_x1,base_anchor_residual_multiple,1.0,False,pooled_cnn,43,development,12,1.0,4.833333333333333,6,0.40650524977043556,0.3034489761716734,0.9890552335455185,1.1813956203690141,3.557312025015143,0.08333333333333333,-0.10203136849158745,7.339923746829106e-16,18.833333333333332,20,17.833333333333332,19
base_residual_x1,base_anchor_residual_multiple,1.0,False,pooled_cnn,43,ood,18,1.0,4.944444444444445,7,0.3542884009215017,0.2547066991843272,1.0498482691044524,1.2846175036619365,2.9835461264168206,0.0,0.10455669865344668,1.0019827114024484e-15,18.944444444444443,21,17.944444444444443,20
base_residual_x1.25,base_anchor_residual_multiple,1.25,False,jacru_m2,17,development,12,1.0,4.416666666666667,5,0.42471437097875037,0.32899693144203174,1.0404217175434491,1.2075710874574266,4.204692646791978,0.08333333333333333,-0.07488283948821643,8.118499561701568e-16,18.416666666666668,19,17.416666666666668,18
base_residual_x1.25,base_anchor_residual_multiple,1.25,False,jacru_m2,17,ood,18,1.0,4.444444444444445,6,0.361934614634608,0.2840087741055147,1.0969363844106852,1.491774176753396,3.552920785370211,0.0,0.12337002146017806,8.110346618392341e-16,18.444444444444443,20,17.444444444444443,19
base_residual_x1.25,base_anchor_residual_multiple,1.25,False,jacru_m2,29,development,12,1.0,4.416666666666667,5,0.3980404195122278,0.3090236622628668,1.032606477612517,1.1940242563372463,3.936696128980626,0.08333333333333333,-0.09408954629180201,8.022052001487279e-16,18.416666666666668,19,17.416666666666668,18
base_residual_x1.25,base_anchor_residual_multiple,1.25,False,jacru_m2,29,ood,18,1.0,4.277777777777778,5,0.33031481084115033,0.25952433068244085,1.0848720871489965,1.3835734653372105,3.5369457230676264,0.0,0.08666988486690128,7.630826559461335e-16,18.27777777777778,19,17.27777777777778,18
base_residual_x1.25,base_anchor_residual_multiple,1.25,False,jacru_m2,43,development,12,1.0,4.416666666666667,5,0.4126516895961038,0.31944010557659197,1.0511163285376524,1.1903744912030862,4.138278238697359,0.08333333333333333,-0.06402747402345621,9.615818792696885e-16,18.416666666666668,19,17.416666666666668,18
base_residual_x1.25,base_anchor_residual_multiple,1.25,False,jacru_m2,43,ood,18,1.0,4.444444444444445,6,0.32685505828771244,0.24668180543530427,1.0889277669367556,1.4737796797390703,3.591573460471198,0.0,0.1081095429054425,1.304515529644981e-15,18.444444444444443,20,17.444444444444443,19
base_residual_x1.25,base_anchor_residual_multiple,1.25,False,pooled_cnn,17,development,12,1.0,4.583333333333333,5,0.40055964562987484,0.3216855754111141,1.0342766429241874,1.2492897220541517,4.245715786721181,0.08333333333333333,-0.12395147083341668,8.218187021248494e-16,18.583333333333332,19,17.583333333333332,18
