rig_id,block_id,method,true_aperture_radius,metadata_aperture_radius,candidate_aperture_radius,kappa,mean_validation_mse,median_effective_lambda,selected,selected_by_any_fold_score_deletion,validation_views,fold_0_validation_mse,fold_1_validation_mse,fold_2_validation_mse,fold_3_validation_mse
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.0,3e-06,5750.927375911681,0.004322623558824852,False,False,1|2|3,12111.78676534701,3051.7097622625706,2089.2856001254677,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.0,1e-05,1796.0867529594886,0.01440874519608284,False,False,1|2|3,3708.5394324902522,1075.6395856713195,604.0812407168943,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.0,3e-05,703.2912040007735,0.04322623558824852,False,False,1|2|3,1410.8262588871453,458.1820953977324,240.86525771744255,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.0,0.0001,300.1857122306947,0.1440874519608284,False,False,1|2|3,577.7886333539863,192.40611815154733,130.36238518655057,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.0,0.0003,146.61715647331076,0.4322623558824851,False,False,1|2|3,254.71066777546355,92.84353238214527,92.29726926232348,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.0,0.001,80.81945510091992,1.440874519608284,False,False,1|2|3,115.56889699136202,54.14008334529992,72.74938496609784,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.04,3e-06,5145.052151745521,0.004173928394729628,False,False,1|2|3,9759.812729474412,3121.418902044748,2553.9248237174043,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.04,1e-05,1606.5995778394863,0.013913094649098762,False,False,1|2|3,3099.842059977775,1072.7116052558338,647.2450682848502,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.04,3e-05,652.0029042307991,0.041739283947296285,False,False,1|2|3,1263.6532340216656,459.5798966166276,232.77558205410415,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.04,0.0001,289.8367135394348,0.13913094649098762,False,False,1|2|3,545.1624290749145,197.33311643962045,127.01459510376952,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.04,0.0003,145.304892632791,0.4173928394729628,False,False,1|2|3,250.15651263121546,93.72028169221251,92.037883574945,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.04,0.001,80.01316991660933,1.391309464909876,False,False,1|2|3,115.68346140297871,52.012177591107715,72.34387075574156,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.08,3e-06,4873.838759795927,0.0038585147411207945,False,False,1|2|3,9107.490888149983,2846.230705556791,2667.7946856810076,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.08,1e-05,1528.1750732631297,0.012861715803735982,False,False,1|2|3,2884.191416991745,1033.95810276171,666.3757000359338,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.08,3e-05,608.0301137251711,0.03858514741120794,False,False,1|2|3,1133.5793712469522,470.40611857408925,220.10485135447172,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.08,0.0001,274.333214287873,0.1286171580373598,False,False,1|2|3,502.92377867974284,200.9396606780121,119.13620350586402,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.08,0.0003,140.9545372392133,0.38585147411207943,False,False,1|2|3,240.6632430538209,93.79800402920267,88.40236463461633,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.08,0.001,79.33462864752205,1.286171580373598,True,True,1|2|3,115.82235600392539,51.78505270492414,70.39647723371664,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.12,3e-06,5689.534519710901,0.003431547666016021,False,False,1|2|3,10143.218786976178,3027.5914514707074,3897.793320685817,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.12,1e-05,1818.2375235589113,0.011438492220053404,False,False,1|2|3,3228.8187938197516,1157.992358042226,1067.9014188147569,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.12,3e-05,696.8646698004695,0.03431547666016021,False,False,1|2|3,1307.7386527008323,506.8644818329884,275.99087486758805,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.12,0.0001,295.10913157879696,0.11438492220053403,False,False,1|2|3,567.8066451762165,200.56595983382852,116.95478972634575,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.12,0.0003,147.9760609173912,0.34315476660160205,False,False,1|2|3,264.35767717956253,94.4734517187501,85.09705385386096,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.12,0.001,84.59099542195123,1.1438492220053402,False,False,1|2|3,130.1459796693846,54.59604801744657,69.03095857902252,
development_rig_a,development_rig_a:radius=0.05500,camera_delete_0,0.055,0.073,0.16,3e-06,7897.725950239532,0.0029300615651884944,False,False,1|2|3,13156.835837328352,4534.710790679668,6001.631222710574,
