rig_id,block_id,sample_index_in_block,family,true_aperture_radius,metadata_nearest_radius,selected_radius,selected_kappa,fallback_kappa,camera_deletion_radius_stability_fraction,camera_deletion_kappa_stability_fraction,fold_score_deletion_radius_stability_fraction,fold_score_deletion_kappa_stability_fraction,relative_score_margin,relative_radius_margin,candidate_cv_advantage_percent_asymmetric_diagnostic,minimum_outer_improvement_percent,mean_outer_improvement_percent,block_gate_minus_sample,block_gate_minus_sample_reasons,sample_outer_gate,sample_outer_gate_reasons,accepted,outcome_code,decision_uses_truth,decision_uses_audit,outer_0_camera_index,outer_0_candidate_rms,outer_0_fallback_rms,outer_0_improvement_percent,outer_0_loo_block_median_improvement_percent,outer_0_loo_block_positive_fraction,outer_0_loo_block_worst_improvement_percent,outer_1_camera_index,outer_1_candidate_rms,outer_1_fallback_rms,outer_1_improvement_percent,outer_1_loo_block_median_improvement_percent,outer_1_loo_block_positive_fraction,outer_1_loo_block_worst_improvement_percent,direction_0_gate_camera_index,direction_0_evaluation_camera_index,direction_0_block_gate,direction_0_block_gate_reasons,direction_0_sample_gate,direction_0_sample_gate_reasons,direction_0_accepted,direction_0_heldout_improvement_percent,direction_1_gate_camera_index,direction_1_evaluation_camera_index,direction_1_block_gate,direction_1_block_gate_reasons,direction_1_sample_gate,direction_1_sample_gate_reasons,direction_1_accepted,direction_1_heldout_improvement_percent,fallback_relative_l2,candidate_relative_l2,selected_relative_l2,raw_field_gain_percent,selected_field_gain_percent,fallback_audit_rms,candidate_audit_rms,selected_audit_rms,raw_audit_change_percent,selected_audit_change_percent
development_rig_a,development_rig_a:radius=0.09500,2,jet_shear,0.095,0.12,0.12,0.001,0.001,0.5,1.0,0.75,1.0,0.017642632512456412,0.017642632512456412,0.0,0.0,0.0,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|outer_view_1_median_below_threshold|outer_view_1_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,NO_ACTION_FALLBACK,False,False,4,8.11328776868472,8.11328776868472,0.0,0.0,0.0,0.0,5,4.66417001049142,4.66417001049142,0.0,0.0,0.0,0.0,4,5,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,5,4,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,0.494473036000912,0.494473036000912,0.494473036000912,0.0,0.0,1.522823885540283,1.522823885540283,1.522823885540283,0.0,0.0
development_rig_a,development_rig_a:radius=0.09500,3,jet_shear,0.095,0.12,0.12,0.001,0.001,0.5,1.0,0.75,1.0,0.017642632512456412,0.017642632512456412,0.0,0.0,0.0,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|outer_view_1_median_below_threshold|outer_view_1_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,NO_ACTION_FALLBACK,False,False,4,3.9330698007386102,3.9330698007386102,0.0,0.0,0.0,0.0,5,3.407479472000506,3.407479472000506,0.0,0.0,0.0,0.0,4,5,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,5,4,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,0.43879090047781155,0.43879090047781155,0.43879090047781155,0.0,0.0,1.8568351526998013,1.8568351526998013,1.8568351526998013,0.0,0.0
development_rig_a,development_rig_a:radius=0.09500,4,shock_cell,0.095,0.12,0.12,0.001,0.001,0.5,1.0,0.75,1.0,0.017642632512456412,0.017642632512456412,0.0,0.0,0.0,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|outer_view_1_median_below_threshold|outer_view_1_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,NO_ACTION_FALLBACK,False,False,4,9.527917094368206,9.527917094368206,0.0,0.0,0.0,0.0,5,5.610423339159415,5.610423339159415,0.0,0.0,0.0,0.0,4,5,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,5,4,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,0.7738498154269524,0.7738498154269524,0.7738498154269524,0.0,0.0,2.1122890560348564,2.1122890560348564,2.1122890560348564,0.0,0.0
development_rig_a,development_rig_a:radius=0.09500,5,shock_cell,0.095,0.12,0.12,0.001,0.001,0.5,1.0,0.75,1.0,0.017642632512456412,0.017642632512456412,0.0,0.0,0.0,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|outer_view_1_median_below_threshold|outer_view_1_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,NO_ACTION_FALLBACK,False,False,4,6.318667135978435,6.318667135978435,0.0,0.0,0.0,0.0,5,6.021859074606023,6.021859074606023,0.0,0.0,0.0,0.0,4,5,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,5,4,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,0.40918464416780315,0.40918464416780315,0.40918464416780315,0.0,0.0,1.5534103283706013,1.5534103283706013,1.5534103283706013,0.0,0.0
development_rig_a,development_rig_a:radius=0.09500,6,shock_cell,0.095,0.12,0.12,0.001,0.001,0.5,1.0,0.75,1.0,0.017642632512456412,0.017642632512456412,0.0,0.0,0.0,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|outer_view_1_median_below_threshold|outer_view_1_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,NO_ACTION_FALLBACK,False,False,4,5.452400438159964,5.452400438159964,0.0,0.0,0.0,0.0,5,4.233902485914135,4.233902485914135,0.0,0.0,0.0,0.0,4,5,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,5,4,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,0.5114950151816963,0.5114950151816963,0.5114950151816963,0.0,0.0,1.7137426851187036,1.7137426851187036,1.7137426851187036,0.0,0.0
development_rig_a,development_rig_a:radius=0.09500,7,shock_cell,0.095,0.12,0.12,0.001,0.001,0.5,1.0,0.75,1.0,0.017642632512456412,0.017642632512456412,0.0,0.0,0.0,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|outer_view_1_median_below_threshold|outer_view_1_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,NO_ACTION_FALLBACK,False,False,4,8.1232872578714,8.1232872578714,0.0,0.0,0.0,0.0,5,5.3314800862104725,5.3314800862104725,0.0,0.0,0.0,0.0,4,5,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,5,4,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|no_optical_change,False,outer_camera_not_improved,False,0.0,0.45925077415705823,0.45925077415705823,0.45925077415705823,0.0,0.0,3.021157695901414,3.021157695901414,3.021157695901414,0.0,0.0
development_rig_a,development_rig_a:radius=0.13500,0,jet_shear,0.135,0.16,0.16,0.001,0.001,0.5,1.0,1.0,1.0,0.06914880345171436,0.06914880345171436,0.0,0.0,0.0,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|outer_view_1_median_below_threshold|outer_view_1_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,NO_ACTION_FALLBACK,False,False,4,9.819637258871255,9.819637258871255,0.0,0.0,0.0,0.0,5,3.8104478546813167,3.8104478546813167,0.0,0.0,0.0,0.0,4,5,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,0.0,5,4,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,0.0,0.40036313732238404,0.40036313732238404,0.40036313732238404,0.0,0.0,1.810695148642753,1.810695148642753,1.810695148642753,0.0,0.0
development_rig_a,development_rig_a:radius=0.13500,1,jet_shear,0.135,0.16,0.16,0.001,0.001,0.5,1.0,1.0,1.0,0.06914880345171436,0.06914880345171436,0.0,0.0,0.0,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|outer_view_1_median_below_threshold|outer_view_1_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,NO_ACTION_FALLBACK,False,False,4,8.108230285272057,8.108230285272057,0.0,0.0,0.0,0.0,5,4.842886294438888,4.842886294438888,0.0,0.0,0.0,0.0,4,5,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,0.0,5,4,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,0.0,0.6082238539149177,0.6082238539149177,0.6082238539149177,0.0,0.0,1.6241374637927135,1.6241374637927135,1.6241374637927135,0.0,0.0
development_rig_a,development_rig_a:radius=0.13500,2,jet_shear,0.135,0.16,0.16,0.001,0.001,0.5,1.0,1.0,1.0,0.06914880345171436,0.06914880345171436,0.0,0.0,0.0,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|outer_view_1_median_below_threshold|outer_view_1_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,NO_ACTION_FALLBACK,False,False,4,7.94978129905222,7.94978129905222,0.0,0.0,0.0,0.0,5,4.94152839580879,4.94152839580879,0.0,0.0,0.0,0.0,4,5,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,0.0,5,4,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,0.0,0.5454654029242035,0.5454654029242035,0.5454654029242035,0.0,0.0,1.7597323481810159,1.7597323481810159,1.7597323481810159,0.0,0.0
development_rig_a,development_rig_a:radius=0.13500,3,jet_shear,0.135,0.16,0.16,0.001,0.001,0.5,1.0,1.0,1.0,0.06914880345171436,0.06914880345171436,0.0,0.0,0.0,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|outer_view_1_median_below_threshold|outer_view_1_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,NO_ACTION_FALLBACK,False,False,4,3.5988626025274484,3.5988626025274484,0.0,0.0,0.0,0.0,5,2.8819131381315115,2.8819131381315115,0.0,0.0,0.0,0.0,4,5,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,0.0,5,4,False,radius_unstable|outer_view_0_median_below_threshold|outer_view_0_sign_inconsistent|radius_boundary|no_optical_change,False,outer_camera_not_improved,False,0.0,0.43950275873010713,0.43950275873010713,0.43950275873010713,0.0,0.0,1.8984973690534623,1.8984973690534623,1.8984973690534623,0.0,0.0
