epoch,train_mse,validation_relative_l2
1,0.01373348687775433,0.746666431427002
2,0.011445460724644363,0.6671314239501953
3,0.009506268543191254,0.6503058671951294
4,0.009390687686391175,0.639105498790741
5,0.009115495369769633,0.6392222046852112
6,0.009072775370441377,0.6348735094070435
7,0.008940286934375763,0.6315272450447083
8,0.008837235276587307,0.6274619698524475
9,0.008681229432113469,0.6219318509101868
10,0.008503426564857364,0.6133090853691101
11,0.0082414869684726,0.6027364134788513
12,0.0077605697442777455,0.5830976366996765
13,0.007145809940993786,0.5504863858222961
14,0.006141163292340934,0.5014119148254395
15,0.004751260916236788,0.4245585501194
16,0.003514393523801118,0.37696561217308044
17,0.0031264494464267045,0.3814975321292877
18,0.0031103731016628444,0.3750843107700348
19,0.00315457399119623,0.38497450947761536
20,0.00300007764599286,0.3727249205112457
21,0.002975926181534305,0.3679332435131073
22,0.002890182804549113,0.36596646904945374
23,0.002918213256634772,0.3650765120983124
24,0.002845292037818581,0.36055120825767517
25,0.0028027992375427857,0.35990509390830994
26,0.0029291165701579303,0.3564072549343109
27,0.002741381205851212,0.35219481587409973
28,0.002731544431298971,0.35025009512901306
29,0.0027431958878878504,0.3463064134120941
30,0.0026237825077259913,0.3443572521209717
31,0.0025280151166953146,0.34993138909339905
32,0.0024898872361518443,0.333313912153244
33,0.002374139105086215,0.32914814352989197
34,0.0022893594432389364,0.3239980936050415
35,0.002233883220469579,0.32389143109321594
36,0.0021955561969662085,0.31503358483314514
37,0.002041194020421244,0.2998042106628418
38,0.0020209596550557762,0.2911294996738434
39,0.0018476385448593646,0.2818821370601654
40,0.001747599322698079,0.29238641262054443
41,0.001703872490907088,0.2884931266307831
42,0.001854523565270938,0.3003809452056885
43,0.001668999160756357,0.2626759707927704
44,0.0017096106748795137,0.27770158648490906
45,0.0017291545518673956,0.26657140254974365
46,0.0016435478901257738,0.26394417881965637
47,0.0015842372085899115,0.2627154290676117
48,0.0015844087611185387,0.2651977837085724
49,0.0015804026334080845,0.2712622582912445
50,0.0016016444569686428,0.2604040503501892
51,0.0016103006928460672,0.28647133708000183
52,0.001715695863822475,0.2636606991291046
53,0.0016042925926740281,0.2642969787120819
54,0.001597107228008099,0.2610912024974823
55,0.0015749795638839714,0.2611067593097687
56,0.0015948000218486413,0.26086530089378357
57,0.0016050665435614064,0.26893678307533264
58,0.0016788204011390917,0.2663302421569824
59,0.0015965643542585894,0.27108630537986755
60,0.0016296855901600793,0.2879841923713684
61,0.0017678864096524194,0.2626709043979645
62,0.0016050332924351096,0.26479673385620117
63,0.0015790967736393213,0.26220735907554626
64,0.0016361045854864642,0.26146450638771057
65,0.0015941737365210429,0.25932958722114563
66,0.0016049064870458096,0.2615981101989746
67,0.0015946153580443934,0.26162707805633545
68,0.0015884463864495046,0.2708947956562042
69,0.0016282973519992083,0.2602253258228302
70,0.0015686279075453058,0.260372519493103
71,0.0015774446219438687,0.2595134675502777
72,0.0015902066807029769,0.25955215096473694
73,0.001568016639794223,0.25982463359832764
74,0.0016099794011097401,0.2597638666629791
75,0.0015973410627339035,0.27224209904670715
76,0.0016075480452855118,0.2604982554912567
77,0.001557506257086061,0.26169824600219727
78,0.0015673575180699117,0.26029714941978455
79,0.001566484192153439,0.2613767087459564
80,0.0015532993056694977,0.25902438163757324
