method,rank_measurement,rank_voxel,relative_ridge,development_mean_relative_discrepancy_error,development_worst_relative_discrepancy_error
gc_biloc_ridge,4,4,1e-06,0.9658697106869357,0.979891222598912
gc_biloc_ridge,4,4,0.0001,0.9651948527255114,0.979781479762347
gc_biloc_ridge,4,4,0.01,0.9630082922717748,0.9744524335977734
gc_biloc_ridge,4,4,0.1,0.9615483161915148,0.9698207375261357
gc_biloc_ridge,4,4,1.0,0.9610552192213903,0.9697242514479111
gc_biloc_ridge,4,8,1e-06,0.9677143019014628,0.9841942591067557
gc_biloc_ridge,4,8,0.0001,0.9665429804173074,0.9839931744426028
gc_biloc_ridge,4,8,0.01,0.9615634361596554,0.9747913662848255
gc_biloc_ridge,4,8,0.1,0.9593749112970534,0.9675689473903223
gc_biloc_ridge,4,8,1.0,0.958823441714407,0.9685165762210861
gc_biloc_ridge,4,12,1e-06,0.9691452839885564,0.9836700537886217
gc_biloc_ridge,4,12,0.0001,0.9672720524257422,0.9834415050489722
gc_biloc_ridge,4,12,0.01,0.9609084684298642,0.9733064317245516
gc_biloc_ridge,4,12,0.1,0.9581232065975561,0.965671548104536
gc_biloc_ridge,4,12,1.0,0.9573570795018695,0.9676608331594323
gc_biloc_ridge,4,16,1e-06,0.9718414925839184,0.9881314701909658
gc_biloc_ridge,4,16,0.0001,0.9692482306921696,0.9878430838818983
gc_biloc_ridge,4,16,0.01,0.9613508066530573,0.9753899311931846
gc_biloc_ridge,4,16,0.1,0.9580586902713383,0.9660774352975341
gc_biloc_ridge,4,16,1.0,0.9570959209784523,0.9667018804712755
gc_biloc_ridge,4,24,1e-06,0.9741168115207505,0.996528027297649
gc_biloc_ridge,4,24,0.0001,0.9706858829482768,0.988308359651297
gc_biloc_ridge,4,24,0.01,0.9611319942967692,0.9747353367614873
gc_biloc_ridge,4,24,0.1,0.9574194800105597,0.9649482097929674
gc_biloc_ridge,4,24,1.0,0.9563261746606245,0.9658967769289203
gc_biloc_ridge,8,4,1e-06,0.9669418703499465,0.984270007824973
gc_biloc_ridge,8,4,0.0001,0.9655394528291885,0.9840386594345607
gc_biloc_ridge,8,4,0.01,0.9616742609052854,0.9748868657397717
gc_biloc_ridge,8,4,0.1,0.9593795328626498,0.968336767530035
