rig_id,method,relative_discrepancy_error,relative_operator_error,mean_probe_forward_relative_error,mean_probe_gradient_cosine
dco-rig-030,zero_nominal,1.0,0.1758134937715826,0.0673197595261476,0.996315517650786
dco-rig-031,zero_nominal,1.0,0.16386930394097332,0.07099043748289321,0.9950767014869756
dco-rig-032,zero_nominal,1.0,0.16622935791869145,0.0637630672257925,0.9964413437594347
dco-rig-033,zero_nominal,1.0,0.16806920365633402,0.092587306435214,0.9942992317472807
dco-rig-034,zero_nominal,1.0,0.16207425978747564,0.056879991391921694,0.9948046916717441
dco-rig-035,zero_nominal,1.0,0.18775143632494862,0.08883739044093633,0.9954196669758814
dco-rig-036,zero_nominal,1.0,0.1703024136922192,0.07882555894536203,0.9954119467239764
dco-rig-037,zero_nominal,1.0,0.17514512598595772,0.06733008604031829,0.9956593623794474
dco-rig-038,zero_nominal,1.0,0.1611881835374892,0.07213516776762936,0.9953682862560377
dco-rig-039,zero_nominal,1.0,0.17880081144459345,0.0869408230822901,0.9948177656474786
dco-rig-040,zero_nominal,1.0,0.16269767066621801,0.06444757221164887,0.9955132538372867
dco-rig-041,zero_nominal,1.0,0.17938442447285458,0.0956739055748965,0.9944497337647777
dco-rig-030,mean_discrepancy,0.6376073592234299,0.11209997747954371,0.024319505395096357,0.9983855463881635
dco-rig-031,mean_discrepancy,0.6801946182913639,0.11146301864380184,0.030433145901552907,0.9984919736133127
dco-rig-032,mean_discrepancy,0.6682798567469774,0.11108773149704516,0.028216840836557504,0.9990722887773926
dco-rig-033,mean_discrepancy,0.5975631193133509,0.10043195759738979,0.034902842282226,0.9981788002321841
dco-rig-034,mean_discrepancy,0.6832933216033714,0.11074425931659196,0.04038283795268841,0.9975483199833756
dco-rig-035,mean_discrepancy,0.6666970855175598,0.12517333539957895,0.044730580708620155,0.9986080797834812
dco-rig-036,mean_discrepancy,0.5813256284217359,0.09900115766136776,0.0337907796343697,0.9989573018068251
dco-rig-037,mean_discrepancy,0.6340141922989398,0.11104449558708306,0.037253669842481796,0.9990368027491434
dco-rig-038,mean_discrepancy,0.5410947169612981,0.08721807454872349,0.030916694701954336,0.9988795994689019
dco-rig-039,mean_discrepancy,0.5539821814096332,0.09905246356188839,0.031046277857730453,0.9988841631669572
dco-rig-040,mean_discrepancy,0.6599223007677979,0.10736782115561205,0.029711763705270948,0.9985661252714847
dco-rig-041,mean_discrepancy,0.5020509593310595,0.09006012239564663,0.040093600043793975,0.9989778168989238
dco-rig-030,nearest_geometry,0.6688945889513433,0.11760069464844229,0.016529895739557487,0.9985630495743933
dco-rig-031,nearest_geometry,0.7187416378269023,0.11777969190408961,0.03980668629158041,0.9983745302396376
dco-rig-032,nearest_geometry,0.6882711794088479,0.11441087622707327,0.02442198172702731,0.9986985755316868
dco-rig-033,nearest_geometry,0.693789517938348,0.11660465178501,0.03589897022720138,0.9981877686971418
dco-rig-034,nearest_geometry,0.8596462493569499,0.13932652954360739,0.049616013102798506,0.9977130437745918
dco-rig-035,nearest_geometry,0.7133743196443347,0.13393705315055685,0.033311633371990806,0.9980953202107185
dco-rig-036,nearest_geometry,0.5402390992149111,0.09200402256720966,0.0252340635610564,0.9988255509068255
