phase,seed,step,batch_data_loss,regularizer,total_loss,selection_relative_aperture_error,learning_rate
internal_selection,261801,1.0,0.9968183040618896,3.2940349115051504e-07,0.9968186616897583,0.9473840242700825,0.0014999997709943473
internal_selection,261801,250.0,0.3871236741542816,3.710640896770201e-07,0.38712403178215027,0.7561600456667541,0.0014857330706994007
internal_selection,261801,500.0,0.3346315026283264,4.180780592832889e-07,0.33463191986083984,0.7813512102978144,0.0014434805528896317
internal_selection,261801,750.0,0.3227981925010681,4.6139473397488473e-07,0.32279863953590393,0.7985509321886525,0.0013748661871346394
internal_selection,261801,1000.0,0.306092768907547,5.073222268947575e-07,0.3060932755470276,0.796069528340568,0.0012825267850310124
internal_selection,261801,1250.0,0.3009549379348755,5.465419690153794e-07,0.30095547437667847,0.815785025393465,0.001170010898017055
internal_selection,261801,1500.0,0.27041277289390564,5.832114879922301e-07,0.2704133689403534,0.8287064470641232,0.0010416424485310794
internal_selection,261801,1750.0,0.2776949107646942,6.154269840408233e-07,0.27769553661346436,0.8493818058986087,0.0009023545640969738
internal_selection,261801,2000.0,0.2580515146255493,6.427495122807159e-07,0.25805217027664185,0.8604105927626701,0.0007574999999999988
internal_selection,261801,2250.0,0.25797727704048157,6.648414228038746e-07,0.2579779326915741,0.8648490188172633,0.0006126454359030242
internal_selection,261801,2500.0,0.23651906847953796,6.81990002249222e-07,0.23651975393295288,0.8659008759028949,0.0004733575514689207
internal_selection,261801,2750.0,0.25400277972221375,6.95356732194341e-07,0.25400346517562866,0.8712030857606318,0.0003449891019829452
internal_selection,261801,3000.0,0.23364369571208954,7.048078600746521e-07,0.23364439606666565,0.8733321729768937,0.00023247321496898778
internal_selection,261801,3250.0,0.25611141324043274,7.115488074305176e-07,0.25611212849617004,0.8746164288873259,0.00014013381286535965
internal_selection,261801,3500.0,0.23731637001037598,7.152061698434409e-07,0.23731708526611328,0.8747720987801597,7.151944711036967e-05
internal_selection,261801,3750.0,0.23661401867866516,7.169992954914051e-07,0.23661473393440247,0.8756227518469668,2.926692930060159e-05
internal_selection,261801,4000.0,0.24620816111564636,7.177889642662194e-07,0.24620887637138367,0.8738867419189935,1.5e-05
internal_selection,261802,1.0,0.9669507145881653,3.174040443809645e-07,0.9669510126113892,0.9475455155886782,0.0014999997709943473
internal_selection,261802,250.0,0.38453972339630127,3.690662424560287e-07,0.3845400810241699,0.7726034828269857,0.0014857330706994007
internal_selection,261802,500.0,0.3265438973903656,4.166532505678333e-07,0.32654431462287903,0.77146710662784,0.0014434805528896317
internal_selection,261802,750.0,0.312222421169281,4.596629139541619e-07,0.3122228682041168,0.7797938512498024,0.0013748661871346394
internal_selection,261802,1000.0,0.32578715682029724,5.00735211517167e-07,0.32578766345977783,0.8108419214653821,0.0012825267850310124
internal_selection,261802,1250.0,0.2973771095275879,5.384670203056885e-07,0.29737764596939087,0.8190868240419776,0.001170010898017055
internal_selection,261802,1500.0,0.28406381607055664,5.72839439882955e-07,0.284064382314682,0.8256657692482401,0.0010416424485310794
internal_selection,261802,1750.0,0.25256407260894775,6.020670753059676e-07,0.2525646686553955,0.8458645274760795,0.0009023545640969738
internal_selection,261802,2000.0,0.2819967567920685,6.265769911806274e-07,0.2819973826408386,0.8552097507824186,0.0007574999999999988
internal_selection,261802,2250.0,0.2548656463623047,6.473730422840163e-07,0.2548663020133972,0.865270636737978,0.0006126454359030242
internal_selection,261802,2500.0,0.25092002749443054,6.633738394157263e-07,0.25092068314552307,0.873119562619809,0.0004733575514689207
internal_selection,261802,2750.0,0.2592335045337677,6.756138759556052e-07,0.2592341899871826,0.8775227952165323,0.0003449891019829452
internal_selection,261802,3000.0,0.24088886380195618,6.847636200291163e-07,0.2408895492553711,0.8831893831710568,0.00023247321496898778
internal_selection,261802,3250.0,0.24161846935749054,6.907865781613509e-07,0.24161915481090546,0.885757656586868,0.00014013381286535965
internal_selection,261802,3500.0,0.24451225996017456,6.941767765056284e-07,0.24451296031475067,0.8882302215782645,7.151944711036967e-05
internal_selection,261802,3750.0,0.23362332582473755,6.958979383853148e-07,0.23362402617931366,0.8881330223095706,2.926692930060159e-05
internal_selection,261802,4000.0,0.2233179658651352,6.966636760807887e-07,0.2233186662197113,0.8892835128176051,1.5e-05
internal_selection,261803,1.0,0.9660868048667908,2.8974753263355524e-07,0.9660871028900146,0.9518648368258203,0.0014999997709943473
internal_selection,261803,250.0,0.39061301946640015,3.2734956789681746e-07,0.3906133472919464,0.7498969833754012,0.0014857330706994007
internal_selection,261803,500.0,0.31850549578666687,3.7143871622902225e-07,0.3185058534145355,0.7612474815441618,0.0014434805528896317
internal_selection,261803,750.0,0.31636837124824524,4.191412017462426e-07,0.31636878848075867,0.7878489758409939,0.0013748661871346394
internal_selection,261803,1000.0,0.3111534118652344,4.69016242732323e-07,0.3111538887023926,0.8062797519309898,0.0012825267850310124
internal_selection,261803,1250.0,0.27560314536094666,5.105579816699901e-07,0.27560365200042725,0.8188748508002358,0.001170010898017055
