rig_id,method,relative_aperture_residual_error,relative_operator_error,mean_probe_forward_relative_error,mean_probe_gradient_cosine,worst_probe_gradient_cosine
dco-rig-030,thin_ray_high_fidelity,1.0,0.08395919586492753,0.04404748122269966,0.9992982130138284,0.9987007354305075
dco-rig-031,thin_ray_high_fidelity,1.0,0.09491177674197554,0.052089709803051894,0.9990560343706929,0.9988749707666826
dco-rig-032,thin_ray_high_fidelity,1.0,0.09497694056325154,0.03914528361163336,0.9985620353495914,0.9968206412425362
dco-rig-033,thin_ray_high_fidelity,1.0,0.1267039373327072,0.0680490496459599,0.9990684171727797,0.9984157307247771
dco-rig-034,thin_ray_high_fidelity,1.0,0.053523273946032165,0.020445209804502307,0.9997237221499703,0.9996066123814387
dco-rig-035,thin_ray_high_fidelity,1.0,0.08880999131404424,0.0396373260565346,0.9993505031635446,0.9986696683585312
dco-rig-036,thin_ray_high_fidelity,1.0,0.1382546080486491,0.08474327177437894,0.9984487165276875,0.9952894506826443
dco-rig-037,thin_ray_high_fidelity,1.0,0.07372654973779959,0.030560555686067956,0.999517306869981,0.9989079008135282
dco-rig-038,thin_ray_high_fidelity,1.0,0.09239228824943936,0.05593879755243415,0.99909176376829,0.9987734275230402
dco-rig-039,thin_ray_high_fidelity,1.0,0.1349907353079817,0.07721195438892324,0.9987468625633843,0.9974795207716681
dco-rig-040,thin_ray_high_fidelity,1.0,0.07705053952114936,0.04268512235534444,0.9991562502193696,0.9989440119767006
dco-rig-041,thin_ray_high_fidelity,1.0,0.15824072111647047,0.09044850616400994,0.9980338771466002,0.9958526984334748
dco-rig-030,full_matrix_geometry_ridge,0.700838376660946,0.058841826535734214,0.013287759890471599,0.9996241067311524,0.9994670280672721
dco-rig-031,full_matrix_geometry_ridge,0.8281299570997013,0.07859928560158862,0.018174819340386103,0.9993666868673518,0.9983517393413662
dco-rig-032,full_matrix_geometry_ridge,0.8341991495790267,0.0792296830474822,0.02045207262055234,0.9991123267438835,0.998155641695941
dco-rig-033,full_matrix_geometry_ridge,0.58727652290179,0.07441024775471859,0.017888691353588355,0.9995692112391039,0.9986573941805771
dco-rig-034,full_matrix_geometry_ridge,1.418147888415064,0.07590391792762653,0.033400064752919095,0.9994050455456583,0.9988735962305902
dco-rig-035,full_matrix_geometry_ridge,1.0199927346571103,0.0905855459052862,0.02175991497800858,0.9990451889835986,0.9973777071286573
dco-rig-036,full_matrix_geometry_ridge,0.49177958670964367,0.06799079400686844,0.025203045899029667,0.9995764006216129,0.998916882934822
dco-rig-037,full_matrix_geometry_ridge,0.8706031257682334,0.06418656465383545,0.02671572901143641,0.9995226480596203,0.9993934590162533
dco-rig-038,full_matrix_geometry_ridge,0.6789193349294079,0.06272691089091552,0.018384200136645826,0.9996136860996013,0.9993295458341762
dco-rig-039,full_matrix_geometry_ridge,0.6024739301211899,0.081328398830949,0.03048919677235773,0.9995156733858597,0.9990521649141746
dco-rig-040,full_matrix_geometry_ridge,1.1379196323552154,0.08767732160467727,0.03381581911030268,0.9994259572809087,0.9988229808676482
dco-rig-041,full_matrix_geometry_ridge,0.6016246542686454,0.0952015191329177,0.040305025498035524,0.9992842857997517,0.9985355619437616
dco-rig-030,stable_linear_ray_kernel,0.7911722073109606,0.066426182316508,0.023243398945827484,0.9996589801277211,0.9995081089584477
dco-rig-031,stable_linear_ray_kernel,0.7913776002172345,0.07511105411041853,0.03006320448570725,0.9993823348620248,0.9991106151488135
dco-rig-032,stable_linear_ray_kernel,0.785704133687619,0.07462377480555003,0.022598847055094975,0.9991616537597364,0.9988947716419703
dco-rig-033,stable_linear_ray_kernel,0.626533853605492,0.07938430612404981,0.03059339339853312,0.9994564744272293,0.9990545452652586
dco-rig-034,stable_linear_ray_kernel,1.1019082207193274,0.05897773556094543,0.024033001737538355,0.9996693201250224,0.9993634476203032
dco-rig-035,stable_linear_ray_kernel,0.8694552587070231,0.07721631397372081,0.02600069973609624,0.9994185698660077,0.9989706398525592
dco-rig-036,stable_linear_ray_kernel,0.5974462132427109,0.08259969204202063,0.03894119541531693,0.9991545184223997,0.9988629387556104
dco-rig-037,stable_linear_ray_kernel,0.924735684250264,0.06817757141919523,0.028196261019732025,0.9996150435692885,0.9994711322828904
dco-rig-038,stable_linear_ray_kernel,0.7060051176909407,0.06522942833928075,0.02687104326790995,0.9994799621500352,0.9993520516278198
