case_id,split,family,base_seed,geometry_cluster_id,observation_rms,solve_forward_calls,solve_adjoint_calls,evaluator_forward_calls,projection_closure_relative_l2,oracle,status,primal_objective,dual_objective,signed_primal_dual_gap,relative_primal_dual_gap,primal_residual,dual_residual,iterations,solve_seconds,weight_sum_error,minimum_weight,maximum_ray_violation,maximum_ray_violation_over_observation_rms,violating_ray_count,active_ray_count,minimum_soc_ray_scale,maximum_soc_ray_scale,active_weight_count,nontrivial_mixture,truth_conditioned,deployable
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,0.3765116756884828,12,12,1,1.492069753610392e-14,unconstrained,Solved,0.26344693732188607,0.26344693731920865,2.6774138461860275e-12,2.6774138461860275e-12,1.0079223995950413e-16,2.501594615762503e-15,10,6.3874e-05,2.220446049250313e-16,2.4656037480479984e-10,,,,,,,2,True,True,False
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,0.3765116756884828,12,12,1,1.492069753610392e-14,tail_safe,Solved,0.2645936476341382,0.2645936476130104,2.1127766203221654e-11,2.1127766203221654e-11,3.1398495221867735e-13,1.7105616560090645e-12,15,0.000937584,1.4876988529977098e-14,1.4734913754564312e-12,3.68368530123675e-15,9.783721300277942e-15,0,2,0.002135753228208621,0.10753015704245517,3,True,True,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,0.5507517633023767,12,12,1,2.6963952856662915e-16,unconstrained,Solved,0.25648707287706873,0.2564870728615014,1.556732520668902e-11,1.556732520668902e-11,6.7036851822466734e-15,8.904687808819154e-15,9,3.8498e-05,6.661338147750939e-16,2.2170861338256056e-10,,,,,,,1,False,True,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,0.5507517633023767,12,12,1,2.6963952856662915e-16,tail_safe,Solved,0.25783491737278696,0.2578349173717189,1.0680900608406318e-12,1.0680900608406318e-12,2.5570174622790915e-13,4.6701219269164605e-14,12,0.000702582,1.1102230246251565e-16,1.6712618619141465e-12,2.3561014250716994e-14,4.2779734574869434e-14,0,2,0.008893415184421312,0.3193983111879418,3,True,True,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,0.24798895912643298,12,12,1,1.614712212117415e-15,unconstrained,Solved,0.3150242153935481,0.31502421534239083,5.115724510673658e-11,5.115724510673658e-11,1.4315439709473423e-13,1.667732792560269e-13,9,4.2415e-05,1.1102230246251565e-16,6.990891906764229e-09,,,,,,,3,True,True,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,0.24798895912643298,12,12,1,1.614712212117415e-15,tail_safe,Solved,0.3158775101720914,0.3158775100958084,7.628303544393589e-11,7.628303544393589e-11,4.229522642413574e-13,8.940265828274311e-12,18,0.001044251,1.5543122344752192e-15,4.203181649677861e-11,-1.8512014837712698e-13,-7.464854444699153e-13,0,3,0.0010685009663122275,0.07479483540470137,5,True,True,False
45c52befc568a4b31721,development,smooth_no_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,0.38962496234886884,12,12,1,4.321296293619438e-14,unconstrained,Solved,0.26899922167056434,0.2689992216457343,2.4830026923439164e-11,2.4830026923439164e-11,7.654304374442665e-16,5.719796851584954e-14,10,3.8335e-05,1.1102230246251565e-15,3.281482738673791e-09,,,,,,,3,True,True,False
45c52befc568a4b31721,development,smooth_no_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,0.38962496234886884,12,12,1,4.321296293619438e-14,tail_safe,Solved,0.27115113665188056,0.27115113660374385,4.813671683479015e-11,4.813671683479015e-11,3.2704755277544107e-13,2.1400949441673302e-12,16,0.000917791,4.3076653355456074e-14,1.2760991111930224e-12,-1.9359513991901167e-14,-4.9687560764052705e-14,0,2,0.0020021078882614157,0.11801130878945992,3,True,True,False
6b8c47bc7dac1f5a10ac,development,single_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,0.4178634228047846,12,12,1,5.537343687617472e-15,unconstrained,Solved,0.26469263020171363,0.26469263015666167,4.505196216086915e-11,4.505196216086915e-11,2.4278870135170773e-14,3.1674555114700394e-14,9,3.8208e-05,2.220446049250313e-16,1.4322686553850145e-09,,,,,,,2,True,True,False
6b8c47bc7dac1f5a10ac,development,single_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,0.4178634228047846,12,12,1,5.537343687617472e-15,tail_safe,Solved,0.2647436455976031,0.2647436455949568,2.646327601496523e-12,2.646327601496523e-12,7.146190062457994e-13,4.851118940818167e-14,11,0.000660998,5.551115123125783e-15,2.393742800770648e-11,-3.2151321535667243e-13,-7.694217723068703e-13,0,1,0.003836591588202651,0.22206895867648477,3,True,True,False
