family,kernel_radius,kernel_coefficients_per_view,kernel_fit_ridge,geometry_ridge,development_mean_relative_aperture_error,development_worst_relative_aperture_error,oracle_mean_relative_aperture_error,oracle_worst_relative_aperture_error
left_measurement,0,1,1e-08,1e-06,0.888447911401269,0.986126212960881,0.8740018848602672,0.9634457554566513
left_measurement,0,1,1e-08,0.0001,0.8884782480375705,0.9862072552201752,0.8740018848602672,0.9634457554566513
left_measurement,0,1,1e-08,0.01,0.8900806998488645,0.9882786199924527,0.8740018848602672,0.9634457554566513
left_measurement,0,1,1e-08,0.1,0.8905689862283462,0.9750149704720429,0.8740018848602672,0.9634457554566513
left_measurement,0,1,1e-08,1.0,0.904432408106384,1.0560100272813309,0.8740018848602672,0.9634457554566513
left_measurement,0,1,1e-06,1e-06,0.8884479108148303,0.9861262197132398,0.8740018848604052,0.9634457554566884
left_measurement,0,1,1e-06,0.0001,0.8884782474528232,0.9862072620171801,0.8740018848604052,0.9634457554566884
left_measurement,0,1,1e-06,0.01,0.8900806985808911,0.9882786271744597,0.8740018848604052,0.9634457554566884
left_measurement,0,1,1e-06,0.1,0.8905689853027913,0.9750149744871005,0.8740018848604052,0.9634457554566884
left_measurement,0,1,1e-06,1.0,0.9044323710309298,1.056009784360007,0.8740018848604052,0.9634457554566884
left_measurement,0,1,0.0001,1e-06,0.8884478533842765,0.9861268949521148,0.8740018862406728,0.9634457558290537
left_measurement,0,1,0.0001,0.0001,0.8884781901910651,0.9862079417189683,0.8740018862406728,0.9634457558290537
left_measurement,0,1,0.0001,0.01,0.8900805729915997,0.9882793453479527,0.8740018862406728,0.9634457558290537
left_measurement,0,1,0.0001,0.1,0.8905688939353147,0.9750153761629496,0.8740018862406728,0.9634457558290537
left_measurement,0,1,0.0001,1.0,0.9044286651999122,1.0559854962630808,0.8740018862406728,0.9634457558290537
left_measurement,0,1,0.01,1e-06,0.8884540048400699,0.9861944418588952,0.874015419484612,0.9634494068270156
left_measurement,0,1,0.01,0.0001,0.8884843548881943,0.9862759181187847,0.874015419484612,0.9634494068270156
left_measurement,0,1,0.01,0.01,0.8900798576184535,0.9883508892494439,0.874015419484612,0.9634494068270156
left_measurement,0,1,0.01,0.1,0.8905714039105807,0.9750572070227748,0.874015419484612,0.9634494068270156
left_measurement,0,1,0.01,1.0,0.9040749310664653,1.0535965204669704,0.874015419484612,0.9634494068270156
left_measurement,1,9,1e-08,1e-06,0.8135226850635956,0.9666215402688694,0.793350952627451,0.9347388966868917
left_measurement,1,9,1e-08,0.0001,0.8135650213003597,0.966763524632294,0.793350952627451,0.9347388966868917
left_measurement,1,9,1e-08,0.01,0.8158909145754194,0.9715411142769355,0.793350952627451,0.9347388966868917
left_measurement,1,9,1e-08,0.1,0.8169579069775734,0.9625771688199949,0.793350952627451,0.9347388966868917
left_measurement,1,9,1e-08,1.0,0.838679673156366,1.0963539432373792,0.793350952627451,0.9347388966868917
left_measurement,1,9,1e-06,1e-06,0.8135226721093344,0.9666215260229868,0.7933509526279052,0.9347388966869642
left_measurement,1,9,1e-06,0.0001,0.8135650083364485,0.9667635102449428,0.7933509526279052,0.9347388966869642
left_measurement,1,9,1e-06,0.01,0.8158908999032527,0.9715410913082394,0.7933509526279052,0.9347388966869642
left_measurement,1,9,1e-06,0.1,0.816957893110991,0.9625771195597429,0.7933509526279052,0.9347388966869642
left_measurement,1,9,1e-06,1.0,0.838679588635296,1.0963534116678182,0.7933509526279052,0.9347388966869642
left_measurement,1,9,0.0001,1e-06,0.813521381824093,0.9666201029807551,0.7933509571683288,0.934738897412285
left_measurement,1,9,0.0001,0.0001,0.8135637170859974,0.9667620730626507,0.7933509571683288,0.934738897412285
left_measurement,1,9,0.0001,0.01,0.8158894378525209,0.9715387963592381,0.7933509571683288,0.934738897412285
left_measurement,1,9,0.0001,0.1,0.8169565114873616,0.9625721962184608,0.7933509571683288,0.934738897412285
left_measurement,1,9,0.0001,1.0,0.8386711434656,1.096300270474677,0.7933509571683288,0.934738897412285
left_measurement,1,9,0.01,1e-06,0.8134413339867065,0.96649228079499,0.7933943385508492,0.9347458858373477
left_measurement,1,9,0.01,0.0001,0.8134835708040519,0.9666329005550383,0.7933943385508492,0.9347458858373477
left_measurement,1,9,0.01,0.01,0.815792454402132,0.9713273439620645,0.7933943385508492,0.9347458858373477
left_measurement,1,9,0.01,0.1,0.8168663386525615,0.962105408717175,0.7933943385508492,0.9347458858373477
left_measurement,1,9,0.01,1.0,0.83789308808227,1.0911386528705744,0.7933943385508492,0.9347458858373477
left_measurement,2,25,1e-08,1e-06,0.8074994596993111,0.9727767014795651,0.7819230655001997,0.9279223369295536
left_measurement,2,25,1e-08,0.0001,0.8075326298559564,0.9728099702171646,0.7819230655001997,0.9279223369295536
left_measurement,2,25,1e-08,0.01,0.8099853818722056,0.9746157752773411,0.7819230655001997,0.9279223369295536
left_measurement,2,25,1e-08,0.1,0.8114987848476276,0.9644612882798347,0.7819230655001997,0.9279223369295536
left_measurement,2,25,1e-08,1.0,0.8340975988511953,1.0976202386314975,0.7819230655001997,0.9279223369295536
left_measurement,2,25,1e-06,1e-06,0.8074994421084168,0.9727766621397168,0.7819230655006343,0.9279223369296421
left_measurement,2,25,1e-06,0.0001,0.8075326123862189,0.9728099312629442,0.7819230655006343,0.9279223369296421
left_measurement,2,25,1e-06,0.01,0.8099853646882588,0.9746157398709782,0.7819230655006343,0.9279223369296421
left_measurement,2,25,1e-06,0.1,0.811498769158603,0.9644612381331342,0.7819230655006343,0.9279223369296421
left_measurement,2,25,1e-06,1.0,0.8340975282292965,1.0976197833015737,0.7819230655006343,0.9279223369296421
left_measurement,2,25,0.0001,1e-06,0.8074976882945109,0.9727727303924613,0.7819230698458087,0.9279223378125363
left_measurement,2,25,0.0001,0.0001,0.807530870681481,0.9728060380714392,0.7819230698458087,0.9279223378125363
left_measurement,2,25,0.0001,0.01,0.8099836515257053,0.9746122017429851,0.7819230698458087,0.9279223378125363
left_measurement,2,25,0.0001,0.1,0.8114972053386965,0.9644562262327878,0.7819230698458087,0.9279223378125363
left_measurement,2,25,0.0001,1.0,0.8340904728580227,1.0975742659774257,0.7819230698458087,0.9279223378125363
left_measurement,2,25,0.01,1e-06,0.8073718672448827,0.9724004365476676,0.7819640548169757,0.9279307205625577
left_measurement,2,25,0.01,0.0001,0.8074061983408733,0.9724375262318334,0.7819640548169757,0.9279307205625577
left_measurement,2,25,0.01,0.01,0.8098614640177061,0.9742815805969374,0.7819640548169757,0.9279307205625577
left_measurement,2,25,0.01,0.1,0.8113885692024648,0.9639809605243532,0.7819640548169757,0.9279307205625577
left_measurement,2,25,0.01,1.0,0.833449343654124,1.0931723572830259,0.7819640548169757,0.9279307205625577
right_voxel,0,1,1e-08,1e-06,0.888447911401269,0.986126212960881,0.8740018848602672,0.9634457554566513
right_voxel,0,1,1e-08,0.0001,0.8884782480375705,0.9862072552201752,0.8740018848602672,0.9634457554566513
right_voxel,0,1,1e-08,0.01,0.8900806998488645,0.9882786199924527,0.8740018848602672,0.9634457554566513
right_voxel,0,1,1e-08,0.1,0.8905689862283462,0.9750149704720429,0.8740018848602672,0.9634457554566513
right_voxel,0,1,1e-08,1.0,0.904432408106384,1.0560100272813309,0.8740018848602672,0.9634457554566513
right_voxel,0,1,1e-06,1e-06,0.8884479108148303,0.9861262197132398,0.8740018848604052,0.9634457554566884
right_voxel,0,1,1e-06,0.0001,0.8884782474528232,0.9862072620171801,0.8740018848604052,0.9634457554566884
right_voxel,0,1,1e-06,0.01,0.8900806985808911,0.9882786271744597,0.8740018848604052,0.9634457554566884
right_voxel,0,1,1e-06,0.1,0.8905689853027913,0.9750149744871005,0.8740018848604052,0.9634457554566884
right_voxel,0,1,1e-06,1.0,0.9044323710309298,1.056009784360007,0.8740018848604052,0.9634457554566884
right_voxel,0,1,0.0001,1e-06,0.8884478533842765,0.9861268949521148,0.8740018862406728,0.9634457558290537
right_voxel,0,1,0.0001,0.0001,0.8884781901910651,0.9862079417189683,0.8740018862406728,0.9634457558290537
right_voxel,0,1,0.0001,0.01,0.8900805729915997,0.9882793453479527,0.8740018862406728,0.9634457558290537
right_voxel,0,1,0.0001,0.1,0.8905688939353147,0.9750153761629496,0.8740018862406728,0.9634457558290537
right_voxel,0,1,0.0001,1.0,0.9044286651999122,1.0559854962630808,0.8740018862406728,0.9634457558290537
right_voxel,0,1,0.01,1e-06,0.8884540048400699,0.9861944418588952,0.874015419484612,0.9634494068270156
right_voxel,0,1,0.01,0.0001,0.8884843548881943,0.9862759181187847,0.874015419484612,0.9634494068270156
right_voxel,0,1,0.01,0.01,0.8900798576184535,0.9883508892494439,0.874015419484612,0.9634494068270156
right_voxel,0,1,0.01,0.1,0.8905714039105807,0.9750572070227748,0.874015419484612,0.9634494068270156
right_voxel,0,1,0.01,1.0,0.9040749310664653,1.0535965204669704,0.874015419484612,0.9634494068270156
right_voxel,1,27,1e-08,1e-06,0.8240935063100704,1.1736778302233988,0.7057891542938756,0.8457771256741002
right_voxel,1,27,1e-08,0.0001,0.8234824766092514,1.1713546209192292,0.7057891542938756,0.8457771256741002
right_voxel,1,27,1e-08,0.01,0.8197864001049503,1.1272636804800138,0.7057891542938756,0.8457771256741002
right_voxel,1,27,1e-08,0.1,0.8265339042905132,1.0906302750479098,0.7057891542938756,0.8457771256741002
right_voxel,1,27,1e-08,1.0,0.8412382927941334,1.1559367168395887,0.7057891542938756,0.8457771256741002
right_voxel,1,27,1e-06,1e-06,0.8240925960767314,1.1736754153991225,0.7057891543156907,0.8457771256905369
right_voxel,1,27,1e-06,0.0001,0.8234815775729523,1.1713521883965,0.7057891543156907,0.8457771256905369
right_voxel,1,27,1e-06,0.01,0.8197855694121953,1.127260176151056,0.7057891543156907,0.8457771256905369
right_voxel,1,27,1e-06,0.1,0.8265331088657993,1.090628095047577,0.7057891543156907,0.8457771256905369
right_voxel,1,27,1e-06,1.0,0.8412372540853515,1.1559331625736404,0.7057891543156907,0.8457771256905369
right_voxel,1,27,0.0001,1e-06,0.8240025702522834,1.1734366740062745,0.7057893695524305,0.845777288009341
right_voxel,1,27,0.0001,0.0001,0.8233926701974572,1.1711117270745937,0.7057893695524305,0.845777288009341
right_voxel,1,27,0.0001,0.01,0.8197035197627645,1.1269138839726656,0.7057893695524305,0.845777288009341
right_voxel,1,27,0.0001,0.1,0.8264543396427956,1.0904123965457535,0.7057893695524305,0.845777288009341
right_voxel,1,27,0.0001,1.0,0.8411339712314528,1.1555787725884807,0.7057893695524305,0.845777288009341
right_voxel,1,27,0.01,1e-06,0.8185834761220487,1.1571376249470233,0.7068235972909233,0.8464991888659205
right_voxel,1,27,0.01,0.0001,0.8180867847331467,1.1548961270335873,0.7068235972909233,0.8464991888659205
right_voxel,1,27,0.01,0.01,0.8155504799956107,1.1079980318661538,0.7068235972909233,0.8464991888659205
right_voxel,1,27,0.01,0.1,0.8220169222125785,1.077970706057403,0.7068235972909233,0.8464991888659205
right_voxel,1,27,0.01,1.0,0.8345003005610808,1.1280342366048621,0.7068235972909233,0.8464991888659205
