candidate_id,construction,scope,camera_id,ray_count,vector_relative_l2,component_rmse_px,component_mae_px,residual_magnitude_p95_px,measured_vector_rms_px,predicted_vector_rms_px,direct_forward_calls
native_16,A16_X16,pooled,,3847050,0.8432631430215097,0.18050256413287494,0.11108878488647311,0.5022947086198483,0.3027159153727143,0.14322256442597028,1
native_16,A16_X16,camera,2,959098,0.7626745587411923,0.13277379718491494,0.08542604629989377,0.42199462283591943,0.24620003716473696,0.18141815822886884,1
native_16,A16_X16,camera,3,1643912,0.8729019250172486,0.19401681630441978,0.11399603176699222,0.5152590144052348,0.31433223490799045,0.12168830422442045,1
native_16,A16_X16,camera,4,1244040,0.8399410380546845,0.193443768896609,0.1270318600440751,0.590319280170457,0.3257023875910911,0.13598271288357539,1
prolong_16_to_32,A32_U_X16,pooled,,3847050,0.8568036990087583,0.18340095367558112,0.1144727637446615,0.5160423335620911,0.3027159153727143,0.15705721334018832,1
prolong_16_to_32,A32_U_X16,camera,2,959098,0.7811470366179373,0.13598966560873904,0.08913999850274106,0.4547945441052173,0.24620003716473696,0.20848194468164555,1
prolong_16_to_32,A32_U_X16,camera,3,1643912,0.8815909766039594,0.19594810099659773,0.11591490733968676,0.5250434697484943,0.31433223490799045,0.13051432859692413,1
prolong_16_to_32,A32_U_X16,camera,4,1244040,0.8577108767018148,0.19753627587608305,0.1320974762269051,0.5903862217222126,0.3257023875910911,0.1423418681961517,1
restrict_32_to_16,A16_D_X32,pooled,,3847050,0.9421256402717259,0.2016643265055345,0.11478487058967142,0.610961023405594,0.3027159153727143,0.04669291245414896,1
restrict_32_to_16,A16_D_X32,camera,2,959098,0.9194465261239161,0.16006618443316636,0.09395898147308075,0.5009762487823979,0.24620003716473696,0.038784950005800345,1
restrict_32_to_16,A16_D_X32,camera,3,1643912,0.9500688915729377,0.2111684443922013,0.11506140473541882,0.6050650819508775,0.31433223490799045,0.04486533459870363,1
restrict_32_to_16,A16_D_X32,camera,4,1244040,0.942178331221281,0.21698966844896111,0.13047525900108903,0.6988602547390832,0.3257023875910911,0.054059908755152035,1
roundtrip_32_via_16,A32_U_D_X32,pooled,,3847050,0.9445570754841517,0.20218478123428418,0.11509186606381228,0.6125572612314858,0.3027159153727143,0.04942932841504288,1
roundtrip_32_via_16,A32_U_D_X32,camera,2,959098,0.9102114951675462,0.15845846051849782,0.09327067120196053,0.49268510188462034,0.24620003716473696,0.04357123101375726,1
roundtrip_32_via_16,A32_U_D_X32,camera,3,1643912,0.9549165545565594,0.21224591725787342,0.11549310151883074,0.6122302305342255,0.31433223490799045,0.0475833857924398,1
roundtrip_32_via_16,A32_U_D_X32,camera,4,1244040,0.9465894880487589,0.21800558595178685,0.13138480565601346,0.700090942299851,0.3257023875910911,0.05567693319367785,1
native_32,A32_X32,pooled,,3847050,0.9595912440290707,0.2054028822439408,0.11782747851547412,0.617789551735892,0.3027159153727143,0.08260471879756778,1
native_32,A32_X32,camera,2,959098,0.8241935616989259,0.1434836229265916,0.08626779645161377,0.39392626142275067,0.24620003716473696,0.09499294312280757,1
native_32,A32_X32,camera,3,1643912,0.9829067711429269,0.21846720346898008,0.12087855300096803,0.6329537830481519,0.31433223490799045,0.07189901825561579,1
native_32,A32_X32,camera,4,1244040,0.9856301534449727,0.22699689976110604,0.138126769525801,0.7322285688839475,0.3257023875910911,0.08551658796470125,1
line_alpha_0.00,A32_LINE_U_X16_TO_X32,pooled,,3847050,0.8568036990087583,0.18340095367558112,0.1144727637446615,0.5160423335620911,0.3027159153727143,0.15705721334018832,0
line_alpha_0.00,A32_LINE_U_X16_TO_X32,camera,2,959098,0.7811470366179373,0.13598966560873904,0.08913999850274106,0.4547945441052173,0.24620003716473696,0.20848194468164555,0
line_alpha_0.00,A32_LINE_U_X16_TO_X32,camera,3,1643912,0.8815909766039594,0.19594810099659773,0.11591490733968676,0.5250434697484943,0.31433223490799045,0.13051432859692413,0
line_alpha_0.00,A32_LINE_U_X16_TO_X32,camera,4,1244040,0.8577108767018148,0.19753627587608305,0.1320974762269051,0.5903862217222126,0.3257023875910911,0.1423418681961517,0
line_alpha_0.25,A32_LINE_U_X16_TO_X32,pooled,,3847050,0.8674017031134931,0.185669482700508,0.11241075129225757,0.5234629434076189,0.3027159153727143,0.1326777598935322,0
line_alpha_0.25,A32_LINE_U_X16_TO_X32,camera,2,959098,0.7545489819922888,0.13135921783792576,0.08466874989855089,0.39795025725935357,0.24620003716473696,0.1770067377921301,0
line_alpha_0.25,A32_LINE_U_X16_TO_X32,camera,3,1643912,0.8966474081604465,0.19929464066133415,0.11451924539915524,0.5482149606172724,0.31433223490799045,0.1097593747885924,0
line_alpha_0.25,A32_LINE_U_X16_TO_X32,camera,4,1244040,0.8772238736534046,0.20203024331161376,0.131012339093649,0.6173745261272303,0.3257023875910911,0.11984134941452386,0
line_alpha_0.50,A32_LINE_U_X16_TO_X32,pooled,,3847050,0.888590957286262,0.1902050950320794,0.1120688311855031,0.5520722033365186,0.3027159153727143,0.1107924023748885,0
line_alpha_0.50,A32_LINE_U_X16_TO_X32,camera,2,959098,0.7531573848915201,0.13111695509413432,0.08236094689389312,0.3606162512377436,0.24620003716473696,0.14678815645849747,0
line_alpha_0.50,A32_LINE_U_X16_TO_X32,camera,3,1643912,0.9189042720505782,0.2042415948942496,0.11469298715788305,0.573364797744013,0.31433223490799045,0.09169193144316215,0
line_alpha_0.50,A32_LINE_U_X16_TO_X32,camera,4,1244040,0.9055971097754646,0.20856478024048727,0.13150461372902864,0.6481864536474341,0.3257023875910911,0.10118057844629788,0
line_alpha_0.75,A32_LINE_U_X16_TO_X32,pooled,,3847050,0.9196396593532017,0.1968511466026475,0.1137789384547258,0.5835925162748833,0.3027159153727143,0.09317549904929776,0
line_alpha_0.75,A32_LINE_U_X16_TO_X32,camera,2,959098,0.7771076716839741,0.13528645371534234,0.08272399787719473,0.35576058524520254,0.24620003716473696,0.11878911657327038,0
line_alpha_0.75,A32_LINE_U_X16_TO_X32,camera,3,1643912,0.9478544771880291,0.2106762543573011,0.11675875698654163,0.6006270924219804,0.31433223490799045,0.07819756890396555,0
line_alpha_0.75,A32_LINE_U_X16_TO_X32,camera,4,1244040,0.9420303340079696,0.21695558374844995,0.13378325660828547,0.6857463102454404,0.3257023875910911,0.08881378675223199,0
line_alpha_1.00,A32_LINE_U_X16_TO_X32,pooled,,3847050,0.9595912440290707,0.2054028822439408,0.11782747851547412,0.617789551735892,0.3027159153727143,0.08260471879756778,0
line_alpha_1.00,A32_LINE_U_X16_TO_X32,camera,2,959098,0.8241935616989259,0.1434836229265916,0.08626779645161377,0.3939262614227507,0.24620003716473696,0.09499294312280757,0
line_alpha_1.00,A32_LINE_U_X16_TO_X32,camera,3,1643912,0.9829067711429269,0.21846720346898008,0.12087855300096803,0.6329537830481519,0.31433223490799045,0.07189901825561579,0
line_alpha_1.00,A32_LINE_U_X16_TO_X32,camera,4,1244040,0.9856301534449727,0.22699689976110604,0.138126769525801,0.7322285688839476,0.3257023875910911,0.08551658796470125,0
