rig_id,block_id,sample_index,family,minimum_outer_error_reduction_percent,audit_error_reduction_percent,field_error_reduction_percent
development_rig_a,development_rig_a:radius=0.09500,1,jet_shear,3.821475830049991,-4.0467992503055,0.8557588753795569
development_rig_a,development_rig_a:radius=0.13500,1,jet_shear,2.2525087170281117,-2.9295907854746273,2.925559269422562
