stratum,rig,K,activation,gate_effective_df,gate_residual_noise_df,observed_gate_residual_energy,expected_noise_energy_before_df,expected_noise_energy_after_smoother
in_class,0,4,0.0,26.99996873856571,357.00000000004167,2.82876912208053e-05,3.223161310049657e-05,2.9958779145504222e-05
in_class,0,8,0.00802290427477248,26.99996940369037,741.000000000039,6.980452835426237e-05,7.175846402726593e-05,6.924449330533048e-05
in_class,0,16,0.0,26.99997028003405,1509.000000000036,0.0001364347356829701,0.0001392136201633211,0.00013676272351983534
in_class,0,32,0.0,26.999970350093726,3045.0000000000355,0.00026642813499784345,0.00027845823552495217,0.00027600470492842514
in_class,1,4,0.02758118191259007,26.999967850263058,357.0000000000443,3.8479637905810526e-05,4.0266165045327486e-05,3.741832401279977e-05
in_class,1,8,0.0,26.999969234566606,741.0000000000392,7.08059440345276e-05,7.397170614385816e-05,7.137651748211868e-05
in_class,1,16,0.0,26.99996970329839,1509.0000000000377,0.00013773950194678254,0.00014646290684530413,0.00014389211286884774
in_class,1,32,0.01844642576056532,26.999969853578442,3045.0000000000373,0.0002982359907523429,0.00029533160318867394,0.0002927346026898012
in_class,2,4,0.0,26.999968516999832,357.00000000004206,3.312588252087564e-05,3.6113805061525593e-05,3.3591113108438154e-05
in_class,2,8,0.0,26.999970126282005,741.0000000000364,6.298430972212436e-05,6.865470977838983e-05,6.624529945453405e-05
in_class,2,16,0.004861111124013773,26.999970711696186,1509.0000000000343,0.00013606003368417358,0.00013782085686678966,0.00013539863074089775
in_class,2,32,0.0,26.999971161999962,3045.0000000000323,0.0002725652618371928,0.00028035543417068707,0.0002778855628286618
in_class,3,4,0.027692378850857846,26.9999671077696,357.000000000048,3.315673888253852e-05,3.467021401656883e-05,3.223854990794429e-05
in_class,3,8,0.01774563744516089,26.99996867972364,741.0000000000421,7.092695588926121e-05,7.22090940555558e-05,6.966831184496146e-05
in_class,3,16,0.0,26.999969380748865,1509.000000000039,0.00014014649641167873,0.0001432960819661076,0.00014078142662995075
in_class,3,32,0.0,26.99997001715332,3045.000000000037,0.0002563117806320963,0.00027297620477100427,0.00027057957339458644
in_class,4,4,0.0,26.99996850901093,357.00000000004263,2.7980845078362323e-05,3.4223721685169084e-05,3.181336422684049e-05
